Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
IRL,202008,Male,0,0,0,0,1,1
IRL,202010,Female,0,0,0,0,3,3
IRL,202010,Male,0,0,0,0,5,5
IRL,202011,Female,0,0,0,0,22,22
IRL,202011,Male,0,0,0,0,34,34
IRL,202012,Female,0,0,0,0,97,97
IRL,202012,Male,0,0,0,0,106,106
IRL,202013,Female,0,0,0,0,79,79
IRL,202013,Male,0,0,0,0,56,56
IRL,202014,Female,0,0,0,0,133,133
IRL,202014,Male,0,0,0,0,84,84
IRL,202015,Female,0,0,0,0,82,82
IRL,202015,Male,0,0,0,0,72,72
IRL,202016,Female,0,0,0,0,103,103
IRL,202016,Male,0,0,0,0,74,74
IRL,202017,Female,0,0,0,0,27,27
IRL,202017,Male,0,0,0,0,20,20
IRL,202018,Female,0,0,0,0,38,38
IRL,202018,Male,0,0,0,0,43,43
IRL,202019,Female,0,0,0,0,23,23
IRL,202019,Male,0,0,0,0,19,19
IRL,202020,Female,0,0,0,0,15,15
IRL,202020,Male,0,0,0,0,8,8
IRL,202021,Female,0,0,0,0,12,12
IRL,202021,Male,0,0,0,0,13,13
IRL,202022,Female,0,0,0,0,1,1
IRL,202022,Male,0,0,0,0,5,5
IRL,202023,Female,0,0,0,0,2,2
IRL,202024,Female,0,0,0,0,1,1
IRL,202024,Male,0,0,0,0,3,3
IRL,202025,Female,0,0,0,0,1,1
IRL,202026,Female,0,0,0,0,1,1
IRL,202027,Female,0,0,0,0,4,4
IRL,202027,Male,0,0,0,0,4,4
IRL,202028,Female,0,0,0,0,15,15
IRL,202028,Male,0,0,0,0,15,15
IRL,202029,Male,0,0,0,0,1,1
IRL,202030,Female,0,0,0,0,10,10
IRL,202030,Male,0,0,0,0,11,11
IRL,202031,Female,0,0,0,0,17,17
IRL,202031,Male,0,0,0,0,21,21
IRL,202032,Female,0,0,0,0,13,13
IRL,202032,Male,0,0,0,0,15,15
IRL,202033,Female,0,0,0,0,28,28
IRL,202033,Male,0,0,0,0,32,32
IRL,202034,Female,0,0,0,0,12,12
IRL,202034,Male,0,0,0,0,9,9
IRL,202036,Female,0,0,0,0,19,19
IRL,202036,Male,0,0,0,0,10,10
IRL,202037,Female,0,0,0,0,24,24
IRL,202037,Male,0,0,0,0,23,23
IRL,202038,Female,0,0,0,0,38,38
IRL,202038,Male,0,0,0,0,60,60
IRL,202039,Female,0,0,0,0,4,4
IRL,202039,Male,0,0,0,0,3,3
IRL,202040,Female,0,0,0,0,7,7
IRL,202040,Male,0,0,0,0,9,9
IRL,202041,Female,0,0,0,0,30,30
IRL,202041,Male,0,0,0,0,37,37
IRL,202042,Female,0,0,0,0,33,33
IRL,202042,Male,0,0,0,0,11,11
IRL,202043,Female,0,0,0,0,27,27
IRL,202043,Male,0,0,0,0,26,26
IRL,202044,Female,0,0,0,0,14,14
IRL,202044,Male,0,0,0,0,7,7
IRL,202045,Female,0,0,0,0,29,29
IRL,202045,Male,0,0,0,0,22,22
IRL,202046,Female,0,0,0,0,24,24
IRL,202046,Male,0,0,0,0,11,11
IRL,202047,Female,0,0,0,0,10,10
IRL,202047,Male,0,0,0,0,7,7
IRL,202048,Female,0,0,0,0,52,52
IRL,202048,Male,0,0,0,0,37,37
IRL,202049,Female,0,0,0,0,10,10
IRL,202049,Male,0,0,0,0,9,9
IRL,202050,Female,0,0,0,0,6,6
IRL,202050,Male,0,0,0,0,9,9
IRL,202051,Female,3,0,0,0,37,40
IRL,202051,Male,3,0,0,0,35,38
IRL,202052,Female,15,1,0,0,8,24
IRL,202052,Male,8,2,0,0,6,16
IRL,202053,Female,35,1,0,0,38,74
IRL,202053,Male,41,2,0,0,53,96
IRL,202101,Female,27,1,1,0,28,57
IRL,202101,Male,26,1,0,0,15,42
IRL,202102,Female,76,2,0,0,75,153
IRL,202102,Male,63,0,0,0,70,133
IRL,202103,Female,70,3,0,0,36,109
IRL,202103,Male,65,0,0,0,27,92
IRL,202104,Female,145,0,0,0,44,189
IRL,202104,Male,117,0,0,0,47,164
IRL,202105,Female,312,1,0,0,65,378
IRL,202105,Male,273,0,0,0,50,323
IRL,202106,Female,419,2,0,0,76,497
IRL,202106,Male,406,0,0,0,67,473
IRL,202107,Female,233,3,0,0,36,272
IRL,202107,Male,264,2,0,0,33,299
IRL,202108,Female,400,5,0,0,39,444
IRL,202108,Male,395,6,0,0,33,434
IRL,202109,Female,341,0,0,0,17,358
IRL,202109,Male,350,0,0,0,18,368
IRL,202110,Female,381,4,0,0,12,397
IRL,202110,Male,355,3,0,0,11,369
IRL,202111,Female,457,12,0,0,15,484
IRL,202111,Male,416,8,0,0,17,441
IRL,202112,Female,395,2,0,0,15,412
IRL,202112,Male,382,3,0,0,29,414
IRL,202113,Female,276,1,4,0,7,288
IRL,202113,Male,254,1,0,0,5,260
IRL,202114,Female,320,4,4,0,33,361
IRL,202114,Male,325,3,2,0,26,356
IRL,202115,Female,312,0,1,0,18,331
IRL,202115,Male,332,0,7,0,17,356
IRL,202116,Female,346,1,9,0,27,383
IRL,202116,Male,425,0,10,0,16,451
IRL,202117,Female,472,0,11,0,46,529
IRL,202117,Male,423,0,22,0,47,492
IRL,202118,Female,464,0,13,0,50,527
IRL,202118,Male,439,0,22,0,28,489
IRL,202119,Female,237,0,8,0,159,404
IRL,202119,Male,276,0,11,0,140,427
IRL,202120,Female,620,0,13,0,30,663
IRL,202120,Male,589,0,16,0,41,646
IRL,202121,Female,462,0,15,0,28,505
IRL,202121,Male,500,0,22,0,29,551
IRL,202122,Female,257,0,25,0,18,300
IRL,202122,Male,286,0,26,0,15,327
IRL,202123,Female,314,0,52,0,6,372
IRL,202123,Male,356,0,45,0,11,412
IRL,202124,Female,283,0,128,0,11,422
IRL,202124,Male,290,0,147,0,8,445
IRL,202125,Female,160,0,171,0,6,337
IRL,202125,Male,144,1,199,0,9,353
IRL,202126,Female,38,0,222,0,1,261
IRL,202126,Male,44,1,215,0,5,265
IRL,202127,Female,60,0,516,0,3,579
IRL,202127,Male,49,0,527,0,7,583
IRL,202128,Female,40,1,633,0,1,675
IRL,202128,Male,28,1,677,0,2,708
IRL,202129,Female,10,0,687,0,1,698
IRL,202129,Male,28,0,752,0,3,783
IRL,202130,Female,11,0,761,0,2,774
IRL,202130,Male,11,0,804,0,1,816
IRL,202131,Female,3,0,715,0,0,718
IRL,202131,Male,2,0,705,0,0,707
IRL,202132,Female,2,0,590,0,1,593
IRL,202132,Male,4,0,638,0,1,643
IRL,202133,Female,2,0,817,0,0,819
IRL,202133,Male,0,0,791,0,1,792
IRL,202134,Female,0,0,457,0,0,457
IRL,202134,Male,0,0,496,0,0,496
IRL,202135,Female,0,0,656,0,1,657
IRL,202135,Male,0,0,626,0,0,626
IRL,202136,Female,0,0,745,0,0,745
IRL,202136,Male,0,0,710,0,0,710
IRL,202137,Female,0,0,510,0,0,510
IRL,202137,Male,0,0,490,0,0,490
IRL,202138,Female,0,0,367,0,0,367
IRL,202138,Male,0,0,396,0,0,396
IRL,202139,Female,0,0,529,0,0,529
IRL,202139,Male,0,0,525,0,0,525
IRL,202140,Female,0,0,648,0,1,649
IRL,202140,Male,0,0,649,0,0,649
IRL,202141,Female,0,0,829,0,0,829
IRL,202141,Male,0,0,810,0,0,810
IRL,202142,Female,0,0,644,0,0,644
IRL,202142,Male,0,0,608,0,0,608
IRL,202143,Female,0,0,1037,0,0,1037
IRL,202143,Male,0,0,1078,0,0,1078
IRL,202144,Female,0,0,382,0,0,382
IRL,202144,Male,0,0,351,0,0,351
IRL,202145,Female,0,0,138,0,0,138
IRL,202145,Male,0,0,103,0,0,103
IRL,202146,Female,0,0,99,0,0,99
IRL,202146,Male,0,0,83,0,0,83
IRL,202147,Female,0,0,187,4,1,192
IRL,202147,Male,0,0,152,0,0,152
