Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
IRL,202008,0,0,0,0,1,1
IRL,202010,0,0,0,0,8,8
IRL,202011,0,0,0,0,56,56
IRL,202012,0,0,0,0,203,203
IRL,202013,0,0,0,0,135,135
IRL,202014,0,0,0,0,217,217
IRL,202015,0,0,0,0,154,154
IRL,202016,0,0,0,0,177,177
IRL,202017,0,0,0,0,47,47
IRL,202018,0,0,0,0,81,81
IRL,202019,0,0,0,0,42,42
IRL,202020,0,0,0,0,23,23
IRL,202021,0,0,0,0,25,25
IRL,202022,0,0,0,0,6,6
IRL,202023,0,0,0,0,2,2
IRL,202024,0,0,0,0,4,4
IRL,202025,0,0,0,0,1,1
IRL,202026,0,0,0,0,1,1
IRL,202027,0,0,0,0,8,8
IRL,202028,0,0,0,0,30,30
IRL,202029,0,0,0,0,1,1
IRL,202030,0,0,0,0,21,21
IRL,202031,0,0,0,0,38,38
IRL,202032,0,0,0,0,28,28
IRL,202033,0,0,0,0,60,60
IRL,202034,0,0,0,0,21,21
IRL,202036,0,0,0,0,29,29
IRL,202037,0,0,0,0,47,47
IRL,202038,0,0,0,0,98,98
IRL,202039,0,0,0,0,7,7
IRL,202040,0,0,0,0,16,16
IRL,202041,0,0,0,0,67,67
IRL,202042,0,0,0,0,44,44
IRL,202043,0,0,0,0,53,53
IRL,202044,0,0,0,0,21,21
IRL,202045,0,0,0,0,51,51
IRL,202046,0,0,0,0,35,35
IRL,202047,0,0,0,0,17,17
IRL,202048,0,0,0,0,89,89
IRL,202049,0,0,0,0,19,19
IRL,202050,0,0,0,0,15,15
IRL,202051,6,0,0,0,72,78
IRL,202052,23,3,0,0,14,40
IRL,202053,76,3,0,0,91,170
IRL,202101,53,2,1,0,43,99
IRL,202102,139,2,0,0,145,286
IRL,202103,135,3,0,0,63,201
IRL,202104,262,0,0,0,91,353
IRL,202105,585,1,0,0,115,701
IRL,202106,825,2,0,0,143,970
IRL,202107,497,5,0,0,69,571
IRL,202108,795,11,0,0,72,878
IRL,202109,691,0,0,0,35,726
IRL,202110,736,7,0,0,23,766
IRL,202111,873,20,0,0,32,925
IRL,202112,777,5,0,0,44,826
IRL,202113,530,2,4,0,12,548
IRL,202114,645,7,6,0,59,717
IRL,202115,644,0,8,0,35,687
IRL,202116,771,1,19,0,43,834
IRL,202117,895,0,33,0,93,1021
IRL,202118,903,0,35,0,78,1016
IRL,202119,513,0,19,0,299,831
IRL,202120,1209,0,29,0,71,1309
IRL,202121,962,0,37,0,57,1056
IRL,202122,543,0,51,0,33,627
IRL,202123,670,0,97,0,17,784
IRL,202124,573,0,275,0,19,867
IRL,202125,304,1,370,0,15,690
IRL,202126,82,1,437,0,6,526
IRL,202127,109,0,1043,0,10,1162
IRL,202128,68,2,1310,0,3,1383
IRL,202129,38,0,1439,0,4,1481
IRL,202130,22,0,1565,0,3,1590
IRL,202131,5,0,1420,0,0,1425
IRL,202132,6,0,1228,0,2,1236
IRL,202133,2,0,1608,0,1,1611
IRL,202134,0,0,953,0,0,953
IRL,202135,0,0,1282,0,1,1283
IRL,202136,0,0,1455,0,0,1455
IRL,202137,0,0,1000,0,0,1000
IRL,202138,0,0,763,0,0,763
IRL,202139,0,0,1054,0,0,1054
IRL,202140,0,0,1297,0,1,1298
IRL,202141,0,0,1639,0,0,1639
IRL,202142,0,0,1252,0,0,1252
IRL,202143,0,0,2115,0,0,2115
IRL,202144,0,0,733,0,0,733
IRL,202145,0,0,241,0,0,241
IRL,202146,0,0,182,0,0,182
IRL,202147,0,0,339,4,1,344
IRL,202148,0,0,1391,26,1,1418
IRL,202149,1,0,800,164,4,969
IRL,202150,0,0,1088,1302,4,2394
IRL,202151,0,0,94,577,3,674
IRL,202152,0,0,69,882,2,953
IRL,202201,0,0,73,1875,1,1949
IRL,202202,0,0,23,1126,4,1153
IRL,202203,0,0,12,1590,0,1602
IRL,202204,0,0,3,751,0,754
IRL,202205,0,0,1,498,0,499
IRL,202206,0,0,0,220,0,220
IRL,202207,0,0,1,255,0,256
IRL,202208,0,0,0,15,0,15
IRL,202209,0,0,0,4,0,4
