Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
IRL,202008,0,0,0,0,1,1
IRL,202010,0,0,0,0,8,8
IRL,202011,0,0,0,0,57,57
IRL,202012,0,0,0,0,203,203
IRL,202013,0,0,0,0,136,136
IRL,202014,0,0,0,0,222,222
IRL,202015,0,0,0,0,155,155
IRL,202016,0,0,0,0,177,177
IRL,202017,0,0,0,0,47,47
IRL,202018,0,0,0,0,81,81
IRL,202019,0,0,0,0,42,42
IRL,202020,0,0,0,0,23,23
IRL,202021,0,0,0,0,25,25
IRL,202022,0,0,0,0,6,6
IRL,202023,0,0,0,0,2,2
IRL,202024,0,0,0,0,4,4
IRL,202025,0,0,0,0,1,1
IRL,202026,0,0,0,0,1,1
IRL,202027,0,0,0,0,8,8
IRL,202028,0,0,0,0,30,30
IRL,202029,0,0,0,0,1,1
IRL,202030,0,0,0,0,21,21
IRL,202031,0,0,0,0,38,38
IRL,202032,0,0,0,0,28,28
IRL,202033,0,0,0,0,60,60
IRL,202034,0,0,0,0,22,22
IRL,202036,0,0,0,0,29,29
IRL,202037,0,0,0,0,47,47
IRL,202038,0,0,0,0,98,98
IRL,202039,0,0,0,0,7,7
IRL,202040,0,0,0,0,16,16
IRL,202041,0,0,0,0,67,67
IRL,202042,0,0,0,0,44,44
IRL,202043,0,0,0,0,54,54
IRL,202044,0,0,0,0,21,21
IRL,202045,0,0,0,0,51,51
IRL,202046,0,0,0,0,36,36
IRL,202047,0,0,0,0,31,31
IRL,202048,0,0,0,0,103,103
IRL,202049,0,0,0,0,19,19
IRL,202050,0,0,0,0,15,15
IRL,202051,6,0,0,0,73,79
IRL,202052,23,3,0,0,15,41
IRL,202053,76,3,0,0,91,170
IRL,202101,53,2,1,0,43,99
IRL,202102,139,2,0,0,146,287
IRL,202103,135,3,0,0,63,201
IRL,202104,262,0,0,0,91,353
IRL,202105,609,1,0,0,136,746
IRL,202106,827,2,0,0,143,972
IRL,202107,497,5,0,0,69,571
IRL,202108,797,12,1,0,72,882
IRL,202109,692,0,0,0,35,727
IRL,202110,737,7,0,0,23,767
IRL,202111,874,20,0,0,33,927
IRL,202112,778,5,0,0,44,827
IRL,202113,540,3,4,0,12,559
IRL,202114,685,7,6,0,87,785
IRL,202115,654,0,8,0,39,701
IRL,202116,778,1,21,0,44,844
IRL,202117,900,0,37,0,96,1033
IRL,202118,912,0,37,0,79,1028
IRL,202119,520,0,22,0,300,842
IRL,202120,1226,0,30,0,71,1327
IRL,202121,970,0,38,0,58,1066
IRL,202122,547,0,53,0,33,633
IRL,202123,677,0,104,0,19,800
IRL,202124,573,0,277,0,21,871
IRL,202125,305,1,393,0,16,715
IRL,202126,82,1,442,0,6,531
IRL,202127,109,0,1057,0,10,1176
IRL,202128,68,2,1315,0,3,1388
IRL,202129,38,0,1448,0,4,1490
IRL,202130,22,0,1569,0,3,1594
IRL,202131,5,0,1422,0,0,1427
IRL,202132,7,0,1240,0,2,1249
IRL,202133,2,0,1610,0,1,1613
IRL,202134,0,0,954,0,0,954
IRL,202135,0,0,1285,0,1,1286
IRL,202136,0,0,1460,0,0,1460
IRL,202137,0,0,1000,0,0,1000
IRL,202138,0,0,763,0,0,763
IRL,202139,0,0,1056,0,0,1056
IRL,202140,0,0,1300,0,1,1301
IRL,202141,0,0,1642,0,0,1642
IRL,202142,0,0,1272,0,0,1272
IRL,202143,0,0,2121,0,0,2121
IRL,202144,0,0,738,0,0,738
IRL,202145,0,0,245,0,0,245
IRL,202146,0,0,184,0,0,184
IRL,202147,0,0,340,4,1,345
IRL,202148,0,0,1403,34,1,1438
IRL,202149,1,0,807,164,4,976
IRL,202150,0,0,1099,1309,4,2412
IRL,202151,0,0,96,580,3,679
IRL,202152,0,0,69,884,2,955
IRL,202201,0,0,73,1900,1,1974
IRL,202202,0,0,23,1127,4,1154
IRL,202203,0,0,14,1602,0,1616
IRL,202204,0,0,3,752,0,755
IRL,202205,0,0,1,506,0,507
IRL,202206,0,0,0,220,0,220
IRL,202207,0,0,1,266,0,267
IRL,202208,0,0,0,21,0,21
IRL,202209,0,0,0,4,0,4
