Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
ISR,202010,30 – 40,0,0,0,0,1,1
ISR,202011,70 – 80,0,0,0,0,3,3
ISR,202012,20 – 30,0,0,0,0,11,11
ISR,202012,30 – 40,0,0,0,0,13,13
ISR,202012,40 – 50,0,0,0,0,9,9
ISR,202012,5 – 10,0,0,0,0,1,1
ISR,202012,50 – 60,0,0,0,0,8,8
ISR,202012,60 – 70,0,0,0,0,10,10
ISR,202012,70 – 80,0,0,0,0,5,5
ISR,202013,10 – 20,0,0,0,0,3,3
ISR,202013,20 – 30,0,0,0,0,10,10
ISR,202013,30 – 40,0,0,0,0,6,6
ISR,202013,40 – 50,0,0,0,0,9,9
ISR,202013,5 – 10,0,0,0,0,2,2
ISR,202013,50 – 60,0,0,0,0,7,7
ISR,202013,60 – 70,0,0,0,0,9,9
ISR,202013,70 – 80,0,0,0,0,6,6
ISR,202013,>= 80,0,0,0,0,2,2
ISR,202014,10 – 20,0,0,0,0,6,6
ISR,202014,20 – 30,0,0,0,0,22,22
ISR,202014,30 – 40,0,0,0,0,14,14
ISR,202014,40 – 50,0,0,0,0,10,10
ISR,202014,5 – 10,0,0,0,0,2,2
ISR,202014,50 – 60,0,0,0,0,13,13
ISR,202014,60 – 70,0,0,0,0,13,13
ISR,202014,70 – 80,0,0,0,0,6,6
ISR,202014,>= 80,0,0,0,0,9,9
ISR,202015,10 – 20,0,0,0,0,4,4
ISR,202015,20 – 30,0,0,0,0,4,4
ISR,202015,30 – 40,0,0,0,0,2,2
ISR,202015,40 – 50,0,0,0,0,3,3
ISR,202015,50 – 60,0,0,0,0,6,6
ISR,202015,60 – 70,0,0,0,0,2,2
ISR,202015,70 – 80,0,0,0,0,1,1
ISR,202015,>= 80,0,0,0,0,7,7
ISR,202016,1 – 5,0,0,0,0,1,1
ISR,202016,10 – 20,0,0,0,0,5,5
ISR,202016,20 – 30,0,0,0,0,6,6
ISR,202016,30 – 40,0,0,0,0,2,2
ISR,202016,40 – 50,0,0,0,0,1,1
ISR,202016,5 – 10,0,0,0,0,1,1
ISR,202016,50 – 60,0,0,0,0,5,5
ISR,202016,60 – 70,0,0,0,0,4,4
ISR,202016,70 – 80,0,0,0,0,6,6
ISR,202016,>= 80,0,0,0,0,3,3
ISR,202017,10 – 20,0,0,0,0,1,1
ISR,202017,20 – 30,0,0,0,0,2,2
ISR,202017,40 – 50,0,0,0,0,2,2
ISR,202017,60 – 70,0,0,0,0,6,6
ISR,202017,70 – 80,0,0,0,0,2,2
ISR,202017,>= 80,0,0,0,0,9,9
ISR,202018,40 – 50,0,0,0,0,1,1
ISR,202023,1 – 5,0,0,0,0,1,1
ISR,202023,20 – 30,0,0,0,0,1,1
ISR,202023,30 – 40,0,0,0,0,9,9
ISR,202023,40 – 50,0,0,0,0,3,3
ISR,202023,5 – 10,0,0,0,0,2,2
ISR,202023,50 – 60,0,0,0,0,1,1
ISR,202024,30 – 40,0,0,0,0,1,1
ISR,202025,40 – 50,0,0,0,0,2,2
ISR,202025,50 – 60,0,0,0,0,1,1
ISR,202025,70 – 80,0,0,0,0,2,2
ISR,202025,>= 80,0,0,0,0,1,1
ISR,202026,20 – 30,0,0,0,0,1,1
ISR,202026,40 – 50,0,0,0,0,2,2
ISR,202026,60 – 70,0,0,0,0,2,2
ISR,202027,20 – 30,0,0,0,0,4,4
ISR,202027,30 – 40,0,0,0,0,1,1
ISR,202027,40 – 50,0,0,0,0,1,1
ISR,202027,50 – 60,0,0,0,0,2,2
ISR,202027,60 – 70,0,0,0,0,1,1
ISR,202027,70 – 80,0,0,0,0,1,1
ISR,202028,40 – 50,0,0,0,0,2,2
ISR,202029,70 – 80,0,0,0,0,1,1
ISR,202029,>= 80,0,0,0,0,1,1
ISR,202030,10 – 20,0,0,0,0,2,2
ISR,202030,20 – 30,0,0,0,0,5,5
ISR,202030,30 – 40,0,0,0,0,1,1
ISR,202030,40 – 50,0,0,0,0,1,1
ISR,202030,50 – 60,0,0,0,0,3,3
ISR,202030,>= 80,0,0,0,0,1,1
ISR,202031,30 – 40,0,0,0,0,1,1
ISR,202031,>= 80,0,0,0,0,1,1
ISR,202038,30 – 40,0,0,0,0,1,1
ISR,202042,50 – 60,0,0,0,0,1,1
ISR,202049,20 – 30,0,0,0,0,1,1
ISR,202049,40 – 50,0,0,0,0,1,1
ISR,202049,50 – 60,0,0,0,0,1,1
ISR,202049,60 – 70,0,0,0,0,1,1
ISR,202050,10 – 20,0,0,0,0,4,4
ISR,202050,20 – 30,0,0,0,0,5,5
ISR,202050,30 – 40,0,0,0,0,1,1
ISR,202050,40 – 50,0,0,0,0,5,5
ISR,202050,5 – 10,0,0,0,0,1,1
ISR,202050,70 – 80,0,0,0,0,1,1
ISR,202050,>= 80,0,0,0,0,1,1
