Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ISR,202010,0,0,0,0,1,1
ISR,202011,0,0,0,0,3,3
ISR,202012,0,0,0,0,57,57
ISR,202013,0,0,0,0,54,54
ISR,202014,0,0,0,0,95,95
ISR,202015,0,0,0,0,29,29
ISR,202016,0,0,0,0,34,34
ISR,202017,0,0,0,0,22,22
ISR,202018,0,0,0,0,1,1
ISR,202023,0,0,0,0,17,17
ISR,202024,0,0,0,0,1,1
ISR,202025,0,0,0,0,6,6
ISR,202026,0,0,0,0,5,5
ISR,202027,0,0,0,0,10,10
ISR,202028,0,0,0,0,2,2
ISR,202029,0,0,0,0,2,2
ISR,202030,0,0,0,0,13,13
ISR,202031,0,0,0,0,2,2
ISR,202038,0,0,0,0,1,1
ISR,202042,0,0,0,0,1,1
ISR,202049,0,0,0,0,4,4
ISR,202050,0,0,0,0,18,18
ISR,202051,0,0,0,0,15,15
ISR,202052,1,0,0,0,2,3
ISR,202053,23,0,0,0,294,317
ISR,202101,0,0,0,0,1,1
ISR,202102,2,0,0,0,1,3
ISR,202103,12,0,0,0,7,19
ISR,202104,66,0,0,0,32,98
ISR,202105,184,6,0,0,50,240
ISR,202106,220,8,0,0,38,266
ISR,202107,153,0,0,0,8,161
ISR,202108,61,0,0,0,2,63
ISR,202109,82,0,0,0,3,85
ISR,202110,10,0,0,0,1,11
ISR,202111,3,0,0,0,0,3
ISR,202112,23,0,0,0,3,26
ISR,202113,9,0,0,0,1,10
ISR,202114,21,0,4,0,12,37
ISR,202115,19,0,21,0,14,54
ISR,202116,8,0,0,0,0,8
ISR,202117,3,0,0,0,1,4
ISR,202120,39,2,7,0,6,54
ISR,202124,1,0,8,0,3,12
ISR,202125,3,0,539,0,54,596
ISR,202126,34,0,791,0,134,959
ISR,202127,6,0,332,0,61,399
ISR,202129,0,0,1,0,0,1
ISR,202131,0,0,301,0,27,328
ISR,202132,0,0,321,0,70,391
ISR,202133,0,0,140,0,19,159
ISR,202134,0,0,687,0,107,794
ISR,202135,0,0,612,0,73,685
ISR,202136,0,0,876,0,61,937
ISR,202137,0,0,521,0,71,592
ISR,202138,0,0,3,0,0,3
ISR,202139,0,0,79,0,5,84
ISR,202140,0,0,390,0,28,418
ISR,202141,0,0,297,0,58,355
ISR,202142,0,0,187,0,18,205
ISR,202143,0,0,156,0,7,163
ISR,202144,0,0,487,0,60,547
ISR,202145,0,0,169,0,12,181
ISR,202146,0,0,657,1,60,718
ISR,202147,0,0,742,5,70,817
ISR,202148,2,0,529,8,57,596
ISR,202149,0,0,761,89,219,1069
ISR,202150,0,0,437,249,120,806
ISR,202151,0,0,99,114,26,239
