Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ISR,202009,0,0,0,0,1,1
ISR,202010,0,0,0,0,2,2
ISR,202011,0,0,0,0,3,3
ISR,202012,0,0,0,0,61,61
ISR,202013,0,0,0,0,58,58
ISR,202014,0,0,0,0,96,96
ISR,202015,0,0,0,0,30,30
ISR,202016,0,0,0,0,36,36
ISR,202017,0,0,0,0,24,24
ISR,202018,0,0,0,0,1,1
ISR,202023,0,0,0,0,17,17
ISR,202024,0,0,0,0,1,1
ISR,202025,0,0,0,0,6,6
ISR,202026,0,0,0,0,5,5
ISR,202027,0,0,0,0,11,11
ISR,202028,0,0,0,0,2,2
ISR,202029,0,0,0,0,2,2
ISR,202030,0,0,0,0,39,39
ISR,202031,0,0,0,0,2,2
ISR,202038,0,0,0,0,1,1
ISR,202042,0,0,0,0,1,1
ISR,202049,0,0,0,0,8,8
ISR,202050,0,0,0,0,28,28
ISR,202051,1,0,0,0,19,20
ISR,202052,27,0,0,0,112,139
ISR,202053,26,0,0,0,278,304
ISR,202101,1,0,0,0,1,2
ISR,202102,2,0,0,0,1,3
ISR,202103,12,0,0,0,7,19
ISR,202104,66,1,0,0,32,99
ISR,202105,184,6,0,0,50,240
ISR,202106,220,8,0,0,38,266
ISR,202107,153,0,0,0,8,161
ISR,202108,61,0,0,0,2,63
ISR,202109,82,0,0,0,3,85
ISR,202110,10,0,0,0,1,11
ISR,202111,3,0,0,0,0,3
ISR,202112,23,0,0,0,3,26
ISR,202113,9,0,0,0,1,10
ISR,202114,21,0,4,0,13,38
ISR,202115,20,0,22,0,15,57
ISR,202116,8,0,0,0,0,8
ISR,202117,3,0,1,0,1,5
ISR,202120,55,2,7,0,7,71
ISR,202124,1,0,6,0,3,10
ISR,202125,3,0,530,0,54,587
ISR,202126,34,0,784,0,132,950
ISR,202127,6,0,332,0,58,396
ISR,202129,0,0,1,0,0,1
ISR,202131,0,0,295,0,27,322
ISR,202132,0,0,318,0,70,388
ISR,202133,0,0,139,0,18,157
ISR,202134,0,0,675,0,106,781
ISR,202135,0,0,608,0,72,680
ISR,202136,0,0,855,0,61,916
ISR,202137,0,0,500,0,68,568
ISR,202138,0,0,3,0,0,3
ISR,202139,0,0,78,0,5,83
ISR,202140,0,0,371,0,25,396
ISR,202141,0,0,290,0,55,345
ISR,202142,0,0,182,0,17,199
ISR,202143,0,0,155,0,7,162
ISR,202144,0,0,482,0,59,541
ISR,202145,0,0,168,0,11,179
ISR,202146,0,0,642,0,59,701
ISR,202147,0,0,737,5,69,811
ISR,202148,2,0,524,8,55,589
ISR,202149,0,0,758,89,218,1065
ISR,202150,0,0,432,246,120,798
ISR,202151,0,0,97,114,25,236
ISR,202152,0,0,1,12,2,15
ISR,202201,0,0,21,667,172,860
ISR,202202,0,0,2,293,28,323
ISR,202203,0,0,2,1109,90,1201
ISR,202204,0,0,4,1589,86,1679
ISR,202205,0,0,0,118,5,123
ISR,202206,0,0,0,185,5,190
