Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ISR,202009,0,0,0,0,2,2
ISR,202010,0,0,0,0,18,18
ISR,202011,0,0,0,0,43,43
ISR,202012,0,0,0,0,63,63
ISR,202013,0,0,0,0,58,58
ISR,202014,0,0,0,0,99,99
ISR,202015,0,0,0,0,33,33
ISR,202016,0,0,0,0,44,44
ISR,202017,0,0,0,0,30,30
ISR,202018,0,0,0,0,5,5
ISR,202019,0,0,0,0,4,4
ISR,202020,0,0,0,0,2,2
ISR,202021,0,0,0,0,1,1
ISR,202022,0,0,0,0,3,3
ISR,202023,0,0,0,0,17,17
ISR,202024,0,0,0,0,1,1
ISR,202025,0,0,0,0,6,6
ISR,202026,0,0,0,0,5,5
ISR,202027,0,0,0,0,10,10
ISR,202028,0,0,0,0,2,2
ISR,202029,0,0,0,0,2,2
ISR,202030,0,0,0,0,45,45
ISR,202031,0,0,0,0,4,4
ISR,202032,0,0,0,0,8,8
ISR,202033,0,0,0,0,3,3
ISR,202034,0,0,0,0,2,2
ISR,202036,0,0,0,0,3,3
ISR,202038,0,0,0,0,1,1
ISR,202042,0,0,0,0,1,1
ISR,202047,0,0,0,0,1,1
ISR,202049,0,0,0,0,9,9
ISR,202050,0,0,0,0,28,28
ISR,202051,1,1,0,0,19,21
ISR,202052,65,0,0,0,173,238
ISR,202053,145,7,1,0,962,1115
ISR,202101,451,22,7,0,421,901
ISR,202102,255,32,3,0,330,620
ISR,202103,295,9,0,0,249,553
ISR,202104,562,13,8,0,329,912
ISR,202105,785,57,0,0,225,1067
ISR,202106,533,21,0,0,176,730
ISR,202107,311,11,0,0,99,421
ISR,202108,793,25,0,0,149,967
ISR,202109,957,28,0,0,72,1057
ISR,202110,248,2,0,0,16,266
ISR,202111,542,2,0,0,14,558
ISR,202112,338,3,0,0,11,352
ISR,202113,20,1,0,0,4,25
ISR,202114,758,1,4,0,29,792
ISR,202115,241,0,22,0,31,294
ISR,202116,176,1,11,0,11,199
ISR,202117,158,0,9,0,17,184
ISR,202118,90,0,15,0,40,145
ISR,202119,43,1,7,0,20,71
ISR,202120,119,2,10,0,15,146
ISR,202121,4,1,2,0,6,13
ISR,202122,25,0,25,0,8,58
ISR,202123,6,1,41,0,12,60
ISR,202124,4,0,47,0,7,58
ISR,202125,3,0,547,0,56,606
ISR,202126,47,0,1284,0,172,1503
ISR,202127,9,0,430,0,73,512
ISR,202128,1,1,125,0,8,135
ISR,202129,1,0,266,0,41,308
ISR,202130,1,0,548,0,93,642
ISR,202131,0,0,765,0,58,823
ISR,202132,4,0,1072,0,146,1222
ISR,202133,0,0,371,0,43,414
ISR,202134,0,0,1048,0,168,1216
ISR,202135,0,0,933,0,115,1048
ISR,202136,0,0,1177,0,89,1266
ISR,202137,0,0,1109,0,114,1223
ISR,202138,0,0,297,0,22,319
ISR,202139,0,0,383,0,50,433
ISR,202140,0,0,558,0,47,605
ISR,202141,0,0,743,0,115,858
ISR,202142,0,0,574,0,99,673
ISR,202143,0,0,396,0,16,412
ISR,202144,0,0,797,0,127,924
ISR,202145,0,0,551,0,57,608
ISR,202146,0,0,1337,1,145,1483
ISR,202147,0,0,1052,6,97,1155
ISR,202148,4,0,1253,31,179,1467
ISR,202149,0,0,1122,114,254,1490
ISR,202150,0,0,1127,693,175,1995
ISR,202151,0,0,409,1414,41,1864
ISR,202152,0,0,231,1604,75,1910
ISR,202201,0,0,40,1209,51,1300
ISR,202202,0,0,16,997,3,1016
ISR,202203,0,0,1,348,9,358
