Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ITA,202005,0,0,0,0,0,5,5
ITA,202006,0,0,0,0,0,3,3
ITA,202007,0,0,0,0,0,15,15
ITA,202008,0,0,0,0,0,10,10
ITA,202009,0,0,0,0,0,81,81
ITA,202010,0,0,0,0,0,118,118
ITA,202011,1,0,0,0,0,201,202
ITA,202012,1,0,0,0,0,160,161
ITA,202013,0,0,0,0,0,138,138
ITA,202014,0,0,0,0,0,92,92
ITA,202015,0,0,0,0,0,91,91
ITA,202016,0,0,0,0,0,59,59
ITA,202017,0,0,0,0,0,71,71
ITA,202018,0,0,0,0,0,73,73
ITA,202019,0,0,0,0,0,26,26
ITA,202020,0,0,0,0,0,29,29
ITA,202021,0,0,0,0,0,7,7
ITA,202022,0,0,0,0,0,7,7
ITA,202023,0,0,0,0,0,19,19
ITA,202024,0,0,0,0,0,24,24
ITA,202025,0,0,0,0,0,19,19
ITA,202026,0,0,0,0,0,19,19
ITA,202027,0,0,0,0,0,59,59
ITA,202028,0,0,0,0,0,15,15
ITA,202029,0,0,0,0,0,12,12
ITA,202030,0,0,0,0,0,15,15
ITA,202031,0,0,0,0,0,2,2
ITA,202032,0,0,0,0,0,6,6
ITA,202033,0,0,0,0,0,7,7
ITA,202034,0,0,0,0,0,20,20
ITA,202035,0,0,0,0,0,83,83
ITA,202036,0,0,0,0,0,44,44
ITA,202037,0,0,0,0,0,52,52
ITA,202038,0,0,0,0,0,94,94
ITA,202039,0,0,0,0,0,29,29
ITA,202040,0,0,0,0,0,33,33
ITA,202041,1,0,0,0,0,28,29
ITA,202042,1,0,0,0,0,43,44
ITA,202043,2,0,0,0,0,63,65
ITA,202044,1,0,0,0,0,273,274
ITA,202045,1,0,0,0,0,138,139
ITA,202046,1,0,0,0,0,84,85
ITA,202047,1,0,0,0,0,88,89
ITA,202048,0,0,0,0,0,142,142
ITA,202049,2,0,0,0,0,75,77
ITA,202050,5,0,0,0,0,179,184
ITA,202051,20,0,0,0,0,427,447
ITA,202052,45,0,0,0,0,323,368
ITA,202053,89,0,0,0,0,224,313
ITA,202101,93,0,3,16,0,287,399
ITA,202102,71,0,0,0,0,472,543
ITA,202103,199,0,0,0,0,444,643
ITA,202104,82,3,0,0,0,91,176
ITA,202105,488,0,0,1,0,332,821
ITA,202106,428,4,0,0,0,665,1097
ITA,202107,676,3,0,0,0,891,1570
ITA,202108,979,7,0,0,0,838,1824
ITA,202109,1371,2,0,0,0,692,2065
ITA,202110,1652,10,0,0,0,559,2221
ITA,202111,2222,12,0,0,0,547,2781
ITA,202112,1068,10,0,0,0,181,1259
ITA,202113,1451,11,2,0,0,185,1649
ITA,202114,1396,6,1,0,0,174,1577
ITA,202115,1430,4,2,0,0,145,1581
ITA,202116,1912,5,16,0,0,336,2269
ITA,202117,874,2,32,0,0,139,1047
ITA,202118,913,5,45,0,0,141,1104
ITA,202119,645,7,36,0,0,139,827
ITA,202120,1101,5,40,0,0,259,1405
ITA,202121,418,0,44,0,0,124,586
ITA,202122,401,0,35,0,0,119,555
ITA,202123,252,0,96,0,0,104,452
ITA,202124,190,0,104,0,0,96,390
ITA,202125,288,0,224,0,0,179,691
ITA,202126,121,0,305,0,0,92,518
ITA,202127,100,0,481,0,0,94,675
ITA,202128,37,1,527,0,0,51,616
ITA,202129,42,0,961,0,0,44,1047
ITA,202130,20,0,600,0,0,16,636
ITA,202131,2,0,471,0,0,4,477
ITA,202132,6,0,772,0,0,8,786
ITA,202133,2,0,690,0,0,4,696
ITA,202134,1,0,811,0,0,5,817
ITA,202135,4,0,628,0,0,1,633
ITA,202136,3,0,499,0,0,10,512
ITA,202137,1,0,506,0,0,19,526
ITA,202138,0,0,587,0,0,3,590
ITA,202139,2,0,461,0,0,39,502
ITA,202140,7,0,395,1,0,24,427
ITA,202141,7,0,527,0,0,15,549
ITA,202142,2,0,641,1,0,10,654
ITA,202143,0,0,617,0,0,26,643
ITA,202144,0,0,889,0,0,23,912
ITA,202145,0,0,1065,0,0,43,1108
ITA,202146,0,0,962,0,0,30,992
ITA,202147,1,0,652,0,0,28,681
ITA,202148,1,0,691,7,0,30,729
ITA,202149,2,0,1402,11,0,70,1485
ITA,202150,1,0,746,93,0,17,857
ITA,202151,1,0,972,435,0,148,1556
ITA,202152,0,0,299,492,0,143,934
ITA,202201,0,0,284,647,0,358,1289
ITA,202202,0,0,91,330,4,183,608
ITA,202203,0,0,57,526,9,393,985
ITA,202204,0,0,9,202,19,221,451
ITA,202205,0,0,19,410,38,452,919
ITA,202206,0,0,0,14,3,18,35
