Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ITA,202005,0,0,0,0,5,5
ITA,202006,0,0,0,0,3,3
ITA,202007,0,0,0,0,15,15
ITA,202008,0,0,0,0,23,23
ITA,202009,0,0,0,0,147,147
ITA,202010,0,0,0,0,140,140
ITA,202011,1,0,0,0,203,204
ITA,202012,1,0,0,0,165,166
ITA,202013,0,0,0,0,138,138
ITA,202014,0,0,0,0,99,99
ITA,202015,0,0,0,0,93,93
ITA,202016,0,0,0,0,64,64
ITA,202017,0,0,0,0,76,76
ITA,202018,0,0,0,0,74,74
ITA,202019,0,0,0,0,31,31
ITA,202020,0,0,0,0,34,34
ITA,202021,0,0,0,0,13,13
ITA,202022,0,0,0,0,6,6
ITA,202023,0,0,0,0,19,19
ITA,202024,0,0,0,0,28,28
ITA,202025,0,0,0,0,21,21
ITA,202026,0,0,0,0,18,18
ITA,202027,0,0,0,0,59,59
ITA,202028,0,0,0,0,16,16
ITA,202029,0,0,0,0,14,14
ITA,202030,0,0,0,0,15,15
ITA,202031,0,0,0,0,2,2
ITA,202032,0,0,0,0,12,12
ITA,202033,0,0,0,0,7,7
ITA,202034,0,0,0,0,23,23
ITA,202035,0,0,0,0,84,84
ITA,202036,0,0,0,0,56,56
ITA,202037,0,0,0,0,55,55
ITA,202038,0,0,0,0,98,98
ITA,202039,0,0,0,0,36,36
ITA,202040,0,0,0,0,51,51
ITA,202041,1,0,0,0,24,25
ITA,202042,1,0,0,0,50,51
ITA,202043,2,0,0,0,70,72
ITA,202044,1,0,0,0,278,279
ITA,202045,1,0,0,0,145,146
ITA,202046,1,0,0,0,74,75
ITA,202047,1,0,0,0,85,86
ITA,202048,0,0,0,0,126,126
ITA,202049,2,0,0,0,85,87
ITA,202050,5,0,0,0,183,188
ITA,202051,20,0,0,0,435,455
ITA,202052,46,0,0,0,321,367
ITA,202053,88,0,0,0,236,324
ITA,202101,93,0,0,0,289,382
ITA,202102,72,0,0,0,479,551
ITA,202103,201,0,0,0,448,649
ITA,202104,82,2,0,0,89,173
ITA,202105,486,1,0,0,339,826
ITA,202106,371,4,0,0,533,908
ITA,202107,647,3,0,0,856,1506
ITA,202108,859,3,0,0,784,1646
ITA,202109,1331,2,0,0,669,2002
ITA,202110,1523,10,0,0,529,2062
ITA,202111,1834,12,0,0,509,2355
ITA,202112,924,9,0,0,184,1117
ITA,202113,1432,11,2,0,188,1633
ITA,202114,1400,6,1,0,172,1579
ITA,202115,1443,4,2,0,153,1602
ITA,202116,1928,5,17,0,346,2296
ITA,202117,893,2,23,0,142,1060
ITA,202118,916,5,70,0,145,1136
ITA,202119,612,4,28,0,133,777
ITA,202120,1082,5,40,0,260,1387
ITA,202121,418,0,44,0,126,588
ITA,202122,412,1,37,0,130,580
ITA,202123,275,0,101,0,126,502
ITA,202124,198,1,115,0,104,418
ITA,202125,280,0,217,0,168,665
ITA,202126,132,0,387,0,106,625
ITA,202127,133,0,793,0,114,1040
ITA,202128,48,1,769,0,56,874
ITA,202129,46,0,1157,0,45,1248
ITA,202130,29,0,860,0,18,907
ITA,202131,6,0,571,0,6,583
ITA,202132,6,0,770,0,8,784
ITA,202133,2,0,680,0,4,686
ITA,202134,1,0,856,0,5,862
ITA,202135,4,0,613,0,1,618
ITA,202136,3,0,387,0,0,390
ITA,202137,1,0,434,0,2,437
ITA,202138,0,0,562,0,1,563
ITA,202139,2,0,401,0,4,407
ITA,202140,7,0,283,0,19,309
ITA,202141,7,0,438,0,3,448
ITA,202142,2,0,635,0,3,640
ITA,202143,0,0,497,0,1,498
ITA,202144,0,0,748,0,6,754
ITA,202145,0,0,926,0,12,938
ITA,202146,0,0,885,0,1,886
ITA,202147,1,0,385,0,2,388
ITA,202148,0,0,434,4,1,439
ITA,202149,1,0,1041,2,3,1047
ITA,202150,1,0,505,43,3,552
ITA,202151,1,0,684,239,5,929
ITA,202152,0,0,220,454,7,681
ITA,202201,0,0,121,355,27,503
ITA,202202,0,0,37,188,2,227
ITA,202203,0,0,18,283,1,302
