Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ITA,201949,0,0,0,0,1,1
ITA,202005,0,0,0,0,5,5
ITA,202006,0,0,0,0,3,3
ITA,202007,0,0,0,0,15,15
ITA,202008,0,0,0,0,26,26
ITA,202009,0,0,0,0,155,155
ITA,202010,0,0,0,0,184,184
ITA,202011,1,0,0,0,288,289
ITA,202012,1,0,0,0,260,261
ITA,202013,0,0,0,0,216,216
ITA,202014,0,0,0,0,204,204
ITA,202015,0,0,0,0,172,172
ITA,202016,0,0,0,0,108,108
ITA,202017,0,0,0,0,88,88
ITA,202018,0,0,0,0,89,89
ITA,202019,0,0,0,0,43,43
ITA,202020,0,0,0,0,39,39
ITA,202021,0,0,0,0,14,14
ITA,202022,0,0,0,0,7,7
ITA,202023,0,0,0,0,24,24
ITA,202024,0,0,0,0,34,34
ITA,202025,0,0,0,0,24,24
ITA,202026,0,0,0,0,23,23
ITA,202027,0,0,0,0,87,87
ITA,202028,0,0,0,0,20,20
ITA,202029,0,0,0,0,15,15
ITA,202030,0,0,0,0,20,20
ITA,202031,0,0,0,0,6,6
ITA,202032,0,0,0,0,21,21
ITA,202033,0,0,0,0,11,11
ITA,202034,0,0,0,0,33,33
ITA,202035,0,0,0,0,97,97
ITA,202036,0,0,0,0,70,70
ITA,202037,0,0,0,0,93,93
ITA,202038,0,0,0,0,110,110
ITA,202039,0,0,0,0,65,65
ITA,202040,0,0,0,0,65,65
ITA,202041,1,0,0,0,79,80
ITA,202042,1,0,0,0,130,131
ITA,202043,2,0,0,0,104,106
ITA,202044,1,0,0,0,296,297
ITA,202045,1,0,0,0,213,214
ITA,202046,1,0,0,0,129,130
ITA,202047,1,0,0,0,137,138
ITA,202048,0,0,0,0,159,159
ITA,202049,2,0,0,0,130,132
ITA,202050,6,0,0,0,222,228
ITA,202051,21,0,0,0,456,477
ITA,202052,46,0,0,0,356,402
ITA,202053,94,0,0,0,306,400
ITA,202101,94,0,3,0,383,480
ITA,202102,77,0,13,0,541,631
ITA,202103,220,0,0,0,534,754
ITA,202104,99,3,1,0,127,230
ITA,202105,510,1,0,0,447,958
ITA,202106,535,6,0,0,824,1365
ITA,202107,775,6,0,0,1070,1851
ITA,202108,1066,8,0,0,898,1972
ITA,202109,1571,4,0,0,842,2417
ITA,202110,1836,10,0,0,739,2585
ITA,202111,2490,14,199,0,896,3599
ITA,202112,1327,11,0,0,245,1583
ITA,202113,1731,12,2,0,335,2080
ITA,202114,1636,8,2,0,243,1889
ITA,202115,1718,6,2,0,257,1983
ITA,202116,2305,5,18,0,620,2948
ITA,202117,1097,4,39,0,214,1354
ITA,202118,1122,6,75,0,221,1424
ITA,202119,850,7,40,0,188,1085
ITA,202120,1340,15,44,0,532,1931
ITA,202121,551,0,85,0,186,822
ITA,202122,610,3,73,0,227,913
ITA,202123,412,0,161,0,193,766
ITA,202124,326,1,239,0,199,765
ITA,202125,579,3,351,0,362,1295
ITA,202126,362,1,661,0,215,1239
ITA,202127,271,0,1416,0,263,1950
ITA,202128,127,3,1640,0,189,1959
ITA,202129,105,1,2722,0,175,3003
ITA,202130,67,0,2144,0,108,2319
ITA,202131,23,2,1871,0,55,1951
ITA,202132,13,0,1696,0,21,1730
ITA,202133,7,0,1520,0,13,1540
ITA,202134,2,0,1897,0,81,1980
ITA,202135,7,0,1731,0,33,1771
ITA,202136,3,0,1105,0,18,1126
ITA,202137,1,0,1330,0,22,1353
ITA,202138,3,0,1227,0,7,1237
ITA,202139,2,0,1327,0,40,1369
ITA,202140,7,0,1187,0,34,1228
ITA,202141,41,0,971,0,19,1031
ITA,202142,2,0,1335,0,21,1358
ITA,202143,0,0,1320,0,29,1349
ITA,202144,0,0,1815,0,57,1872
ITA,202145,0,0,1796,0,70,1866
ITA,202146,0,0,1865,0,37,1902
ITA,202147,1,0,1497,1,42,1541
ITA,202148,1,0,1324,10,41,1376
ITA,202149,2,0,2539,30,85,2656
ITA,202150,1,0,1440,227,30,1698
ITA,202151,1,0,1861,1200,164,3226
ITA,202152,0,0,472,1385,45,1902
ITA,202201,0,0,416,1841,120,2377
ITA,202202,0,0,145,1172,17,1334
ITA,202203,0,0,143,2494,105,2742
ITA,202204,0,0,20,1043,30,1093
ITA,202205,0,0,39,2216,135,2390
ITA,202206,0,0,10,830,8,848
ITA,202207,0,0,4,628,5,637
ITA,202208,0,0,3,634,7,644
ITA,202209,0,0,0,232,7,239
ITA,202210,0,0,0,302,3,305
