Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
JPN,202002,>= 80,0,0,0,0,1,1
JPN,202003,30 – 40,0,0,0,0,1,1
JPN,202004,,0,0,0,0,2,2
JPN,202004,40 – 50,0,0,0,0,1,1
JPN,202005,20 – 30,0,0,0,0,1,1
JPN,202007,70 – 80,0,0,0,0,1,1
JPN,202008,60 – 70,0,0,0,0,2,2
JPN,202008,70 – 80,0,0,0,0,5,5
JPN,202008,>= 80,0,0,0,0,1,1
JPN,202009,70 – 80,0,0,0,0,4,4
JPN,202010,60 – 70,0,0,0,0,1,1
JPN,202010,70 – 80,0,0,0,0,1,1
JPN,202011,40 – 50,0,0,0,0,1,1
JPN,202011,50 – 60,0,0,0,0,1,1
JPN,202011,60 – 70,0,0,0,0,5,5
JPN,202012,,0,0,0,0,1,1
JPN,202012,40 – 50,0,0,0,0,1,1
JPN,202013,20 – 30,0,0,0,0,2,2
JPN,202013,70 – 80,0,0,0,0,1,1
JPN,202014,20 – 30,0,0,0,0,2,2
JPN,202014,30 – 40,0,0,0,0,3,3
JPN,202014,40 – 50,0,0,0,0,5,5
JPN,202014,50 – 60,0,0,0,0,4,4
JPN,202014,60 – 70,0,0,0,0,1,1
JPN,202015,20 – 30,0,0,0,0,2,2
JPN,202015,30 – 40,0,0,0,0,5,5
JPN,202015,40 – 50,0,0,0,0,6,6
JPN,202015,50 – 60,0,0,0,0,2,2
JPN,202015,70 – 80,0,0,0,0,3,3
JPN,202015,>= 80,0,0,0,0,16,16
JPN,202016,20 – 30,0,0,0,0,2,2
JPN,202016,30 – 40,0,0,0,0,1,1
JPN,202016,50 – 60,0,0,0,0,1,1
JPN,202016,60 – 70,0,0,0,0,2,2
JPN,202017,40 – 50,0,0,0,0,3,3
JPN,202017,50 – 60,0,0,0,0,6,6
JPN,202017,60 – 70,0,0,0,0,3,3
JPN,202017,70 – 80,0,0,0,0,4,4
JPN,202017,>= 80,0,0,0,0,3,3
JPN,202018,20 – 30,0,0,0,0,1,1
JPN,202018,40 – 50,0,0,0,0,3,3
JPN,202018,50 – 60,0,0,0,0,1,1
JPN,202018,70 – 80,0,0,0,0,3,3
JPN,202018,>= 80,0,0,0,0,1,1
JPN,202019,50 – 60,0,0,0,0,2,2
JPN,202019,70 – 80,0,0,0,0,1,1
JPN,202019,>= 80,0,0,0,0,2,2
JPN,202020,20 – 30,0,0,0,0,1,1
JPN,202020,>= 80,0,0,0,0,2,2
JPN,202021,20 – 30,0,0,0,0,1,1
JPN,202021,60 – 70,0,0,0,0,1,1
JPN,202021,70 – 80,0,0,0,0,2,2
JPN,202021,>= 80,0,0,0,0,2,2
JPN,202022,20 – 30,0,0,0,0,2,2
JPN,202022,30 – 40,0,0,0,0,1,1
JPN,202022,50 – 60,0,0,0,0,1,1
JPN,202022,60 – 70,0,0,0,0,1,1
JPN,202022,70 – 80,0,0,0,0,2,2
JPN,202023,20 – 30,0,0,0,0,3,3
JPN,202023,30 – 40,0,0,0,0,2,2
JPN,202023,40 – 50,0,0,0,0,3,3
JPN,202023,50 – 60,0,0,0,0,1,1
JPN,202023,60 – 70,0,0,0,0,1,1
JPN,202023,>= 80,0,0,0,0,2,2
JPN,202024,20 – 30,0,0,0,0,4,4
JPN,202024,30 – 40,0,0,0,0,1,1
JPN,202024,50 – 60,0,0,0,0,1,1
JPN,202024,60 – 70,0,0,0,0,2,2
JPN,202024,70 – 80,0,0,0,0,2,2
JPN,202025,20 – 30,0,0,0,0,3,3
JPN,202026,20 – 30,0,0,0,0,3,3
JPN,202026,30 – 40,0,0,0,0,1,1
JPN,202027,10 – 20,0,0,0,0,1,1
JPN,202027,20 – 30,0,0,0,0,1,1
JPN,202027,30 – 40,0,0,0,0,1,1
JPN,202028,20 – 30,0,0,0,0,2,2
JPN,202028,30 – 40,0,0,0,0,7,7
JPN,202028,50 – 60,0,0,0,0,1,1
JPN,202028,70 – 80,0,0,0,0,2,2
JPN,202029,20 – 30,0,0,0,0,2,2
JPN,202029,40 – 50,0,0,0,0,2,2
JPN,202029,70 – 80,0,0,0,0,1,1
JPN,202029,>= 80,0,0,0,0,1,1
JPN,202030,1 – 5,0,0,0,0,1,1
JPN,202030,20 – 30,0,0,0,0,6,6
JPN,202030,30 – 40,0,0,0,0,4,4
JPN,202030,50 – 60,0,0,0,0,2,2
JPN,202030,60 – 70,0,0,0,0,1,1
JPN,202030,>= 80,0,0,0,0,2,2
JPN,202031,20 – 30,0,0,0,0,2,2
JPN,202031,30 – 40,0,0,0,0,1,1
JPN,202031,40 – 50,0,0,0,0,1,1
JPN,202031,50 – 60,0,0,0,0,1,1
JPN,202031,60 – 70,0,0,0,0,1,1
JPN,202031,70 – 80,0,0,0,0,3,3
JPN,202031,>= 80,0,0,0,0,1,1
JPN,202032,20 – 30,0,0,0,0,3,3
JPN,202032,40 – 50,0,0,0,0,1,1
JPN,202032,50 – 60,0,0,0,0,1,1
JPN,202032,60 – 70,0,0,0,0,2,2
JPN,202032,>= 80,0,0,0,0,1,1
JPN,202033,10 – 20,0,0,0,0,1,1
JPN,202033,20 – 30,0,0,0,0,1,1
JPN,202033,30 – 40,0,0,0,0,1,1
JPN,202033,40 – 50,0,0,0,0,3,3
JPN,202033,50 – 60,0,0,0,0,5,5
JPN,202033,60 – 70,0,0,0,0,2,2
JPN,202033,>= 80,0,0,0,0,1,1
JPN,202034,20 – 30,0,0,0,0,5,5
JPN,202034,30 – 40,0,0,0,0,4,4
JPN,202034,40 – 50,0,0,0,0,2,2
JPN,202034,5 – 10,0,0,0,0,2,2
JPN,202034,50 – 60,0,0,0,0,2,2
JPN,202034,60 – 70,0,0,0,0,2,2
JPN,202034,>= 80,0,0,0,0,2,2
JPN,202035,10 – 20,0,0,0,0,1,1
JPN,202035,20 – 30,0,0,0,0,2,2
JPN,202035,40 – 50,0,0,0,0,1,1
JPN,202035,50 – 60,0,0,0,0,2,2
JPN,202035,60 – 70,0,0,0,0,1,1
JPN,202035,70 – 80,0,0,0,0,3,3
JPN,202035,>= 80,0,0,0,0,1,1
JPN,202036,1 – 5,0,0,0,0,1,1
JPN,202036,10 – 20,0,0,0,0,2,2
JPN,202036,20 – 30,0,0,0,0,2,2
JPN,202036,30 – 40,0,0,0,0,3,3
JPN,202036,5 – 10,0,0,0,0,1,1
JPN,202036,50 – 60,0,0,0,0,2,2
JPN,202036,60 – 70,0,0,0,0,2,2
JPN,202036,70 – 80,0,0,0,0,1,1
JPN,202036,>= 80,0,0,0,0,2,2
JPN,202037,20 – 30,0,0,0,0,5,5
JPN,202037,30 – 40,0,0,0,0,1,1
JPN,202037,40 – 50,0,0,0,0,2,2
JPN,202037,50 – 60,0,0,0,0,3,3
JPN,202037,60 – 70,0,0,0,0,2,2
JPN,202037,70 – 80,0,0,0,0,2,2
JPN,202037,>= 80,0,0,0,0,3,3
JPN,202038,20 – 30,0,0,0,0,4,4
JPN,202038,30 – 40,0,0,0,0,5,5
JPN,202038,40 – 50,0,0,0,0,2,2
JPN,202038,5 – 10,0,0,0,0,1,1
JPN,202038,50 – 60,0,0,0,0,2,2
JPN,202038,60 – 70,0,0,0,0,1,1
JPN,202038,>= 80,0,0,0,0,1,1
