Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
JPN,202002,0,0,0,0,1,1
JPN,202003,0,0,0,0,1,1
JPN,202004,0,0,0,0,3,3
JPN,202005,0,0,0,0,1,1
JPN,202007,0,0,0,0,1,1
JPN,202008,0,0,0,0,8,8
JPN,202009,0,0,0,0,4,4
JPN,202010,0,0,0,0,2,2
JPN,202011,0,0,0,0,7,7
JPN,202012,0,0,0,0,2,2
JPN,202013,0,0,0,0,4,4
JPN,202014,0,0,0,0,17,17
JPN,202015,0,0,0,0,35,35
JPN,202016,0,0,0,0,26,26
JPN,202017,0,0,0,0,22,22
JPN,202018,0,0,0,0,12,12
JPN,202019,0,0,0,0,5,5
JPN,202020,0,0,0,0,3,3
JPN,202021,0,0,0,0,6,6
JPN,202022,0,0,0,0,7,7
JPN,202023,0,0,0,0,12,12
JPN,202024,0,0,0,0,10,10
JPN,202025,0,0,0,0,3,3
JPN,202026,0,0,0,0,4,4
JPN,202027,0,0,0,0,4,4
JPN,202028,0,0,0,0,16,16
JPN,202029,0,0,0,0,10,10
JPN,202030,0,0,0,0,31,31
JPN,202031,0,0,0,0,30,30
JPN,202032,0,0,0,0,15,15
JPN,202033,0,0,0,0,15,15
JPN,202034,0,0,0,0,20,20
JPN,202035,0,0,0,0,12,12
JPN,202036,0,0,0,0,16,16
JPN,202037,0,0,0,0,20,20
JPN,202038,0,0,0,0,16,16
JPN,202039,0,0,0,0,7,7
JPN,202040,0,0,0,0,26,26
JPN,202041,0,0,0,0,9,9
JPN,202042,0,0,0,0,9,9
JPN,202043,0,0,0,0,12,12
JPN,202044,0,0,0,0,17,17
JPN,202045,0,0,0,0,16,16
JPN,202046,0,0,0,0,32,32
JPN,202047,0,0,0,0,34,34
JPN,202048,0,0,0,0,33,33
JPN,202049,0,0,0,0,24,24
JPN,202050,0,0,0,0,26,26
JPN,202051,0,0,0,0,27,27
JPN,202052,0,0,0,0,25,25
JPN,202053,0,0,0,0,32,32
JPN,202101,0,0,0,0,38,38
JPN,202102,0,0,0,0,36,36
JPN,202103,0,0,0,0,22,22
JPN,202104,0,0,0,0,22,22
JPN,202105,1,0,0,0,9,10
JPN,202106,0,0,0,0,11,11
JPN,202107,0,0,0,0,9,9
JPN,202108,0,0,0,0,6,6
JPN,202109,3,0,0,0,4,7
JPN,202110,2,0,0,0,11,13
JPN,202111,15,0,0,0,16,31
JPN,202112,18,0,0,0,7,25
JPN,202113,36,0,0,0,7,43
JPN,202114,18,0,0,0,19,37
JPN,202115,26,0,0,0,15,41
JPN,202116,66,0,0,0,14,80
JPN,202117,67,0,0,0,10,77
JPN,202118,73,0,2,0,15,90
JPN,202119,92,0,11,0,8,111
JPN,202120,87,0,1,0,5,93
JPN,202121,69,0,0,0,1,70
JPN,202122,53,0,1,0,1,55
JPN,202123,50,0,0,0,0,50
JPN,202124,29,0,1,0,0,30
JPN,202125,43,0,7,0,0,50
JPN,202126,28,0,3,0,0,31
JPN,202127,31,0,10,0,0,41
JPN,202128,51,0,32,0,0,83
JPN,202129,52,0,54,0,0,106
JPN,202130,101,0,155,0,0,256
JPN,202131,31,0,155,0,1,187
JPN,202132,37,0,182,0,0,219
JPN,202133,30,0,265,0,0,295
JPN,202134,17,0,177,0,0,194
JPN,202135,14,0,176,0,0,190
JPN,202136,7,0,170,0,0,177
JPN,202137,0,0,97,0,1,98
JPN,202138,0,0,95,0,0,95
JPN,202139,0,0,68,0,0,68
JPN,202140,0,0,35,0,0,35
JPN,202141,0,0,19,0,0,19
JPN,202142,0,0,11,0,0,11
JPN,202143,0,0,2,0,0,2
JPN,202144,0,0,2,0,0,2
JPN,202147,0,0,3,0,0,3
JPN,202148,0,0,5,0,0,5
JPN,202149,0,0,20,0,0,20
JPN,202150,0,0,34,19,0,53
JPN,202151,0,0,49,24,0,73
JPN,202152,0,0,35,95,0,130
JPN,202201,0,0,107,806,1,914
JPN,202202,0,0,138,4119,0,4257
JPN,202203,0,0,36,4198,0,4234
JPN,202204,0,0,25,1122,0,1147
JPN,202205,0,0,8,938,0,946
JPN,202206,0,0,2,470,0,472
JPN,202207,0,0,0,116,0,116
JPN,202208,0,0,0,25,0,25
JPN,202209,0,0,0,7,0,7
JPN,202210,0,0,0,13,0,13
