Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
JPN,202002,Male,0,0,0,0,1,1
JPN,202003,Male,0,0,0,0,1,1
JPN,202004,Female,0,0,0,0,1,1
JPN,202004,Male,0,0,0,0,2,2
JPN,202005,Female,0,0,0,0,1,1
JPN,202007,Female,0,0,0,0,1,1
JPN,202008,Female,0,0,0,0,6,6
JPN,202008,Male,0,0,0,0,2,2
JPN,202009,Female,0,0,0,0,3,3
JPN,202009,Male,0,0,0,0,1,1
JPN,202010,Female,0,0,0,0,2,2
JPN,202011,Female,0,0,0,0,7,7
JPN,202011,Male,0,0,0,0,6,6
JPN,202012,Female,0,0,0,0,4,4
JPN,202012,Male,0,0,0,0,3,3
JPN,202013,Female,0,0,0,0,1,1
JPN,202013,Male,0,0,0,0,2,2
JPN,202014,Female,0,0,0,0,4,4
JPN,202014,Male,0,0,0,0,11,11
JPN,202015,Female,0,0,0,0,24,24
JPN,202015,Male,0,0,0,0,14,14
JPN,202016,Female,0,0,0,0,8,8
JPN,202016,Male,0,0,0,0,9,9
JPN,202017,Female,0,0,0,0,8,8
JPN,202017,Male,0,0,0,0,13,13
JPN,202018,Female,0,0,0,0,8,8
JPN,202018,Male,0,0,0,0,3,3
JPN,202019,Female,0,0,0,0,3,3
JPN,202019,Male,0,0,0,0,2,2
JPN,202020,Female,0,0,0,0,2,2
JPN,202020,Male,0,0,0,0,1,1
JPN,202021,Female,0,0,0,0,1,1
JPN,202021,Male,0,0,0,0,5,5
JPN,202022,Female,0,0,0,0,4,4
JPN,202022,Male,0,0,0,0,3,3
JPN,202023,Female,0,0,0,0,4,4
JPN,202023,Male,0,0,0,0,8,8
JPN,202024,Female,0,0,0,0,4,4
JPN,202024,Male,0,0,0,0,6,6
JPN,202025,Male,0,0,0,0,3,3
JPN,202026,Female,0,0,0,0,1,1
JPN,202026,Male,0,0,0,0,3,3
JPN,202027,Female,0,0,0,0,1,1
JPN,202027,Male,0,0,0,0,2,2
JPN,202028,Female,0,0,0,0,4,4
JPN,202028,Male,0,0,0,0,8,8
JPN,202029,Female,0,0,0,0,2,2
JPN,202029,Male,0,0,0,0,4,4
JPN,202030,Female,0,0,0,0,7,7
JPN,202030,Male,0,0,0,0,9,9
JPN,202031,Female,0,0,0,0,6,6
JPN,202031,Male,0,0,0,0,11,11
JPN,202032,Female,0,0,0,0,5,5
JPN,202032,Male,0,0,0,0,8,8
JPN,202033,Female,0,0,0,0,9,9
JPN,202033,Male,0,0,0,0,7,7
JPN,202034,Female,0,0,0,0,12,12
JPN,202034,Male,0,0,0,0,8,8
JPN,202035,Female,0,0,0,0,6,6
