Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
JPN,202002,0,0,0,0,1,1
JPN,202003,0,0,0,0,1,1
JPN,202004,0,0,0,0,3,3
JPN,202005,0,0,0,0,1,1
JPN,202007,0,0,0,0,1,1
JPN,202008,0,0,0,0,8,8
JPN,202009,0,0,0,0,4,4
JPN,202010,0,0,0,0,2,2
JPN,202011,0,0,0,0,13,13
JPN,202012,0,0,0,0,7,7
JPN,202013,0,0,0,0,4,4
JPN,202014,0,0,0,0,17,17
JPN,202015,0,0,0,0,39,39
JPN,202016,0,0,0,0,37,37
JPN,202017,0,0,0,0,24,24
JPN,202018,0,0,0,0,14,14
JPN,202019,0,0,0,0,5,5
JPN,202020,0,0,0,0,3,3
JPN,202021,0,0,0,0,6,6
JPN,202022,0,0,0,0,7,7
JPN,202023,0,0,0,0,12,12
JPN,202024,0,0,0,0,10,10
JPN,202025,0,0,0,0,3,3
JPN,202026,0,0,0,0,4,4
JPN,202027,0,0,0,0,4,4
JPN,202028,0,0,0,0,16,16
JPN,202029,0,0,0,0,10,10
JPN,202030,0,0,0,0,31,31
JPN,202031,0,0,0,0,37,37
JPN,202032,0,0,0,0,20,20
JPN,202033,0,0,0,0,17,17
JPN,202034,0,0,0,0,21,21
JPN,202035,0,0,0,0,12,12
JPN,202036,0,0,0,0,16,16
JPN,202037,0,0,0,0,20,20
JPN,202038,0,0,0,0,16,16
JPN,202039,0,0,0,0,7,7
JPN,202040,0,0,0,0,27,27
JPN,202041,0,0,0,0,9,9
JPN,202042,0,0,0,0,10,10
JPN,202043,0,0,0,0,12,12
JPN,202044,0,0,0,0,17,17
JPN,202045,0,0,0,0,16,16
JPN,202046,0,0,0,0,33,33
JPN,202047,0,0,0,0,34,34
JPN,202048,0,0,0,0,33,33
JPN,202049,0,0,0,0,24,24
JPN,202050,0,0,0,0,26,26
JPN,202051,0,0,0,0,27,27
JPN,202052,0,0,0,0,25,25
JPN,202053,0,0,0,0,32,32
JPN,202101,0,0,0,0,41,41
JPN,202102,0,0,0,0,36,36
JPN,202103,0,0,0,0,22,22
JPN,202104,0,0,0,0,22,22
JPN,202105,1,0,0,0,9,10
JPN,202106,0,0,0,0,11,11
JPN,202107,0,0,0,0,9,9
JPN,202108,0,0,0,0,6,6
JPN,202109,3,0,0,0,4,7
JPN,202110,2,0,0,0,14,16
JPN,202111,15,0,0,0,16,31
JPN,202112,18,0,0,0,8,26
JPN,202113,36,0,0,0,9,45
JPN,202114,19,0,0,0,19,38
JPN,202115,35,0,0,0,22,57
JPN,202116,88,0,0,0,15,103
JPN,202117,111,0,0,0,10,121
JPN,202118,86,0,2,0,15,103
JPN,202119,96,0,11,0,9,116
JPN,202120,88,0,1,0,6,95
JPN,202121,69,0,0,0,1,70
JPN,202122,62,0,1,0,1,64
JPN,202123,68,0,0,0,0,68
JPN,202124,51,0,1,0,0,52
JPN,202125,58,0,7,0,0,65
JPN,202126,42,0,4,0,0,46
JPN,202127,59,0,17,0,0,76
JPN,202128,75,0,41,0,0,116
JPN,202129,73,0,81,0,0,154
JPN,202130,130,0,206,0,0,336
JPN,202131,45,0,230,0,1,276
JPN,202132,44,0,285,0,0,329
JPN,202133,42,0,409,0,0,451
JPN,202134,32,0,310,0,0,342
JPN,202135,19,0,270,0,0,289
JPN,202136,7,0,220,0,0,227
JPN,202137,0,0,131,0,1,132
JPN,202138,0,0,114,0,0,114
JPN,202139,0,0,75,0,0,75
JPN,202140,0,0,36,0,0,36
JPN,202141,0,0,19,0,0,19
JPN,202142,0,0,11,0,0,11
JPN,202143,0,0,3,0,0,3
JPN,202144,0,0,2,0,0,2
JPN,202145,0,0,4,0,0,4
JPN,202147,0,0,3,0,0,3
JPN,202148,0,0,7,0,0,7
JPN,202149,0,0,25,0,0,25
JPN,202150,0,0,34,20,0,54
JPN,202151,0,0,50,25,0,75
JPN,202152,0,0,38,106,0,144
JPN,202201,0,0,124,920,1,1045
JPN,202202,0,0,150,4494,0,4644
JPN,202203,0,0,41,4637,0,4678
JPN,202204,0,0,28,1425,0,1453
JPN,202205,0,0,9,1142,0,1151
JPN,202206,0,0,2,576,0,578
JPN,202207,0,0,0,122,0,122
JPN,202208,0,0,0,25,0,25
JPN,202209,0,0,0,7,0,7
JPN,202210,0,0,0,13,0,13
