Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
JPN,202002,0,0,0,0,1,1
JPN,202003,0,0,0,0,1,1
JPN,202004,0,0,0,0,5,5
JPN,202005,0,0,0,0,7,7
JPN,202006,0,0,0,0,2,2
JPN,202007,0,0,0,0,34,34
JPN,202008,0,0,0,0,77,77
JPN,202009,0,0,0,0,30,30
JPN,202010,0,0,0,0,77,77
JPN,202011,0,0,0,0,106,106
JPN,202012,0,0,0,0,106,106
JPN,202013,0,0,0,0,195,195
JPN,202014,0,0,0,0,557,557
JPN,202015,0,0,0,0,989,989
JPN,202016,0,0,0,0,809,809
JPN,202017,7,0,0,0,592,599
JPN,202018,0,0,0,0,299,299
JPN,202019,0,0,0,0,141,141
JPN,202020,0,0,0,0,75,75
JPN,202021,0,0,0,0,45,45
JPN,202022,0,0,0,0,81,81
JPN,202023,0,0,0,0,61,61
JPN,202024,0,0,0,0,109,109
JPN,202025,0,0,0,0,79,79
JPN,202026,0,0,0,0,135,135
JPN,202027,0,0,0,0,247,247
JPN,202028,0,0,0,0,315,315
JPN,202029,0,0,0,0,473,473
JPN,202030,0,0,0,0,671,671
JPN,202031,0,0,0,0,1193,1193
JPN,202032,0,0,0,0,1208,1208
JPN,202033,0,0,0,0,960,960
JPN,202034,0,0,0,0,817,817
JPN,202035,0,0,0,0,729,729
JPN,202036,0,0,0,0,492,492
JPN,202037,0,0,0,0,331,331
JPN,202038,0,0,0,0,275,275
JPN,202039,0,0,0,0,259,259
JPN,202040,0,0,0,0,279,279
JPN,202041,0,0,0,0,288,288
JPN,202042,0,0,0,0,294,294
JPN,202043,0,0,0,0,404,404
JPN,202044,0,0,0,0,308,308
JPN,202045,0,0,0,0,501,501
JPN,202046,0,0,0,0,736,736
JPN,202047,0,0,0,0,1040,1040
JPN,202048,0,0,0,0,922,922
JPN,202049,1,0,0,0,1109,1110
JPN,202050,0,0,0,0,1261,1261
JPN,202051,5,1,0,0,1070,1076
JPN,202052,16,0,0,0,1200,1216
JPN,202053,6,1,0,0,1289,1296
JPN,202101,14,3,0,0,2376,2393
JPN,202102,17,0,0,0,2155,2172
JPN,202103,34,1,0,0,1732,1767
JPN,202104,51,6,2,0,1463,1522
JPN,202105,48,0,0,0,1020,1068
JPN,202106,62,0,0,0,657,719
JPN,202107,41,1,0,0,608,650
JPN,202108,63,8,0,0,495,566
JPN,202109,117,1,0,0,622,740
JPN,202110,179,1,0,0,791,971
JPN,202111,330,5,0,0,828,1163
JPN,202112,735,6,0,0,904,1645
JPN,202113,1472,9,2,0,937,2420
JPN,202114,1488,12,5,0,970,2475
JPN,202115,2215,4,12,0,940,3171
JPN,202116,3587,7,13,0,764,4371
JPN,202117,5205,5,39,0,651,5900
JPN,202118,4268,2,70,0,498,4838
JPN,202119,4721,4,66,0,331,5122
JPN,202120,3373,5,62,0,215,3655
JPN,202121,2406,1,61,0,158,2626
JPN,202122,1923,3,76,0,80,2082
JPN,202123,2146,3,112,0,36,2297
JPN,202124,1759,2,194,0,14,1969
JPN,202125,1948,1,325,0,17,2291
JPN,202126,1765,4,486,0,9,2264
JPN,202127,2268,3,1136,0,5,3412
JPN,202128,2077,2,1877,0,4,3960
JPN,202129,1904,1,4030,0,8,5943
JPN,202130,1977,2,7178,0,3,9160
JPN,202131,907,0,7051,0,5,7963
JPN,202132,848,0,11572,0,9,12429
JPN,202133,630,0,16566,0,3,17199
JPN,202134,331,0,14805,0,13,15149
JPN,202135,137,0,10301,0,10,10448
JPN,202136,51,0,6204,0,8,6263
JPN,202137,12,0,3771,0,5,3788
JPN,202138,4,0,1832,0,2,1838
JPN,202139,1,0,1128,0,1,1130
JPN,202140,0,0,745,0,1,746
JPN,202141,0,0,491,0,1,492
JPN,202142,0,0,267,0,0,267
JPN,202143,0,0,320,0,0,320
JPN,202144,0,0,254,0,0,254
JPN,202145,0,0,204,0,0,204
JPN,202146,0,0,204,0,0,204
JPN,202147,0,0,128,2,0,130
JPN,202148,0,0,176,8,0,184
JPN,202149,0,0,252,27,0,279
JPN,202150,0,0,293,104,0,397
JPN,202151,0,0,471,315,1,787
JPN,202152,0,0,396,998,0,1394
JPN,202201,0,0,810,6571,1,7382
JPN,202202,0,0,517,12478,0,12995
JPN,202203,0,0,161,10275,0,10436
JPN,202204,0,0,71,4889,0,4960
JPN,202205,0,0,27,3517,0,3544
JPN,202206,0,0,3,627,0,630
JPN,202207,0,0,0,156,0,156
JPN,202208,0,0,0,28,0,28
JPN,202209,0,0,0,7,0,7
JPN,202210,0,0,0,13,0,13
