Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
KEN,202014,20 – 30,0,0,0,0,1,1
KEN,202014,30 – 40,0,0,0,0,2,2
KEN,202014,60 – 70,0,0,0,0,1,1
KEN,202015,1 – 5,0,0,0,0,1,1
KEN,202015,20 – 30,0,0,0,0,2,2
KEN,202015,30 – 40,0,0,0,0,2,2
KEN,202016,20 – 30,0,0,0,0,2,2
KEN,202016,30 – 40,0,0,0,0,5,5
KEN,202016,50 – 60,0,0,0,0,3,3
KEN,202017,10 – 20,0,0,0,0,2,2
KEN,202017,30 – 40,0,0,0,0,2,2
KEN,202017,50 – 60,0,0,0,0,5,5
KEN,202018,30 – 40,0,0,0,0,2,2
KEN,202018,50 – 60,0,0,0,0,3,3
KEN,202019,20 – 30,0,0,0,0,6,6
KEN,202019,30 – 40,0,0,0,0,11,11
KEN,202019,40 – 50,0,0,0,0,8,8
KEN,202019,50 – 60,0,0,0,0,8,8
KEN,202019,60 – 70,0,0,0,0,3,3
KEN,202019,70 – 80,0,0,0,0,1,1
KEN,202020,10 – 20,0,0,0,0,4,4
KEN,202020,20 – 30,0,0,0,0,26,26
KEN,202020,30 – 40,0,0,0,0,24,24
KEN,202020,40 – 50,0,0,0,0,11,11
KEN,202020,50 – 60,0,0,0,0,17,17
KEN,202020,60 – 70,0,0,0,0,8,8
KEN,202020,70 – 80,0,0,0,0,2,2
KEN,202020,< 1,0,0,0,0,1,1
KEN,202020,>= 80,0,0,0,0,2,2
KEN,202021,20 – 30,0,0,0,0,6,6
KEN,202021,30 – 40,0,0,0,0,13,13
KEN,202021,40 – 50,0,0,0,0,10,10
KEN,202021,5 – 10,0,0,0,0,1,1
KEN,202021,50 – 60,0,0,0,0,2,2
KEN,202021,60 – 70,0,0,0,0,3,3
KEN,202022,10 – 20,0,0,0,0,1,1
KEN,202022,20 – 30,0,0,0,0,2,2
KEN,202022,30 – 40,0,0,0,0,1,1
KEN,202022,40 – 50,0,0,0,0,1,1
KEN,202023,1 – 5,0,0,0,0,2,2
KEN,202023,20 – 30,0,0,0,0,1,1
KEN,202023,30 – 40,0,0,0,0,11,11
KEN,202023,40 – 50,0,0,0,0,4,4
KEN,202023,50 – 60,0,0,0,0,3,3
KEN,202023,>= 80,0,0,0,0,1,1
KEN,202024,1 – 5,0,0,0,0,2,2
KEN,202024,20 – 30,0,0,0,0,9,9
KEN,202024,30 – 40,0,0,0,0,11,11
KEN,202024,40 – 50,0,0,0,0,12,12
