Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
KEN,202014,0,0,0,0,4,4
KEN,202015,0,0,0,0,5,5
KEN,202016,0,0,0,0,10,10
KEN,202017,0,0,0,0,9,9
KEN,202018,0,0,0,0,5,5
KEN,202019,0,0,0,0,37,37
KEN,202020,0,0,0,0,95,95
KEN,202021,0,0,0,0,35,35
KEN,202022,0,0,0,0,5,5
KEN,202023,0,0,0,0,22,22
KEN,202024,0,0,0,0,37,37
KEN,202025,0,0,0,0,15,15
KEN,202026,0,0,0,0,30,30
KEN,202027,0,0,0,0,39,39
KEN,202028,0,0,0,0,27,27
KEN,202029,0,0,0,0,33,33
KEN,202030,0,0,0,0,17,17
KEN,202031,0,0,0,0,18,18
KEN,202032,0,0,0,0,29,29
KEN,202033,0,0,0,0,27,27
KEN,202034,0,0,0,0,20,20
KEN,202035,0,0,0,0,25,25
KEN,202036,0,0,0,0,28,28
KEN,202037,0,0,0,0,20,20
KEN,202038,0,0,0,0,11,11
KEN,202039,0,0,0,0,4,4
KEN,202040,0,0,0,0,31,31
KEN,202041,0,0,0,0,24,24
KEN,202042,0,0,0,0,37,37
KEN,202043,0,0,0,0,114,114
KEN,202044,0,0,0,0,134,134
KEN,202045,0,0,0,0,195,195
KEN,202046,0,0,0,0,125,125
KEN,202047,0,0,0,0,110,110
KEN,202048,0,0,0,0,88,88
KEN,202049,0,0,0,0,57,57
KEN,202050,0,0,0,0,45,45
KEN,202051,0,2,0,0,21,23
KEN,202052,1,1,0,0,8,10
KEN,202053,0,0,0,0,10,10
KEN,202101,1,0,4,0,36,41
KEN,202102,3,0,0,0,15,18
KEN,202103,6,2,1,0,18,27
KEN,202104,9,3,0,0,39,51
KEN,202105,19,6,0,0,13,38
KEN,202106,5,2,0,0,13,20
KEN,202107,14,1,0,0,3,18
KEN,202108,56,23,0,0,26,105
KEN,202109,89,7,0,0,29,125
KEN,202110,55,22,0,0,28,105
KEN,202111,114,23,1,0,23,161
KEN,202112,56,17,0,0,12,85
KEN,202113,62,18,0,0,3,83
KEN,202114,31,9,9,0,5,54
KEN,202115,54,7,2,0,1,64
KEN,202116,36,9,3,0,4,52
KEN,202117,27,19,12,0,15,73
KEN,202118,36,11,3,0,2,52
KEN,202119,30,8,4,0,2,44
KEN,202120,41,7,35,0,5,88
KEN,202121,32,3,39,0,1,75
KEN,202122,26,1,39,0,0,66
KEN,202123,20,1,27,0,0,48
KEN,202124,10,0,49,0,0,59
KEN,202125,6,0,75,0,4,85
KEN,202126,4,3,121,0,2,130
KEN,202127,9,0,124,0,4,137
KEN,202128,0,0,101,0,8,109
KEN,202129,1,0,69,0,4,74
KEN,202130,4,1,154,0,4,163
KEN,202131,0,0,81,0,4,85
KEN,202132,1,0,104,0,1,106
KEN,202133,0,0,63,0,0,63
KEN,202134,0,0,70,0,2,72
KEN,202135,0,0,113,0,1,114
KEN,202136,0,0,57,0,0,57
KEN,202137,0,0,96,0,0,96
KEN,202138,1,0,56,0,0,57
KEN,202139,0,0,29,0,2,31
KEN,202140,2,0,47,0,3,52
KEN,202141,0,0,13,0,1,14
KEN,202142,0,0,12,0,0,12
KEN,202143,0,0,19,0,0,19
KEN,202144,0,0,18,0,0,18
KEN,202145,0,0,31,0,1,32
KEN,202146,0,0,13,0,0,13
KEN,202147,1,0,1,0,0,2
KEN,202148,0,0,9,4,0,13
KEN,202149,0,0,17,6,2,25
KEN,202150,0,0,6,0,1,7
KEN,202152,0,0,1,0,0,1
