Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
KEN,202011,Female,0,0,0,0,1,1
KEN,202012,Male,0,0,0,0,4,4
KEN,202013,Female,0,0,0,0,4,4
KEN,202013,Male,0,0,0,0,4,4
KEN,202014,Female,0,0,0,0,8,8
KEN,202014,Male,0,0,0,0,7,7
KEN,202015,Female,0,0,0,0,11,11
KEN,202015,Male,0,0,0,0,5,5
KEN,202016,Female,0,0,0,0,16,16
KEN,202016,Male,0,0,0,0,13,13
KEN,202017,Female,0,0,0,0,20,20
KEN,202017,Male,0,0,0,0,17,17
KEN,202018,Female,0,0,0,0,10,10
KEN,202018,Male,0,0,0,0,13,13
KEN,202019,Female,0,0,0,0,12,12
KEN,202019,Male,0,0,0,0,22,22
KEN,202020,Female,0,0,0,0,9,9
KEN,202020,Male,0,0,0,0,78,78
KEN,202021,Female,0,0,0,0,4,4
KEN,202021,Male,0,0,0,0,30,30
KEN,202022,Female,0,0,0,0,1,1
KEN,202022,Male,0,0,0,0,5,5
KEN,202023,Female,0,0,0,0,2,2
KEN,202023,Male,0,0,0,0,19,19
KEN,202024,Female,0,0,0,0,2,2
KEN,202024,Male,0,0,0,0,37,37
KEN,202025,Female,0,0,0,0,2,2
KEN,202025,Male,0,0,0,0,12,12
KEN,202026,Female,0,0,0,0,8,8
KEN,202026,Male,0,0,0,0,23,23
KEN,202027,Female,0,0,0,0,8,8
KEN,202027,Male,0,0,0,0,26,26
KEN,202028,Female,0,0,0,0,6,6
KEN,202028,Male,0,0,0,0,20,20
KEN,202029,Female,0,0,0,0,12,12
KEN,202029,Male,0,0,0,0,19,19
KEN,202030,Female,0,0,0,0,6,6
KEN,202030,Male,0,0,0,0,12,12
KEN,202031,Female,0,0,0,0,3,3
KEN,202031,Male,0,0,0,0,15,15
KEN,202032,Female,0,0,0,0,7,7
KEN,202032,Male,0,0,0,0,22,22
KEN,202033,Female,0,0,0,0,8,8
KEN,202033,Male,0,0,0,0,19,19
KEN,202034,Female,0,0,0,0,5,5
KEN,202034,Male,0,0,0,0,15,15
KEN,202035,Female,0,0,0,0,6,6
KEN,202035,Male,0,0,0,0,20,20
KEN,202036,Female,0,0,0,0,16,16
KEN,202036,Male,0,0,0,0,12,12
KEN,202037,Female,0,0,0,0,4,4
KEN,202037,Male,0,0,0,0,20,20
KEN,202038,Female,0,0,0,0,4,4
KEN,202038,Male,0,0,0,0,6,6
KEN,202039,Male,0,0,0,0,3,3
KEN,202040,Female,0,0,0,0,19,19
KEN,202040,Male,0,0,0,0,15,15
KEN,202041,Female,0,0,0,0,4,4
KEN,202041,Male,0,0,0,0,20,20
KEN,202042,Female,0,0,0,0,10,10
KEN,202042,Male,0,0,0,0,27,27
KEN,202043,Female,0,0,0,0,53,53
KEN,202043,Male,0,0,0,0,80,80
KEN,202044,Female,0,0,0,0,87,87
KEN,202044,Male,0,0,0,0,81,81
KEN,202045,Female,0,0,0,0,80,80
KEN,202045,Male,0,0,0,0,121,121
KEN,202046,Female,0,0,0,0,53,53
KEN,202046,Male,0,0,0,0,73,73
KEN,202047,Female,0,0,0,0,55,55
KEN,202047,Male,0,0,0,0,53,53
KEN,202048,Female,0,0,0,0,24,24
KEN,202048,Male,0,0,0,0,65,65
KEN,202049,Female,0,0,0,0,30,30
KEN,202049,Male,0,0,0,0,34,34
KEN,202050,Female,0,0,0,0,19,19
KEN,202050,Male,0,0,0,0,38,38
KEN,202051,Female,0,1,0,0,8,9
KEN,202051,Male,0,1,0,0,12,13
KEN,202052,Female,0,0,0,0,6,6
KEN,202052,Male,1,1,0,0,7,9
KEN,202053,Female,0,0,0,0,3,3
KEN,202053,Male,0,0,0,0,8,8
KEN,202101,Female,1,0,1,0,8,10
KEN,202101,Male,0,0,3,0,28,31
KEN,202102,Female,2,0,0,0,5,7
KEN,202102,Male,1,0,0,0,10,11
KEN,202103,Female,5,0,1,0,8,14
KEN,202103,Male,1,2,0,0,12,15
KEN,202104,Female,2,0,0,0,20,22
KEN,202104,Male,7,3,0,0,26,36
KEN,202105,Female,3,0,0,0,10,13
KEN,202105,Male,17,6,0,0,4,27
KEN,202106,Female,4,0,0,0,10,14
KEN,202106,Male,1,2,0,0,3,6
KEN,202107,Female,7,0,0,0,1,8
KEN,202107,Male,7,1,0,0,2,10
KEN,202108,Female,24,1,0,0,6,31
KEN,202108,Male,32,22,0,0,20,74
KEN,202109,Female,43,3,0,0,15,61
KEN,202109,Male,48,4,0,0,14,66
KEN,202110,Female,23,4,0,0,5,32
KEN,202110,Male,33,18,0,0,23,74
KEN,202111,Female,77,6,1,0,11,95
KEN,202111,Male,62,19,0,0,14,95
KEN,202112,Female,25,5,0,0,2,32
KEN,202112,Male,39,11,0,0,11,61
KEN,202113,Female,24,8,0,0,2,34
KEN,202113,Male,37,11,0,0,2,50
KEN,202114,Female,14,6,2,0,3,25
KEN,202114,Male,18,3,7,0,3,31
KEN,202115,Female,37,3,2,0,1,43
KEN,202115,Male,27,6,1,0,2,36
KEN,202116,Female,18,4,3,0,4,29
KEN,202116,Male,21,6,2,0,3,32
KEN,202117,Female,15,3,4,0,3,25
KEN,202117,Male,17,17,8,0,12,54
KEN,202118,Female,21,1,2,0,1,25
KEN,202118,Male,22,11,7,0,1,41
KEN,202119,Female,16,2,1,0,0,19
KEN,202119,Male,22,6,4,0,2,34
KEN,202120,Female,22,4,20,0,1,47
KEN,202120,Male,23,3,18,0,4,48
KEN,202121,Female,23,1,22,0,2,48
KEN,202121,Male,12,2,20,0,0,34
KEN,202122,Female,14,0,24,0,0,38
KEN,202122,Male,15,2,31,0,1,49
KEN,202123,Female,14,1,25,0,0,40
KEN,202123,Male,8,0,15,0,0,23
KEN,202124,Female,6,0,40,0,0,46
KEN,202124,Male,7,1,31,0,0,39
KEN,202125,Female,3,0,52,0,3,58
KEN,202125,Male,11,0,46,0,2,59
KEN,202126,Female,3,1,58,0,1,63
KEN,202126,Male,4,2,81,0,1,88
KEN,202127,Female,6,0,62,0,1,69
KEN,202127,Male,5,0,77,0,3,85
KEN,202128,Female,0,0,50,0,3,53
KEN,202128,Male,0,0,56,0,5,61
KEN,202129,Female,0,0,33,0,1,34
KEN,202129,Male,1,0,40,0,3,44
KEN,202130,Female,2,1,88,0,2,93
KEN,202130,Male,2,0,96,0,2,100
KEN,202131,Female,0,0,29,0,3,32
KEN,202131,Male,0,0,59,0,1,60
KEN,202132,Female,1,0,55,0,1,57
KEN,202132,Male,0,0,65,0,0,65
KEN,202133,Female,0,0,32,0,0,32
KEN,202133,Male,0,0,36,0,0,36
