Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
KEN,202010,0,0,0,0,1,1
KEN,202011,0,0,0,0,1,1
KEN,202012,0,0,0,0,5,5
KEN,202013,0,0,0,0,8,8
KEN,202014,0,0,0,0,18,18
KEN,202015,0,0,0,0,17,17
KEN,202016,0,0,0,0,29,29
KEN,202017,0,0,0,0,37,37
KEN,202018,0,0,0,0,25,25
KEN,202019,0,0,0,0,44,44
KEN,202020,0,0,0,0,104,104
KEN,202021,0,0,0,0,38,38
KEN,202022,0,0,0,0,10,10
KEN,202023,0,0,0,0,28,28
KEN,202024,0,0,0,0,42,42
KEN,202025,0,0,0,0,16,16
KEN,202026,0,0,0,0,38,38
KEN,202027,0,0,0,0,53,53
KEN,202028,0,0,0,0,28,28
KEN,202029,0,0,0,0,42,42
KEN,202030,0,0,0,0,19,19
KEN,202031,0,0,0,0,18,18
KEN,202032,0,0,0,0,32,32
KEN,202033,0,0,0,0,27,27
KEN,202034,0,0,0,0,22,22
KEN,202035,0,0,0,0,27,27
KEN,202036,0,0,0,0,31,31
KEN,202037,0,0,0,0,30,30
KEN,202038,0,0,0,0,15,15
KEN,202039,0,0,0,0,4,4
KEN,202040,0,0,0,0,39,39
KEN,202041,0,0,0,0,29,29
KEN,202042,0,0,0,0,44,44
KEN,202043,0,0,0,0,137,137
KEN,202044,0,0,0,0,170,170
KEN,202045,0,0,0,0,205,205
KEN,202046,0,0,0,0,147,147
KEN,202047,0,0,0,0,117,117
KEN,202048,0,0,0,0,96,96
KEN,202049,0,0,0,0,72,72
KEN,202050,0,0,0,0,58,58
KEN,202051,0,2,0,0,22,24
KEN,202052,2,1,0,0,21,24
KEN,202053,0,0,0,0,13,13
KEN,202101,1,0,5,0,37,43
KEN,202102,3,0,0,0,19,22
KEN,202103,6,3,1,0,21,31
KEN,202104,9,3,0,0,48,60
KEN,202105,20,6,0,0,14,40
KEN,202106,18,2,0,0,13,33
KEN,202107,39,1,0,0,3,43
KEN,202108,56,23,0,0,26,105
KEN,202109,91,7,0,0,29,127
KEN,202110,57,22,0,0,29,108
KEN,202111,139,25,1,0,25,190
KEN,202112,65,17,0,0,13,95
KEN,202113,63,19,0,0,4,86
KEN,202114,33,9,9,0,7,58
KEN,202115,71,9,3,0,3,86
KEN,202116,41,10,5,0,7,63
KEN,202117,39,20,14,0,22,95
KEN,202118,44,13,9,0,5,71
KEN,202119,39,8,7,0,2,56
KEN,202120,54,8,43,0,5,110
KEN,202121,47,4,42,0,2,95
KEN,202122,33,3,56,0,1,93
KEN,202123,25,2,40,0,0,67
KEN,202124,25,1,78,0,0,104
KEN,202125,15,0,101,0,5,121
KEN,202126,7,3,142,0,2,154
KEN,202127,11,0,148,0,4,163
KEN,202128,0,0,139,0,8,147
KEN,202129,1,0,87,0,4,92
KEN,202130,4,1,226,0,4,235
KEN,202131,1,0,95,0,4,100
KEN,202132,1,0,182,0,1,184
KEN,202133,1,0,153,0,0,154
KEN,202134,0,0,101,0,2,103
KEN,202135,0,0,135,0,1,136
KEN,202136,0,0,73,0,0,73
KEN,202137,0,0,104,0,0,104
KEN,202138,1,0,66,0,0,67
KEN,202139,0,0,37,0,2,39
KEN,202140,2,0,54,0,3,59
KEN,202141,0,0,15,0,1,16
KEN,202142,0,0,12,0,1,13
KEN,202143,0,0,23,0,0,23
KEN,202144,0,0,24,0,0,24
KEN,202145,0,0,35,0,1,36
KEN,202146,0,0,18,0,0,18
KEN,202147,1,0,1,6,0,8
KEN,202148,0,0,15,27,0,42
KEN,202149,0,0,32,28,2,62
KEN,202150,0,0,21,118,1,140
KEN,202151,0,0,3,241,1,245
KEN,202152,0,0,1,241,0,242
KEN,202201,0,0,0,70,0,70
KEN,202202,0,0,0,16,0,16
KEN,202203,0,0,0,10,1,11
KEN,202204,0,0,0,1,0,1
