Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
KWT,202011,50 – 60,0,0,0,0,0,1,1
KWT,202012,10 – 20,0,0,0,0,0,1,1
KWT,202012,30 – 40,0,0,0,0,0,2,2
KWT,202012,50 – 60,0,0,0,0,0,1,1
KWT,202013,50 – 60,0,0,0,0,0,1,1
KWT,202015,70 – 80,0,0,0,0,0,1,1
KWT,202019,60 – 70,0,0,0,0,0,1,1
KWT,202019,70 – 80,0,0,0,0,0,1,1
KWT,202020,60 – 70,0,0,0,0,0,2,2
KWT,202021,50 – 60,0,0,0,0,0,1,1
KWT,202021,60 – 70,0,0,0,0,0,1,1
KWT,202021,>= 80,0,0,0,0,0,2,2
KWT,202022,60 – 70,0,0,0,0,0,1,1
KWT,202024,30 – 40,0,0,0,0,0,1,1
KWT,202024,50 – 60,0,0,0,0,0,1,1
KWT,202026,40 – 50,0,0,0,0,0,1,1
KWT,202026,50 – 60,0,0,0,0,0,1,1
KWT,202027,40 – 50,0,0,0,0,0,1,1
KWT,202031,40 – 50,0,0,0,0,0,1,1
KWT,202031,50 – 60,0,0,0,0,0,1,1
KWT,202031,70 – 80,0,0,0,0,0,1,1
KWT,202032,>= 80,0,0,0,0,0,1,1
KWT,202033,30 – 40,0,0,0,0,0,1,1
KWT,202033,40 – 50,0,0,0,0,0,1,1
KWT,202034,30 – 40,0,0,0,0,0,1,1
KWT,202041,30 – 40,0,0,0,0,0,1,1
KWT,202041,60 – 70,0,0,0,0,0,1,1
KWT,202050,60 – 70,0,0,0,0,0,1,1
KWT,202052,30 – 40,0,0,0,0,0,1,1
KWT,202052,40 – 50,0,0,0,0,0,2,2
KWT,202052,50 – 60,0,0,0,0,0,1,1
KWT,202053,20 – 30,0,0,0,0,0,1,1
KWT,202053,40 – 50,0,0,0,0,0,4,4
KWT,202053,50 – 60,0,0,0,0,0,2,2
KWT,202053,60 – 70,0,0,0,0,0,2,2
KWT,202103,10 – 20,2,0,0,0,0,0,2
KWT,202103,40 – 50,2,0,0,0,0,0,2
KWT,202103,5 – 10,1,0,0,0,0,0,1
KWT,202104,40 – 50,1,0,0,0,0,0,1
KWT,202105,1 – 5,0,0,0,0,0,1,1
KWT,202105,10 – 20,0,0,0,0,0,1,1
KWT,202105,20 – 30,2,0,0,0,0,4,6
KWT,202105,30 – 40,0,0,0,0,0,9,9
KWT,202105,40 – 50,1,0,0,0,0,0,1
KWT,202105,5 – 10,0,0,0,0,0,1,1
KWT,202105,50 – 60,0,0,0,0,0,1,1
KWT,202105,70 – 80,1,0,0,0,0,0,1
KWT,202115,40 – 50,0,0,0,0,0,1,1
KWT,202116,20 – 30,1,0,0,0,0,0,1
KWT,202116,60 – 70,1,0,0,0,0,0,1
KWT,202121,10 – 20,0,0,2,0,0,0,2
KWT,202121,30 – 40,1,0,0,0,0,0,1
KWT,202122,10 – 20,1,0,0,0,0,0,1
KWT,202122,20 – 30,1,0,0,0,0,3,4
KWT,202122,30 – 40,2,0,6,0,0,5,13
KWT,202122,40 – 50,2,0,7,0,0,5,14
KWT,202122,5 – 10,0,0,2,0,0,0,2
KWT,202122,50 – 60,0,0,0,0,0,1,1
KWT,202122,>= 80,0,0,0,0,0,1,1
KWT,202124,10 – 20,0,0,6,0,0,0,6
KWT,202124,20 – 30,0,0,2,0,0,0,2
KWT,202124,30 – 40,1,0,7,0,0,2,10
KWT,202124,40 – 50,0,0,1,0,0,1,2
KWT,202124,5 – 10,0,0,1,0,0,0,1
KWT,202124,50 – 60,1,0,1,0,0,0,2
KWT,202125,10 – 20,0,0,2,0,0,0,2
KWT,202125,30 – 40,0,1,3,0,0,0,4
KWT,202125,40 – 50,0,0,7,0,0,0,7
KWT,202125,5 – 10,0,0,1,0,0,0,1
KWT,202125,50 – 60,0,0,1,0,0,0,1
KWT,202125,60 – 70,0,0,1,0,0,0,1
KWT,202125,70 – 80,0,0,2,0,0,0,2
KWT,202126,10 – 20,1,0,10,0,0,0,11
KWT,202126,20 – 30,0,0,3,0,0,0,3
KWT,202126,30 – 40,0,0,6,0,0,0,6
KWT,202126,40 – 50,0,0,12,0,0,0,12
KWT,202126,5 – 10,0,0,1,0,0,0,1
KWT,202126,50 – 60,0,0,7,0,0,0,7
KWT,202126,60 – 70,1,0,1,0,0,0,2
KWT,202126,>= 80,0,0,1,0,0,0,1
KWT,202127,20 – 30,0,0,3,0,0,0,3
KWT,202127,30 – 40,0,0,6,0,0,0,6
KWT,202127,40 – 50,0,0,2,0,0,0,2
KWT,202127,5 – 10,0,0,1,0,0,0,1
KWT,202127,50 – 60,0,0,4,0,0,0,4
KWT,202127,60 – 70,0,0,1,0,0,0,1
KWT,202127,70 – 80,0,0,1,0,0,0,1
KWT,202127,>= 80,0,0,2,0,0,0,2
KWT,202128,30 – 40,0,0,1,0,0,0,1
KWT,202128,50 – 60,0,0,3,0,0,0,3
KWT,202128,60 – 70,0,0,1,0,0,0,1
KWT,202130,10 – 20,0,0,1,0,0,0,1
KWT,202130,30 – 40,0,0,1,0,0,0,1
KWT,202130,50 – 60,0,0,2,0,0,0,2
KWT,202130,70 – 80,0,0,1,0,0,0,1
KWT,202131,50 – 60,0,0,3,0,0,0,3
KWT,202132,30 – 40,0,0,1,0,0,0,1
KWT,202132,40 – 50,0,0,1,0,0,0,1
KWT,202133,10 – 20,0,0,6,0,0,0,6
KWT,202133,20 – 30,0,0,5,0,0,0,5
KWT,202133,30 – 40,0,0,15,0,0,0,15
KWT,202133,40 – 50,0,0,4,0,0,0,4
KWT,202133,5 – 10,0,0,2,0,0,0,2
KWT,202133,50 – 60,0,0,1,0,0,0,1
KWT,202133,60 – 70,0,0,2,0,0,0,2
KWT,202133,70 – 80,0,0,1,0,0,0,1
KWT,202134,30 – 40,0,0,1,0,0,0,1
KWT,202134,40 – 50,0,0,2,0,0,0,2
KWT,202135,30 – 40,0,0,0,0,0,1,1
KWT,202135,50 – 60,0,0,0,0,0,1,1
KWT,202136,10 – 20,0,0,0,0,0,1,1
KWT,202136,30 – 40,0,0,0,0,0,1,1
KWT,202136,50 – 60,0,0,0,0,0,1,1
KWT,202137,20 – 30,0,0,0,0,0,3,3
KWT,202137,30 – 40,0,0,0,0,0,3,3
KWT,202137,40 – 50,0,0,0,0,0,1,1
KWT,202137,5 – 10,0,0,0,0,0,2,2
KWT,202137,50 – 60,0,0,0,0,0,4,4
KWT,202138,10 – 20,0,0,4,0,0,1,5
KWT,202138,20 – 30,0,0,2,0,0,0,2
KWT,202138,30 – 40,0,0,5,0,0,2,7
KWT,202138,40 – 50,0,0,2,0,0,1,3
KWT,202138,5 – 10,0,0,4,0,0,1,5
KWT,202138,50 – 60,0,0,1,0,0,0,1
KWT,202139,10 – 20,0,0,2,0,0,1,3
KWT,202139,30 – 40,0,0,0,0,0,1,1
KWT,202139,40 – 50,0,0,0,0,0,1,1
KWT,202139,50 – 60,0,0,0,0,0,3,3
KWT,202140,10 – 20,0,0,0,0,0,3,3
KWT,202140,30 – 40,0,0,0,0,0,1,1
KWT,202140,40 – 50,0,0,0,0,0,1,1
KWT,202140,5 – 10,0,0,0,0,0,2,2
KWT,202140,50 – 60,0,0,0,0,0,1,1
KWT,202140,60 – 70,0,0,0,0,0,2,2
KWT,202141,10 – 20,0,0,0,0,0,3,3
KWT,202141,20 – 30,0,0,0,0,0,1,1
KWT,202141,30 – 40,0,0,0,0,0,1,1
KWT,202141,40 – 50,0,0,0,0,0,3,3
KWT,202141,5 – 10,0,0,0,0,0,3,3
KWT,202141,50 – 60,0,0,0,0,0,1,1
KWT,202141,>= 80,0,0,0,0,0,1,1
KWT,202142,10 – 20,0,0,0,0,0,2,2
KWT,202142,40 – 50,0,0,0,0,0,1,1
KWT,202142,50 – 60,0,0,0,0,0,2,2
KWT,202142,60 – 70,0,0,0,0,0,1,1
KWT,202143,10 – 20,0,0,0,0,0,3,3
KWT,202143,20 – 30,0,0,0,0,0,2,2
KWT,202143,30 – 40,0,0,0,0,0,4,4
KWT,202143,40 – 50,0,0,0,0,0,3,3
KWT,202143,50 – 60,0,0,0,0,0,1,1
KWT,202144,20 – 30,0,0,0,0,0,2,2
KWT,202144,5 – 10,0,0,0,0,0,1,1
KWT,202145,30 – 40,0,0,0,0,0,1,1
KWT,202145,40 – 50,0,0,0,0,0,1,1
KWT,202146,60 – 70,0,0,0,0,0,1,1
KWT,202147,10 – 20,0,0,0,0,0,1,1
KWT,202147,20 – 30,0,0,0,0,0,2,2
KWT,202147,30 – 40,0,0,0,0,0,2,2
KWT,202147,40 – 50,0,0,0,0,0,4,4
KWT,202147,50 – 60,0,0,0,0,0,2,2
KWT,202148,20 – 30,0,0,1,0,0,0,1
KWT,202148,30 – 40,0,0,1,0,0,1,2
