Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
KWT,202011,Male,0,0,0,0,1,1
KWT,202012,Male,0,0,0,0,4,4
KWT,202013,Male,0,0,0,0,1,1
KWT,202015,Male,0,0,0,0,1,1
KWT,202019,Female,0,0,0,0,1,1
KWT,202019,Male,0,0,0,0,1,1
KWT,202020,Female,0,0,0,0,1,1
KWT,202020,Male,0,0,0,0,1,1
KWT,202021,Female,0,0,0,0,3,3
KWT,202021,Male,0,0,0,0,1,1
KWT,202022,Male,0,0,0,0,1,1
KWT,202024,Female,0,0,0,0,2,2
KWT,202026,Male,0,0,0,0,2,2
KWT,202027,Female,0,0,0,0,1,1
KWT,202031,Female,0,0,0,0,3,3
KWT,202032,Male,0,0,0,0,1,1
KWT,202033,Female,0,0,0,0,1,1
KWT,202033,Male,0,0,0,0,1,1
KWT,202034,Female,0,0,0,0,1,1
KWT,202041,Female,0,0,0,0,1,1
KWT,202041,Male,0,0,0,0,1,1
KWT,202050,Male,0,0,0,0,1,1
KWT,202052,Male,0,0,0,0,4,4
KWT,202053,Female,0,0,0,0,6,6
KWT,202053,Male,0,0,0,0,3,3
KWT,202103,Female,3,0,0,0,0,3
KWT,202103,Male,2,0,0,0,0,2
KWT,202104,Female,1,0,0,0,0,1
KWT,202105,Female,3,0,0,0,10,13
KWT,202105,Male,1,0,0,0,7,8
KWT,202115,Male,0,0,0,0,1,1
KWT,202116,Male,2,0,0,0,0,2
KWT,202121,Female,1,0,0,0,0,1
KWT,202121,Male,0,0,2,0,0,2
KWT,202122,Female,3,0,9,0,4,16
KWT,202122,Male,3,0,6,0,11,20
KWT,202124,Female,0,0,14,0,2,16
KWT,202124,Male,2,0,4,0,1,7
KWT,202125,Female,0,1,7,0,0,8
KWT,202125,Male,0,0,11,0,0,11
KWT,202126,Female,1,0,24,0,0,25
KWT,202126,Male,1,0,18,0,0,19
KWT,202127,Female,0,0,11,0,0,11
KWT,202127,Male,0,0,10,0,0,10
KWT,202128,Female,0,0,1,0,0,1
KWT,202128,Male,0,0,4,0,0,4
KWT,202130,Female,0,0,4,0,0,4
KWT,202130,Male,0,0,1,0,0,1
KWT,202131,Female,0,0,2,0,0,2
KWT,202131,Male,0,0,1,0,0,1
KWT,202132,Female,0,0,1,0,0,1
KWT,202132,Male,0,0,1,0,0,1
KWT,202133,Female,0,0,23,0,0,23
KWT,202133,Male,0,0,13,0,0,13
KWT,202134,Female,0,0,3,0,0,3
KWT,202135,Female,0,0,0,0,1,1
KWT,202135,Male,0,0,0,0,1,1
KWT,202136,Female,0,0,0,0,1,1
KWT,202136,Male,0,0,0,0,2,2
KWT,202137,Female,0,0,0,0,5,5
KWT,202137,Male,0,0,0,0,8,8
KWT,202138,Female,0,0,9,0,2,11
KWT,202138,Male,0,0,9,0,3,12
KWT,202139,Female,0,0,2,0,3,5
KWT,202139,Male,0,0,0,0,3,3
KWT,202140,Female,0,0,0,0,4,4
KWT,202140,Male,0,0,0,0,6,6
KWT,202141,Female,0,0,0,0,4,4
KWT,202141,Male,0,0,0,0,9,9
KWT,202142,Female,0,0,0,0,1,1
KWT,202142,Male,0,0,0,0,5,5
KWT,202143,Female,0,0,0,0,5,5
KWT,202143,Male,0,0,0,0,8,8
KWT,202144,Female,0,0,0,0,1,1
KWT,202144,Male,0,0,0,0,2,2
KWT,202145,Female,0,0,0,0,1,1
KWT,202145,Male,0,0,0,0,1,1
KWT,202146,Male,0,0,0,0,1,1
KWT,202147,Female,0,0,0,0,7,7
KWT,202147,Male,0,0,0,0,4,4
KWT,202148,Male,0,0,2,0,1,3
