Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
KWT,202010,0,0,0,0,4,4
KWT,202011,0,0,0,0,1,1
KWT,202012,0,0,0,0,4,4
KWT,202013,0,0,0,0,1,1
KWT,202015,0,0,0,0,1,1
KWT,202019,0,0,0,0,2,2
KWT,202020,0,0,0,0,2,2
KWT,202021,0,0,0,0,4,4
KWT,202022,0,0,0,0,1,1
KWT,202024,0,0,0,0,2,2
KWT,202026,0,0,0,0,2,2
KWT,202027,0,0,0,0,1,1
KWT,202031,0,0,0,0,3,3
KWT,202032,0,0,0,0,1,1
KWT,202033,0,0,0,0,2,2
KWT,202034,0,0,0,0,1,1
KWT,202041,0,0,0,0,2,2
KWT,202050,0,0,0,0,1,1
KWT,202052,0,0,0,0,6,6
KWT,202053,0,0,0,0,9,9
KWT,202103,5,0,0,0,0,5
KWT,202104,1,0,0,0,0,1
KWT,202105,4,0,0,0,17,21
KWT,202115,0,0,0,0,1,1
KWT,202116,2,0,0,0,0,2
KWT,202121,1,0,2,0,0,3
KWT,202122,6,0,15,0,15,36
KWT,202124,3,0,18,0,3,24
KWT,202125,0,1,18,0,0,19
KWT,202126,2,0,42,0,0,44
KWT,202127,0,0,21,0,0,21
KWT,202128,0,0,5,0,0,5
KWT,202130,0,0,5,0,0,5
KWT,202131,0,0,3,0,0,3
KWT,202132,0,0,2,0,0,2
KWT,202133,0,0,36,0,0,36
KWT,202134,0,0,3,0,0,3
KWT,202135,0,0,0,0,2,2
KWT,202136,0,0,0,0,3,3
KWT,202137,0,0,0,0,13,13
KWT,202138,0,0,18,0,5,23
KWT,202139,0,0,2,0,6,8
KWT,202140,0,0,0,0,10,10
KWT,202141,0,0,0,0,13,13
KWT,202142,0,0,1,0,6,7
KWT,202143,0,0,0,0,13,13
KWT,202144,0,0,0,0,3,3
KWT,202145,0,0,0,0,2,2
KWT,202146,0,0,0,0,1,1
KWT,202147,0,0,0,0,11,11
KWT,202148,0,0,2,0,1,3
