Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
LAO,202015,20 – 30,0,0,0,0,1,1
LAO,202109,20 – 30,0,0,0,0,1,1
LAO,202114,40 – 50,0,0,0,0,2,2
LAO,202117,30 – 40,0,0,0,0,1,1
LAO,202119,30 – 40,0,0,0,0,1,1
LAO,202123,20 – 30,0,0,0,0,1,1
LAO,202124,30 – 40,0,0,0,0,1,1
LAO,202125,30 – 40,0,0,0,0,1,1
LAO,202126,20 – 30,0,0,0,0,1,1
LAO,202126,30 – 40,0,0,0,0,1,1
LAO,202127,20 – 30,0,0,0,0,1,1
LAO,202127,30 – 40,0,0,0,0,1,1
LAO,202128,30 – 40,0,0,0,0,1,1
LAO,202129,20 – 30,0,0,0,0,1,1
LAO,202130,20 – 30,0,0,0,0,1,1
LAO,202130,30 – 40,0,0,0,0,1,1
LAO,202131,20 – 30,0,0,0,0,1,1
