Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
MWI,202023,Male,0,0,0,0,0,2,2
MWI,202024,Female,0,0,0,0,0,2,2
MWI,202024,Male,0,0,0,0,0,2,2
MWI,202025,Male,0,0,0,0,0,1,1
MWI,202026,Female,0,0,0,0,0,6,6
MWI,202026,Male,0,0,0,0,0,5,5
MWI,202027,Female,0,0,0,0,0,1,1
MWI,202027,Male,0,0,0,0,0,2,2
MWI,202030,Female,0,0,0,0,0,1,1
MWI,202034,Male,0,0,0,0,0,1,1
MWI,202048,Female,1,1,0,0,0,0,2
MWI,202051,Female,0,5,0,0,0,0,5
MWI,202051,Male,0,2,0,0,0,1,3
MWI,202052,Female,0,3,0,0,0,0,3
MWI,202052,Male,0,10,0,0,0,0,10
MWI,202053,Female,0,4,0,0,0,0,4
MWI,202053,Male,0,3,0,0,0,1,4
MWI,202101,Female,0,7,0,0,0,2,9
MWI,202101,Male,0,4,0,0,0,0,4
MWI,202102,Female,0,26,0,0,0,3,29
MWI,202102,Male,1,24,0,0,0,1,26
MWI,202103,Female,0,48,0,0,0,2,50
MWI,202103,Male,0,43,0,0,0,3,46
MWI,202104,Female,0,34,0,0,0,3,37
MWI,202104,Male,0,34,0,0,0,4,38
MWI,202105,Female,0,5,0,0,0,0,5
MWI,202105,Male,0,2,0,0,0,0,2
MWI,202106,Male,0,3,0,0,0,0,3
MWI,202107,Female,0,7,0,0,0,1,8
MWI,202107,Male,0,9,0,0,0,0,9
MWI,202108,Female,0,1,0,0,0,0,1
MWI,202108,Male,0,22,0,0,0,0,22
MWI,202109,Female,0,6,0,0,0,0,6
MWI,202109,Male,0,13,0,0,0,0,13
MWI,202110,Female,1,7,0,0,0,0,8
MWI,202110,Male,0,7,0,0,0,0,7
MWI,202111,Female,1,0,0,0,0,0,1
MWI,202111,Male,1,3,3,0,0,0,7
MWI,202113,Male,0,1,0,0,0,0,1
MWI,202114,Female,0,5,0,0,0,0,5
MWI,202114,Male,0,17,0,0,0,0,17
MWI,202115,Female,0,5,1,0,0,0,6
MWI,202115,Male,0,7,1,0,0,0,8
MWI,202116,Female,0,1,0,0,0,0,1
MWI,202116,Male,0,1,2,0,0,0,3
MWI,202117,Male,0,1,13,0,0,17,31
MWI,202118,Female,0,0,1,0,0,0,1
MWI,202118,Male,0,1,0,0,0,0,1
MWI,202119,Male,0,1,0,0,0,0,1
MWI,202120,Female,0,0,1,0,0,0,1
MWI,202120,Male,0,1,0,0,0,0,1
MWI,202121,Female,0,0,7,0,0,0,7
MWI,202121,Male,1,0,12,0,0,1,14
MWI,202122,Female,0,0,17,0,0,0,17
MWI,202122,Male,0,0,15,0,0,0,15
MWI,202123,Female,0,2,0,0,0,0,2
MWI,202123,Male,0,1,8,0,0,1,10
MWI,202124,Female,0,0,7,0,0,0,7
MWI,202124,Male,0,0,14,0,0,0,14
MWI,202125,Female,0,0,7,0,0,0,7
MWI,202125,Male,0,1,12,0,0,0,13
MWI,202126,Female,0,0,2,0,0,0,2
MWI,202126,Male,0,0,1,0,0,0,1
MWI,202127,Female,0,0,3,0,0,0,3
MWI,202127,Male,0,0,2,0,0,0,2
MWI,202128,Female,0,0,2,0,0,0,2
MWI,202128,Male,0,0,3,0,0,0,3
MWI,202129,Female,0,0,5,0,0,0,5
MWI,202129,Male,0,0,3,0,0,0,3
MWI,202130,Female,0,0,2,0,0,0,2
MWI,202130,Male,0,0,14,0,0,0,14
MWI,202135,Female,0,0,3,0,0,0,3
MWI,202135,Male,0,0,3,0,0,0,3
MWI,202136,Female,0,0,4,0,0,2,6
MWI,202136,Male,0,0,7,0,0,1,8
MWI,202137,Female,0,0,4,0,0,0,4
MWI,202137,Male,0,0,4,0,0,0,4
MWI,202138,Female,0,0,2,0,0,0,2
MWI,202148,Female,0,0,0,1,0,0,1
MWI,202148,Male,0,0,0,3,0,0,3
MWI,202149,Female,0,0,0,3,0,0,3
MWI,202149,Male,0,0,0,1,0,0,1
