Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
MWI,202023,0,0,0,0,2,2
MWI,202024,0,0,0,0,4,4
MWI,202025,0,0,0,0,1,1
MWI,202026,0,0,0,0,11,11
MWI,202027,0,0,0,0,3,3
MWI,202030,0,0,0,0,1,1
MWI,202034,0,0,0,0,1,1
MWI,202048,1,1,0,0,0,2
MWI,202051,0,7,0,0,1,8
MWI,202052,0,13,0,0,0,13
MWI,202053,0,7,0,0,1,8
MWI,202101,0,11,0,0,2,13
MWI,202102,1,50,0,0,4,55
MWI,202103,0,91,0,0,5,96
MWI,202104,0,68,0,0,7,75
MWI,202105,0,7,0,0,0,7
MWI,202106,0,3,0,0,0,3
MWI,202107,0,16,0,0,1,17
MWI,202108,0,23,0,0,0,23
MWI,202109,0,19,0,0,0,19
MWI,202110,1,14,0,0,0,15
MWI,202111,2,3,3,0,0,8
MWI,202113,0,1,0,0,0,1
MWI,202114,0,22,0,0,0,22
MWI,202115,0,12,2,0,0,14
MWI,202116,0,2,2,0,0,4
MWI,202117,0,1,13,0,17,31
MWI,202118,0,1,1,0,0,2
MWI,202119,0,1,0,0,0,1
MWI,202120,0,1,1,0,0,2
MWI,202121,1,0,19,0,1,21
MWI,202122,0,0,32,0,0,32
MWI,202123,0,3,8,0,1,12
MWI,202124,0,0,21,0,0,21
MWI,202125,0,1,19,0,0,20
MWI,202126,0,0,3,0,0,3
MWI,202127,0,0,5,0,0,5
MWI,202128,0,0,5,0,0,5
MWI,202129,0,0,8,0,0,8
MWI,202130,0,0,16,0,0,16
MWI,202135,0,0,6,0,0,6
MWI,202136,0,0,11,0,3,14
MWI,202137,0,0,8,0,0,8
MWI,202138,0,0,2,0,0,2
MWI,202148,0,0,0,4,0,4
MWI,202149,0,0,0,4,0,4
