Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
MWI,202015,0,0,0,0,0,1,1
MWI,202022,0,0,0,0,0,2,2
MWI,202023,0,0,0,0,0,3,3
MWI,202024,0,0,0,0,0,4,4
MWI,202025,0,0,0,0,0,1,1
MWI,202026,0,0,0,0,0,13,13
MWI,202027,0,0,0,0,0,3,3
MWI,202030,0,0,0,0,0,1,1
MWI,202033,0,0,0,0,0,1,1
MWI,202034,0,0,0,0,0,1,1
MWI,202035,0,0,0,0,0,1,1
MWI,202038,0,0,0,0,0,1,1
MWI,202048,1,1,0,0,0,0,2
MWI,202051,0,8,0,0,0,2,10
MWI,202052,0,13,0,0,0,1,14
MWI,202053,0,10,0,0,0,1,11
MWI,202101,0,16,0,0,0,3,19
MWI,202102,1,58,0,0,0,4,63
MWI,202103,0,91,0,0,0,6,97
MWI,202104,0,70,0,0,0,9,79
MWI,202105,0,18,0,0,0,0,18
MWI,202106,0,6,0,0,0,0,6
MWI,202107,0,19,0,0,0,1,20
MWI,202108,0,24,0,0,0,0,24
MWI,202109,0,21,0,0,0,1,22
MWI,202110,1,14,0,0,0,0,15
MWI,202111,2,3,3,0,0,0,8
MWI,202112,0,5,0,0,0,0,5
MWI,202113,0,1,0,0,0,0,1
MWI,202114,0,23,0,0,0,0,23
MWI,202115,0,13,2,0,0,0,15
MWI,202116,0,2,2,0,0,0,4
MWI,202117,0,1,13,0,0,17,31
MWI,202118,0,1,1,0,0,0,2
MWI,202119,0,1,0,0,0,0,1
MWI,202120,0,1,1,0,0,0,2
MWI,202121,1,0,20,0,0,1,22
MWI,202122,0,2,35,0,0,0,37
MWI,202123,0,3,10,0,0,1,14
MWI,202124,0,0,37,0,0,0,37
MWI,202125,0,1,34,0,0,0,35
MWI,202126,0,0,32,0,0,1,33
MWI,202127,0,0,42,0,0,1,43
MWI,202128,0,0,15,0,0,2,17
MWI,202129,0,0,13,0,0,2,15
MWI,202130,0,0,16,0,0,0,16
MWI,202131,0,0,19,0,0,4,23
MWI,202132,0,0,6,0,0,0,6
MWI,202133,0,0,9,0,0,0,9
MWI,202134,0,0,3,0,0,0,3
MWI,202135,0,0,9,0,0,0,9
MWI,202136,0,0,12,0,0,3,15
MWI,202137,0,0,9,0,0,0,9
MWI,202138,0,0,2,0,0,0,2
MWI,202143,0,0,1,0,0,0,1
MWI,202148,0,0,0,5,0,0,5
MWI,202149,0,0,0,8,0,0,8
MWI,202150,0,0,0,21,0,0,21
MWI,202151,0,0,0,38,0,0,38
MWI,202152,0,0,0,18,1,0,19
