Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
MYS,202004,1 – 5,0,0,0,0,1,1
MYS,202004,10 – 20,0,0,0,0,1,1
MYS,202004,60 – 70,0,0,0,0,1,1
MYS,202005,30 – 40,0,0,0,0,1,1
MYS,202005,40 – 50,0,0,0,0,2,2
MYS,202006,40 – 50,0,0,0,0,1,1
MYS,202006,60 – 70,0,0,0,0,2,2
MYS,202007,30 – 40,0,0,0,0,1,1
MYS,202007,60 – 70,0,0,0,0,1,1
MYS,202009,20 – 30,0,0,0,0,1,1
MYS,202009,30 – 40,0,0,0,0,1,1
MYS,202009,50 – 60,0,0,0,0,2,2
MYS,202010,10 – 20,0,0,0,0,1,1
MYS,202010,20 – 30,0,0,0,0,2,2
MYS,202010,30 – 40,0,0,0,0,2,2
MYS,202010,40 – 50,0,0,0,0,1,1
MYS,202010,50 – 60,0,0,0,0,2,2
MYS,202010,60 – 70,0,0,0,0,1,1
MYS,202011,30 – 40,0,0,0,0,1,1
MYS,202011,50 – 60,0,0,0,0,1,1
MYS,202011,70 – 80,0,0,0,0,1,1
MYS,202012,20 – 30,0,0,0,0,6,6
MYS,202012,30 – 40,0,0,0,0,2,2
MYS,202012,40 – 50,0,0,0,0,2,2
MYS,202012,50 – 60,0,0,0,0,6,6
MYS,202012,70 – 80,0,0,0,0,1,1
MYS,202013,20 – 30,0,0,0,0,7,7
MYS,202013,30 – 40,0,0,0,0,4,4
MYS,202013,40 – 50,0,0,0,0,2,2
MYS,202013,50 – 60,0,0,0,0,3,3
MYS,202013,60 – 70,0,0,0,0,4,4
MYS,202013,70 – 80,0,0,0,0,2,2
MYS,202013,>= 80,0,0,0,0,2,2
MYS,202014,10 – 20,0,0,0,0,1,1
MYS,202014,20 – 30,0,0,0,0,8,8
MYS,202014,30 – 40,0,0,0,0,4,4
MYS,202014,40 – 50,0,0,0,0,4,4
MYS,202014,50 – 60,0,0,0,0,3,3
MYS,202014,60 – 70,0,0,0,0,6,6
MYS,202014,>= 80,0,0,0,0,4,4
MYS,202015,10 – 20,0,0,0,0,3,3
MYS,202015,20 – 30,0,0,0,0,5,5
MYS,202015,30 – 40,0,0,0,0,4,4
MYS,202015,40 – 50,0,0,0,0,3,3
MYS,202015,5 – 10,0,0,0,0,2,2
MYS,202015,50 – 60,0,0,0,0,4,4
MYS,202015,60 – 70,0,0,0,0,5,5
MYS,202015,70 – 80,0,0,0,0,2,2
MYS,202016,20 – 30,0,0,0,0,2,2
MYS,202016,40 – 50,0,0,0,0,2,2
MYS,202016,5 – 10,0,0,0,0,1,1
MYS,202016,60 – 70,0,0,0,0,2,2
MYS,202016,70 – 80,0,0,0,0,2,2
MYS,202017,10 – 20,0,0,0,0,1,1
MYS,202017,50 – 60,0,0,0,0,1,1
MYS,202017,70 – 80,0,0,0,0,2,2
MYS,202018,30 – 40,0,0,0,0,1,1
MYS,202018,40 – 50,0,0,0,0,1,1
MYS,202019,30 – 40,0,0,0,0,1,1
MYS,202019,60 – 70,0,0,0,0,1,1
MYS,202020,10 – 20,0,0,0,0,1,1
MYS,202020,20 – 30,0,0,0,0,1,1
MYS,202020,30 – 40,0,0,0,0,1,1
MYS,202020,50 – 60,0,0,0,0,1,1
MYS,202021,30 – 40,0,0,0,0,1,1
MYS,202022,20 – 30,0,0,0,0,4,4
MYS,202022,50 – 60,0,0,0,0,1,1
MYS,202024,1 – 5,0,0,0,0,1,1
MYS,202024,20 – 30,0,0,0,0,1,1
MYS,202024,5 – 10,0,0,0,0,1,1
MYS,202028,20 – 30,0,0,0,0,1,1
MYS,202029,30 – 40,0,0,0,0,1,1
MYS,202030,10 – 20,0,0,0,0,1,1
MYS,202031,40 – 50,0,0,0,0,1,1
MYS,202031,50 – 60,0,0,0,0,1,1
MYS,202033,20 – 30,0,0,0,0,2,2
MYS,202033,40 – 50,0,0,0,0,1,1
MYS,202033,50 – 60,0,0,0,0,1,1
MYS,202033,60 – 70,0,0,0,0,1,1
MYS,202034,20 – 30,0,0,0,0,2,2
MYS,202034,30 – 40,0,0,0,0,1,1
MYS,202034,50 – 60,0,0,0,0,1,1
MYS,202034,70 – 80,0,0,0,0,1,1
MYS,202037,20 – 30,0,0,0,0,1,1
MYS,202040,10 – 20,0,0,0,0,1,1
MYS,202040,20 – 30,0,0,0,0,5,5
MYS,202040,30 – 40,0,0,0,0,3,3
MYS,202040,40 – 50,0,0,0,0,1,1
MYS,202040,50 – 60,0,0,0,0,2,2
MYS,202040,60 – 70,0,0,0,0,3,3
MYS,202041,10 – 20,0,0,0,0,1,1
MYS,202041,20 – 30,0,0,0,0,3,3
MYS,202041,30 – 40,0,0,0,0,6,6
MYS,202041,40 – 50,0,0,0,0,1,1
MYS,202042,10 – 20,0,0,0,0,2,2
