Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
MYS,202004,Female,0,0,0,0,1,1
MYS,202004,Male,0,0,0,0,2,2
MYS,202005,Female,0,0,0,0,3,3
MYS,202006,Female,0,0,0,0,1,1
MYS,202006,Male,0,0,0,0,2,2
MYS,202007,Female,0,0,0,0,1,1
MYS,202007,Male,0,0,0,0,1,1
MYS,202009,Female,0,0,0,0,3,3
MYS,202009,Male,0,0,0,0,1,1
MYS,202010,Female,0,0,0,0,3,3
MYS,202010,Male,0,0,0,0,6,6
MYS,202011,Female,0,0,0,0,1,1
MYS,202011,Male,0,0,0,0,5,5
MYS,202012,Female,0,0,0,0,10,10
MYS,202012,Male,0,0,0,0,7,7
MYS,202013,Female,0,0,0,0,10,10
MYS,202013,Male,0,0,0,0,14,14
MYS,202014,Female,0,0,0,0,16,16
MYS,202014,Male,0,0,0,0,19,19
MYS,202015,Female,0,0,0,0,18,18
MYS,202015,Male,0,0,0,0,11,11
MYS,202016,Female,0,0,0,0,2,2
MYS,202016,Male,0,0,0,0,7,7
MYS,202017,Female,0,0,0,0,2,2
MYS,202017,Male,0,0,0,0,5,5
MYS,202018,Female,0,0,0,0,1,1
MYS,202018,Male,0,0,0,0,2,2
MYS,202019,Male,0,0,0,0,3,3
MYS,202020,Male,0,0,0,0,4,4
MYS,202021,Male,0,0,0,0,12,12
MYS,202022,Male,0,0,0,0,5,5
MYS,202023,Male,0,0,0,0,3,3
MYS,202024,Female,0,0,0,0,2,2
MYS,202024,Male,0,0,0,0,1,1
MYS,202028,Female,0,0,0,0,1,1
MYS,202029,Male,0,0,0,0,1,1
MYS,202030,Female,0,0,0,0,1,1
MYS,202030,Male,0,0,0,0,1,1
MYS,202031,Female,0,0,0,0,1,1
MYS,202031,Male,0,0,0,0,4,4
MYS,202033,Female,0,0,0,0,2,2
MYS,202033,Male,0,0,0,0,3,3
MYS,202034,Female,0,0,0,0,2,2
MYS,202034,Male,0,0,0,0,3,3
MYS,202036,Male,0,0,0,0,2,2
MYS,202037,Female,0,0,0,0,1,1
MYS,202040,Female,0,0,0,0,8,8
MYS,202040,Male,0,0,0,0,7,7
MYS,202041,Female,0,0,0,0,7,7
MYS,202041,Male,0,0,0,0,4,4
MYS,202042,Female,0,0,0,0,8,8
MYS,202042,Male,0,0,0,0,9,9
MYS,202043,Female,0,0,0,0,10,10
MYS,202043,Male,0,0,0,0,13,13
MYS,202044,Female,0,0,0,0,9,9
MYS,202044,Male,0,0,0,0,21,21
MYS,202045,Female,0,0,0,0,13,13
MYS,202045,Male,0,0,0,0,30,30
MYS,202046,Female,0,0,0,0,11,11
MYS,202046,Male,0,0,0,0,22,22
MYS,202047,Female,0,0,0,0,14,14
MYS,202047,Male,0,0,0,0,16,16
MYS,202048,Female,0,0,0,0,14,14
MYS,202048,Male,0,0,0,0,11,11
MYS,202049,Female,0,1,0,0,5,6
MYS,202049,Male,0,0,0,0,6,6
MYS,202050,Female,0,0,0,0,6,6
MYS,202050,Male,0,0,0,0,14,14
MYS,202051,Female,0,0,0,0,16,16
MYS,202051,Male,0,0,0,0,17,17
MYS,202052,Female,0,0,0,0,4,4
MYS,202052,Male,0,0,0,0,3,3
MYS,202053,Female,0,0,0,0,5,5
MYS,202053,Male,1,0,0,0,13,14
MYS,202101,Female,0,0,0,0,27,27
MYS,202101,Male,0,0,0,0,24,24
MYS,202102,Female,0,0,3,0,36,39
MYS,202102,Male,0,0,1,0,42,43
MYS,202103,Female,0,0,0,0,31,31
MYS,202103,Male,0,0,0,0,33,33
MYS,202104,Female,0,0,0,0,24,24
MYS,202104,Male,1,0,0,0,24,25
MYS,202105,Female,0,0,0,0,32,32
MYS,202105,Male,0,2,1,0,20,23
MYS,202106,Female,1,0,4,0,18,23
MYS,202106,Male,0,0,3,0,21,24
MYS,202107,Female,0,0,0,0,20,20
MYS,202107,Male,0,0,0,0,27,27
MYS,202108,Female,0,4,0,0,17,21
MYS,202108,Male,0,3,0,0,31,34
MYS,202109,Female,0,0,0,0,7,7
MYS,202109,Male,0,2,0,0,9,11
MYS,202110,Female,0,4,4,0,3,11
MYS,202110,Male,0,5,3,0,16,24
MYS,202111,Female,0,2,1,0,11,14
MYS,202111,Male,0,1,0,0,14,15
MYS,202112,Female,1,3,0,0,13,17
MYS,202112,Male,1,4,1,0,15,21
MYS,202113,Female,0,2,0,0,27,29
MYS,202113,Male,1,2,0,0,28,31
MYS,202114,Female,2,7,5,0,34,48
MYS,202114,Male,5,8,2,0,36,51
MYS,202115,Female,4,13,0,0,34,51
MYS,202115,Male,3,25,0,0,30,58
MYS,202116,Female,2,11,0,0,10,23
MYS,202116,Male,5,25,0,0,13,43
MYS,202117,Female,1,14,0,0,19,34
MYS,202117,Male,0,16,2,0,10,28
MYS,202118,Female,0,17,0,0,15,32
MYS,202118,Male,0,18,6,0,31,55
MYS,202119,Female,0,7,4,0,4,15
MYS,202119,Male,0,6,6,0,6,18
MYS,202120,Female,0,15,2,0,16,33
MYS,202120,Male,0,9,7,0,7,23
MYS,202121,Female,0,6,0,0,4,10
MYS,202121,Male,0,5,3,0,6,14
MYS,202122,Female,1,2,6,0,11,20
MYS,202122,Male,1,5,2,0,11,19
MYS,202123,Female,0,2,16,0,6,24
MYS,202123,Male,0,2,13,0,0,15
MYS,202124,Female,1,3,9,0,7,20
MYS,202124,Male,0,1,11,0,6,18
MYS,202125,Female,1,2,8,0,7,18
MYS,202125,Male,1,4,28,0,12,45
MYS,202126,Female,0,1,36,0,3,40
MYS,202126,Male,0,0,39,0,7,46
MYS,202127,Female,0,1,28,0,3,32
MYS,202127,Male,0,0,24,0,0,24
MYS,202128,Female,0,0,41,0,0,41
MYS,202128,Male,0,1,29,0,2,32
MYS,202129,Female,0,2,63,0,4,69
MYS,202129,Male,0,2,64,0,5,71
MYS,202130,Female,0,2,106,0,1,109
MYS,202130,Male,0,2,58,0,8,68
MYS,202131,Female,0,2,124,0,13,139
MYS,202131,Male,0,1,99,0,8,108
MYS,202132,Female,0,0,150,0,0,150
MYS,202132,Male,0,0,136,0,2,138
MYS,202133,Female,0,0,167,0,1,168
MYS,202133,Male,0,0,127,0,1,128
MYS,202134,Female,0,0,199,0,0,199
MYS,202134,Male,0,1,186,0,1,188
MYS,202135,Female,0,0,190,0,0,190
MYS,202135,Male,0,0,152,0,0,152
MYS,202136,Female,0,1,230,0,0,231
MYS,202136,Male,0,1,206,0,0,207
MYS,202137,Female,0,0,192,0,0,192
MYS,202137,Male,0,0,163,0,0,163
MYS,202138,Female,0,1,173,0,0,174
MYS,202138,Male,0,0,181,0,0,181
MYS,202139,Female,0,0,183,0,0,183
MYS,202139,Male,0,0,155,0,0,155
MYS,202140,Female,0,0,168,0,0,168
MYS,202140,Male,0,0,120,0,0,120
MYS,202141,Female,0,0,91,0,0,91
MYS,202141,Male,0,0,73,0,0,73
MYS,202142,Female,0,0,98,0,0,98
