Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
MYS,202004,0,0,0,0,3,3
MYS,202005,0,0,0,0,3,3
MYS,202006,0,0,0,0,3,3
MYS,202007,0,0,0,0,2,2
MYS,202009,0,0,0,0,4,4
MYS,202010,0,0,0,0,9,9
MYS,202011,0,0,0,0,6,6
MYS,202012,0,0,0,0,17,17
MYS,202013,0,0,0,0,24,24
MYS,202014,0,0,0,0,35,35
MYS,202015,0,0,0,0,29,29
MYS,202016,0,0,0,0,9,9
MYS,202017,0,0,0,0,7,7
MYS,202018,0,0,0,0,3,3
MYS,202019,0,0,0,0,3,3
MYS,202020,0,0,0,0,4,4
MYS,202021,0,0,0,0,12,12
MYS,202022,0,0,0,0,5,5
MYS,202023,0,0,0,0,3,3
MYS,202024,0,0,0,0,3,3
MYS,202028,0,0,0,0,1,1
MYS,202029,0,0,0,0,1,1
MYS,202030,0,0,0,0,2,2
MYS,202031,0,0,0,0,5,5
MYS,202033,0,0,0,0,5,5
MYS,202034,0,0,0,0,5,5
MYS,202036,0,0,0,0,2,2
MYS,202037,0,0,0,0,1,1
MYS,202040,0,0,0,0,15,15
MYS,202041,0,0,0,0,11,11
MYS,202042,0,0,0,0,17,17
MYS,202043,0,0,0,0,23,23
MYS,202044,0,0,0,0,30,30
MYS,202045,0,0,0,0,43,43
MYS,202046,0,0,0,0,33,33
MYS,202047,0,0,0,0,30,30
MYS,202048,0,0,0,0,25,25
MYS,202049,0,1,0,0,11,12
MYS,202050,0,0,0,0,20,20
MYS,202051,0,0,0,0,33,33
MYS,202052,0,0,0,0,7,7
MYS,202053,1,0,0,0,18,19
MYS,202101,0,0,0,0,51,51
MYS,202102,0,0,4,0,78,82
MYS,202103,0,0,0,0,64,64
MYS,202104,1,0,0,0,48,49
MYS,202105,0,2,1,0,52,55
MYS,202106,1,0,7,0,39,47
MYS,202107,0,0,0,0,47,47
MYS,202108,0,7,0,0,48,55
MYS,202109,0,2,0,0,16,18
MYS,202110,0,9,7,0,19,35
MYS,202111,0,3,1,0,25,29
MYS,202112,2,7,1,0,28,38
MYS,202113,1,4,0,0,55,60
MYS,202114,7,15,7,0,70,99
MYS,202115,7,38,0,0,64,109
MYS,202116,7,36,0,0,23,66
MYS,202117,1,30,2,0,29,62
MYS,202118,0,35,6,0,46,87
MYS,202119,0,13,10,0,10,33
MYS,202120,0,24,9,0,23,56
MYS,202121,0,11,3,0,10,24
MYS,202122,2,7,8,0,22,39
MYS,202123,0,4,29,0,6,39
MYS,202124,1,4,20,0,13,38
MYS,202125,2,6,36,0,19,63
MYS,202126,0,1,75,0,10,86
MYS,202127,0,1,52,0,3,56
MYS,202128,0,1,70,0,2,73
MYS,202129,0,4,127,0,9,140
MYS,202130,0,4,164,0,9,177
MYS,202131,0,3,223,0,21,247
MYS,202132,0,0,286,0,2,288
MYS,202133,0,0,294,0,2,296
MYS,202134,0,1,385,0,1,387
MYS,202135,0,0,342,0,0,342
MYS,202136,0,2,436,0,0,438
MYS,202137,0,0,355,0,0,355
MYS,202138,0,1,354,0,0,355
MYS,202139,0,0,338,0,0,338
MYS,202140,0,0,288,0,0,288
MYS,202141,0,0,164,0,0,164
MYS,202142,0,0,199,0,0,199
MYS,202143,0,1,223,0,0,224
MYS,202144,0,1,232,0,2,235
MYS,202145,0,0,203,0,1,204
MYS,202146,0,0,194,1,0,195
MYS,202147,0,0,188,0,0,188
MYS,202148,0,0,216,1,0,217
MYS,202149,0,0,140,8,0,148
MYS,202150,0,0,93,64,1,158
MYS,202151,0,0,79,217,2,298
MYS,202152,0,0,34,202,8,244
MYS,202201,0,0,35,95,9,139
MYS,202202,0,0,11,26,0,37
MYS,202203,0,0,0,3,0,3
