Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
NLD,202009,20 – 30,0,0,0,0,2,2
NLD,202009,40 – 50,0,0,0,0,3,3
NLD,202009,50 – 60,0,0,0,0,2,2
NLD,202010,20 – 30,0,0,0,0,2,2
NLD,202010,30 – 40,0,0,0,0,2,2
NLD,202010,40 – 50,0,0,0,0,2,2
NLD,202010,50 – 60,0,0,0,0,4,4
NLD,202010,60 – 70,0,0,0,0,2,2
NLD,202010,70 – 80,0,0,0,0,2,2
NLD,202011,20 – 30,0,0,0,0,1,1
NLD,202011,30 – 40,0,0,0,0,2,2
NLD,202011,40 – 50,0,0,0,0,8,8
NLD,202011,50 – 60,0,0,0,0,8,8
NLD,202011,60 – 70,0,0,0,0,4,4
NLD,202011,70 – 80,0,0,0,0,5,5
NLD,202011,>= 80,0,0,0,0,1,1
NLD,202012,20 – 30,0,0,0,0,4,4
NLD,202012,30 – 40,0,0,0,0,10,10
NLD,202012,40 – 50,0,0,0,0,7,7
NLD,202012,50 – 60,0,0,0,0,8,8
NLD,202012,60 – 70,0,0,0,0,3,3
NLD,202012,70 – 80,0,0,0,0,4,4
NLD,202012,>= 80,0,0,0,0,4,4
NLD,202013,20 – 30,0,0,0,0,1,1
NLD,202013,30 – 40,0,0,0,0,4,4
NLD,202013,40 – 50,0,0,0,0,9,9
NLD,202013,50 – 60,0,0,0,0,5,5
NLD,202013,60 – 70,0,0,0,0,5,5
NLD,202013,70 – 80,0,0,0,0,13,13
NLD,202013,>= 80,0,0,0,0,13,13
NLD,202014,20 – 30,0,0,0,0,3,3
NLD,202014,40 – 50,0,0,0,0,6,6
NLD,202014,50 – 60,0,0,0,0,14,14
NLD,202014,60 – 70,0,0,0,0,19,19
NLD,202014,70 – 80,0,0,0,0,12,12
NLD,202014,>= 80,0,0,0,0,6,6
NLD,202015,20 – 30,0,0,0,0,7,7
NLD,202015,30 – 40,0,0,0,0,6,6
NLD,202015,40 – 50,0,0,0,0,8,8
NLD,202015,50 – 60,0,0,0,0,9,9
NLD,202015,60 – 70,0,0,0,0,8,8
NLD,202015,70 – 80,0,0,0,0,8,8
NLD,202015,>= 80,0,0,0,0,4,4
NLD,202016,10 – 20,0,0,0,0,1,1
NLD,202016,20 – 30,0,0,0,0,4,4
NLD,202016,30 – 40,0,0,0,0,9,9
NLD,202016,40 – 50,0,0,0,0,1,1
NLD,202016,50 – 60,0,0,0,0,8,8
NLD,202016,60 – 70,0,0,0,0,2,2
NLD,202016,70 – 80,0,0,0,0,3,3
NLD,202016,>= 80,0,0,0,0,3,3
NLD,202017,20 – 30,0,0,0,0,2,2
NLD,202017,30 – 40,0,0,0,0,2,2
NLD,202017,50 – 60,0,0,0,0,5,5
NLD,202017,60 – 70,0,0,0,0,3,3
NLD,202017,70 – 80,0,0,0,0,3,3
NLD,202017,>= 80,0,0,0,0,3,3
NLD,202018,10 – 20,0,0,0,0,2,2
NLD,202018,30 – 40,0,0,0,0,1,1
NLD,202018,40 – 50,0,0,0,0,1,1
NLD,202018,50 – 60,0,0,0,0,1,1
NLD,202018,60 – 70,0,0,0,0,2,2
NLD,202018,70 – 80,0,0,0,0,1,1
NLD,202018,>= 80,0,0,0,0,2,2
NLD,202019,40 – 50,0,0,0,0,1,1
NLD,202019,70 – 80,0,0,0,0,1,1
NLD,202020,60 – 70,0,0,0,0,1,1
NLD,202021,1 – 5,0,0,0,0,1,1
NLD,202021,40 – 50,0,0,0,0,1,1
NLD,202021,5 – 10,0,0,0,0,1,1
NLD,202024,>= 80,0,0,0,0,1,1
NLD,202029,20 – 30,0,0,0,0,1,1
NLD,202029,60 – 70,0,0,0,0,1,1
NLD,202030,70 – 80,0,0,0,0,1,1
NLD,202031,20 – 30,0,0,0,0,1,1
NLD,202031,30 – 40,0,0,0,0,1,1
NLD,202033,10 – 20,0,0,0,0,1,1
NLD,202033,20 – 30,0,0,0,0,1,1
NLD,202033,40 – 50,0,0,0,0,1,1
NLD,202034,10 – 20,0,0,0,0,1,1
NLD,202035,10 – 20,0,0,0,0,2,2
NLD,202035,20 – 30,0,0,0,0,1,1
NLD,202035,70 – 80,0,0,0,0,1,1
