Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
NLD,202009,0,0,0,0,7,7
NLD,202010,0,0,0,0,14,14
NLD,202011,0,0,0,0,29,29
NLD,202012,0,0,0,0,40,40
NLD,202013,0,0,0,0,50,50
NLD,202014,0,0,0,0,60,60
NLD,202015,0,0,0,0,50,50
NLD,202016,0,0,0,0,31,31
NLD,202017,0,0,0,0,18,18
NLD,202018,0,0,0,0,10,10
NLD,202019,0,0,0,0,2,2
NLD,202020,0,0,0,0,1,1
NLD,202021,0,0,0,0,3,3
NLD,202024,0,0,0,0,1,1
NLD,202029,0,0,0,0,2,2
NLD,202030,0,0,0,0,1,1
NLD,202031,0,0,0,0,2,2
NLD,202033,0,0,0,0,3,3
NLD,202034,0,0,0,0,1,1
NLD,202035,0,0,0,0,5,5
NLD,202036,0,0,0,0,1,1
NLD,202037,0,0,0,0,10,10
NLD,202038,0,0,0,0,4,4
NLD,202039,0,0,0,0,22,22
NLD,202040,0,0,0,0,15,15
NLD,202041,0,0,0,0,15,15
NLD,202042,0,0,0,0,46,46
NLD,202043,0,0,0,0,24,24
NLD,202044,0,0,0,0,62,62
NLD,202045,0,0,0,0,60,60
NLD,202046,0,0,0,0,88,88
NLD,202047,0,0,0,0,94,94
NLD,202048,0,0,0,0,146,146
NLD,202049,2,0,0,0,130,132
NLD,202050,0,0,0,0,180,180
NLD,202051,7,0,0,0,204,211
NLD,202052,13,1,0,0,256,270
NLD,202053,28,1,0,0,324,353
NLD,202101,75,4,6,0,421,506
NLD,202102,100,4,14,0,418,536
NLD,202103,111,3,0,0,425,539
NLD,202104,239,13,0,0,541,793
NLD,202105,254,15,0,0,449,718
NLD,202106,294,19,15,0,334,662
NLD,202107,536,28,0,0,306,870
NLD,202108,761,24,0,0,234,1019
NLD,202109,910,24,0,0,181,1115
NLD,202110,1613,66,19,0,197,1895
NLD,202111,1385,52,0,0,125,1562
NLD,202112,1601,61,0,0,98,1760
NLD,202113,1671,44,0,0,76,1791
NLD,202114,1441,34,1,0,50,1526
NLD,202115,1490,26,21,0,43,1580
NLD,202116,1552,23,5,0,54,1634
NLD,202117,1680,15,15,0,51,1761
NLD,202118,1409,14,8,0,44,1475
NLD,202119,1299,6,15,0,39,1359
NLD,202120,1440,3,15,0,54,1512
NLD,202121,1197,3,54,0,37,1291
NLD,202122,1099,0,67,0,55,1221
NLD,202123,999,0,153,0,42,1194
NLD,202124,680,0,336,0,49,1065
NLD,202125,367,1,298,0,23,689
NLD,202126,261,1,613,0,32,907
NLD,202127,289,0,1846,0,21,2156
NLD,202128,134,0,2393,0,6,2533
NLD,202129,58,0,1946,0,4,2008
NLD,202130,22,0,1581,0,5,1608
NLD,202131,7,0,1274,0,1,1282
NLD,202132,9,0,1253,0,0,1262
NLD,202133,3,0,1451,0,1,1455
NLD,202134,3,0,1843,0,2,1848
NLD,202135,4,0,1276,0,1,1281
NLD,202136,2,0,1281,0,0,1283
NLD,202137,1,0,1229,0,0,1230
NLD,202138,0,0,1154,0,1,1155
NLD,202139,1,0,991,0,0,992
NLD,202140,0,0,1112,0,0,1112
NLD,202141,1,0,1313,0,0,1314
NLD,202142,0,0,1191,0,2,1193
NLD,202143,0,0,1545,0,2,1547
NLD,202144,0,0,1601,0,0,1601
NLD,202145,0,0,1597,0,0,1597
NLD,202146,0,0,1495,1,0,1496
NLD,202147,0,0,1472,41,0,1513
NLD,202148,0,0,1528,71,0,1599
NLD,202149,0,0,1545,81,1,1627
NLD,202150,0,0,1378,402,1,1781
NLD,202151,0,0,1018,461,0,1479
NLD,202152,0,0,553,765,0,1318
NLD,202201,0,0,232,1345,0,1577
NLD,202202,0,0,92,1393,0,1485
NLD,202203,0,0,28,1074,0,1102
NLD,202204,0,0,2,173,0,175
