Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
NLD,202009,Female,0,0,0,0,3,3
NLD,202009,Male,0,0,0,0,2,2
NLD,202010,Female,0,0,0,0,4,4
NLD,202010,Male,0,0,0,0,9,9
NLD,202011,Female,0,0,0,0,12,12
NLD,202011,Male,0,0,0,0,17,17
NLD,202012,Female,0,0,0,0,20,20
NLD,202012,Male,0,0,0,0,18,18
NLD,202013,Female,0,0,0,0,22,22
NLD,202013,Male,0,0,0,0,27,27
NLD,202014,Female,0,0,0,0,20,20
NLD,202014,Male,0,0,0,0,34,34
NLD,202015,Female,0,0,0,0,20,20
NLD,202015,Male,0,0,0,0,28,28
NLD,202016,Female,0,0,0,0,13,13
NLD,202016,Male,0,0,0,0,18,18
NLD,202017,Female,0,0,0,0,6,6
NLD,202017,Male,0,0,0,0,12,12
NLD,202018,Female,0,0,0,0,6,6
NLD,202018,Male,0,0,0,0,4,4
NLD,202019,Male,0,0,0,0,1,1
NLD,202020,Male,0,0,0,0,1,1
NLD,202021,Female,0,0,0,0,1,1
NLD,202021,Male,0,0,0,0,2,2
NLD,202024,Male,0,0,0,0,1,1
NLD,202029,Male,0,0,0,0,1,1
NLD,202030,Female,0,0,0,0,1,1
NLD,202031,Female,0,0,0,0,1,1
NLD,202033,Male,0,0,0,0,2,2
NLD,202034,Male,0,0,0,0,1,1
NLD,202035,Female,0,0,0,0,3,3
NLD,202035,Male,0,0,0,0,2,2
NLD,202036,Female,0,0,0,0,1,1
NLD,202037,Female,0,0,0,0,4,4
NLD,202037,Male,0,0,0,0,5,5
NLD,202038,Female,0,0,0,0,3,3
NLD,202038,Male,0,0,0,0,1,1
NLD,202039,Female,0,0,0,0,8,8
NLD,202039,Male,0,0,0,0,3,3
NLD,202040,Female,0,0,0,0,4,4
NLD,202040,Male,0,0,0,0,3,3
NLD,202041,Female,0,0,0,0,4,4
NLD,202041,Male,0,0,0,0,5,5
NLD,202042,Female,0,0,0,0,7,7
NLD,202042,Male,0,0,0,0,7,7
NLD,202043,Female,0,0,0,0,10,10
NLD,202043,Male,0,0,0,0,10,10
NLD,202044,Female,0,0,0,0,9,9
NLD,202044,Male,0,0,0,0,23,23
NLD,202045,Female,0,0,0,0,17,17
NLD,202045,Male,0,0,0,0,16,16
NLD,202046,Female,0,0,0,0,21,21
NLD,202046,Male,0,0,0,0,19,19
NLD,202047,Female,0,0,0,0,18,18
NLD,202047,Male,0,0,0,0,12,12
NLD,202048,Female,0,0,0,0,39,39
NLD,202048,Male,0,0,0,0,27,27
NLD,202049,Female,0,0,0,0,21,21
NLD,202049,Male,0,0,0,0,16,16
NLD,202050,Female,0,0,0,0,29,29
NLD,202050,Male,0,0,0,0,23,23
NLD,202051,Female,0,0,0,0,13,13
NLD,202051,Male,0,0,0,0,12,12
NLD,202052,Female,2,0,0,0,12,14
NLD,202052,Male,0,0,0,0,11,11
NLD,202053,Female,1,0,0,0,61,62
NLD,202053,Male,2,0,0,0,51,53
NLD,202101,Female,3,0,2,0,55,60
NLD,202101,Male,2,0,4,0,33,39
NLD,202102,Female,10,0,8,0,90,108
NLD,202102,Male,5,1,6,0,55,67
NLD,202103,Female,4,0,0,0,87,91
NLD,202103,Male,3,0,0,0,56,59
NLD,202104,Female,12,0,0,0,49,61
NLD,202104,Male,5,0,0,0,51,56
NLD,202105,Female,15,2,0,0,65,82
NLD,202105,Male,15,0,0,0,58,73
NLD,202106,Female,19,2,6,0,41,68
NLD,202106,Male,9,2,9,0,43,63
