Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
NLD,202009,0,0,0,0,0,5,5
NLD,202010,0,0,0,0,0,13,13
NLD,202011,0,0,0,0,0,29,29
NLD,202012,0,0,0,0,0,38,38
NLD,202013,0,0,0,0,0,49,49
NLD,202014,0,0,0,0,0,54,54
NLD,202015,0,0,0,0,0,48,48
NLD,202016,0,0,0,0,0,31,31
NLD,202017,0,0,0,0,0,18,18
NLD,202018,0,0,0,0,0,10,10
NLD,202019,0,0,0,0,0,1,1
NLD,202020,0,0,0,0,0,1,1
NLD,202021,0,0,0,0,0,3,3
NLD,202024,0,0,0,0,0,1,1
NLD,202029,0,0,0,0,0,1,1
NLD,202030,0,0,0,0,0,1,1
NLD,202031,0,0,0,0,0,1,1
NLD,202033,0,0,0,0,0,2,2
NLD,202034,0,0,0,0,0,1,1
NLD,202035,0,0,0,0,0,5,5
NLD,202036,0,0,0,0,0,1,1
NLD,202037,0,0,0,0,0,9,9
NLD,202038,0,0,0,0,0,4,4
NLD,202039,0,0,0,0,0,11,11
NLD,202040,0,0,0,0,0,7,7
NLD,202041,0,0,0,0,0,9,9
NLD,202042,0,0,0,0,0,14,14
NLD,202043,0,0,0,0,0,20,20
NLD,202044,0,0,0,0,0,32,32
NLD,202045,0,0,0,0,0,33,33
NLD,202046,0,0,0,0,0,40,40
NLD,202047,0,0,0,0,0,30,30
NLD,202048,0,0,0,0,0,66,66
NLD,202049,0,0,0,0,0,37,37
NLD,202050,0,0,0,0,0,52,52
NLD,202051,0,0,0,0,0,25,25
NLD,202052,2,0,0,0,0,23,25
NLD,202053,3,0,0,0,0,112,115
NLD,202101,5,0,6,0,0,88,99
NLD,202102,15,1,14,0,0,145,175
NLD,202103,7,0,0,0,0,143,150
NLD,202104,17,0,0,0,0,100,117
NLD,202105,30,2,0,0,0,123,155
NLD,202106,28,4,15,0,0,84,131
NLD,202107,69,7,0,0,0,81,157
NLD,202108,111,2,0,0,0,68,181
NLD,202109,125,0,0,0,0,41,166
NLD,202110,191,12,17,0,0,33,253
NLD,202111,159,6,0,0,0,9,174
NLD,202112,157,11,0,0,0,10,178
NLD,202113,183,5,0,0,0,17,205
NLD,202114,192,3,1,0,0,7,203
NLD,202115,214,2,19,0,0,6,241
NLD,202116,144,1,2,0,0,8,155
NLD,202117,208,4,0,0,0,18,230
NLD,202118,193,4,4,0,0,10,211
NLD,202119,198,3,5,0,0,7,213
NLD,202120,156,1,1,0,0,1,159
NLD,202121,134,0,3,0,0,4,141
NLD,202122,117,0,6,0,0,3,126
NLD,202123,143,0,17,0,0,9,169
NLD,202124,110,0,58,0,0,10,178
NLD,202125,46,0,62,0,0,3,111
NLD,202126,44,0,96,0,0,12,152
NLD,202127,62,0,297,0,0,7,366
NLD,202128,27,0,392,0,0,0,419
NLD,202129,11,0,360,0,0,0,371
NLD,202130,5,0,336,0,0,0,341
NLD,202131,4,0,280,0,0,0,284
NLD,202132,1,0,235,0,0,0,236
NLD,202133,1,0,209,0,0,1,211
NLD,202134,0,0,167,0,0,0,167
NLD,202135,0,0,180,0,0,1,181
NLD,202136,2,0,194,0,0,0,196
NLD,202137,0,0,181,0,0,0,181
NLD,202138,0,0,233,0,0,0,233
NLD,202139,0,0,188,0,0,0,188
NLD,202140,0,0,213,0,0,0,213
NLD,202141,1,0,269,0,0,0,270
NLD,202142,0,0,206,0,0,0,206
NLD,202143,0,0,303,0,0,1,304
NLD,202144,0,0,312,0,0,0,312
NLD,202145,0,0,283,0,0,0,283
NLD,202146,0,0,331,0,0,0,331
NLD,202147,0,0,282,0,0,0,282
NLD,202148,0,0,262,5,0,0,267
NLD,202149,0,0,249,7,0,1,257
NLD,202150,0,0,233,19,0,16,268
NLD,202151,0,0,248,56,0,51,355
NLD,202152,0,0,98,88,1,66,253
NLD,202201,0,0,62,128,1,103,294
NLD,202202,0,0,24,177,4,180,385
NLD,202203,0,0,12,113,10,155,290
NLD,202204,0,0,3,85,19,166,273
NLD,202205,0,0,1,61,27,132,221
NLD,202206,0,0,0,12,9,52,73
NLD,202207,0,0,0,0,1,5,6
