Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
NLD,202007,0,0,0,0,4,4
NLD,202009,0,0,0,0,17,17
NLD,202010,0,0,0,0,118,118
NLD,202011,0,0,0,0,226,226
NLD,202012,0,0,0,0,189,189
NLD,202013,0,0,0,0,275,275
NLD,202014,0,0,0,0,284,284
NLD,202015,0,0,0,0,199,199
NLD,202016,0,0,0,0,141,141
NLD,202017,0,0,0,0,136,136
NLD,202018,0,0,0,0,104,104
NLD,202019,0,0,0,0,78,78
NLD,202020,0,0,0,0,47,47
NLD,202021,0,0,0,0,172,172
NLD,202022,0,0,0,0,63,63
NLD,202023,0,0,0,0,46,46
NLD,202024,0,0,0,0,57,57
NLD,202025,0,0,0,0,32,32
NLD,202026,0,0,0,0,34,34
NLD,202027,0,0,0,0,40,40
NLD,202028,0,0,0,0,29,29
NLD,202029,0,0,0,0,14,14
NLD,202030,0,0,0,0,23,23
NLD,202031,0,0,0,0,32,32
NLD,202032,0,0,0,0,48,48
NLD,202033,0,0,0,0,83,83
NLD,202034,0,0,0,0,29,29
NLD,202035,0,0,0,0,65,65
NLD,202036,0,0,0,0,35,35
NLD,202037,0,0,0,0,56,56
NLD,202038,0,0,0,0,116,116
NLD,202039,0,0,0,0,116,116
NLD,202040,0,0,0,0,151,151
NLD,202041,0,0,0,0,142,142
NLD,202042,0,0,0,0,217,217
NLD,202043,0,0,0,0,210,210
NLD,202044,0,0,0,0,191,191
NLD,202045,0,0,0,0,194,194
NLD,202046,1,0,0,0,220,221
NLD,202047,0,0,0,0,243,243
NLD,202048,0,0,0,0,252,252
NLD,202049,2,0,0,0,263,265
NLD,202050,3,0,0,0,364,367
NLD,202051,21,0,0,0,396,417
NLD,202052,46,2,0,0,485,533
NLD,202053,97,2,0,0,523,622
NLD,202101,106,9,6,0,639,760
NLD,202102,180,32,14,0,663,889
NLD,202103,200,18,2,0,650,870
NLD,202104,323,15,0,0,795,1133
NLD,202105,410,33,0,0,767,1210
NLD,202106,403,35,15,0,691,1144
NLD,202107,815,47,0,0,405,1267
NLD,202108,1049,37,0,0,319,1405
NLD,202109,1614,42,0,0,292,1948
NLD,202110,1946,82,19,0,237,2284
NLD,202111,1553,62,0,0,154,1769
NLD,202112,1796,70,0,0,114,1980
NLD,202113,1810,49,0,0,94,1953
NLD,202114,1664,39,1,0,61,1765
NLD,202115,1730,33,24,0,52,1839
NLD,202116,1679,26,12,0,58,1775
NLD,202117,2057,21,21,0,66,2165
NLD,202118,1671,15,11,0,56,1753
NLD,202119,1663,8,28,0,51,1750
NLD,202120,1511,3,20,0,54,1588
NLD,202121,1281,3,58,0,38,1380
NLD,202122,1142,0,80,0,58,1280
NLD,202123,1151,1,171,0,45,1368
NLD,202124,758,2,360,0,52,1172
NLD,202125,429,1,337,0,26,793
NLD,202126,278,1,676,0,34,989
NLD,202127,320,0,1986,0,24,2330
NLD,202128,166,0,2665,0,6,2837
NLD,202129,59,0,2087,0,4,2150
NLD,202130,25,0,1689,0,7,1721
NLD,202131,7,0,1420,0,1,1428
NLD,202132,9,0,1406,0,0,1415
NLD,202133,4,0,1634,0,2,1640
NLD,202134,3,0,2021,0,2,2026
NLD,202135,5,1,1469,0,4,1479
NLD,202136,2,0,1402,0,0,1404
NLD,202137,1,0,1314,0,0,1315
NLD,202138,0,0,1265,0,3,1268
NLD,202139,1,0,1019,0,0,1020
NLD,202140,0,0,1171,0,0,1171
NLD,202141,2,1,1467,0,2,1472
NLD,202142,0,0,1388,0,2,1390
NLD,202143,0,0,1765,0,2,1767
NLD,202144,0,0,1806,0,0,1806
NLD,202145,0,0,1811,1,0,1812
NLD,202146,0,0,1870,1,0,1871
NLD,202147,0,0,1862,56,0,1918
NLD,202148,0,0,1927,88,0,2015
NLD,202149,0,0,1967,118,1,2086
NLD,202150,0,0,1736,499,1,2236
NLD,202151,0,0,1248,572,1,1821
NLD,202152,0,0,697,963,0,1660
NLD,202201,0,0,302,1612,0,1914
NLD,202202,0,0,82,957,0,1039
NLD,202203,0,0,3,123,0,126
