Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
NOR,202005,0,0,0,0,0,1,1
NOR,202009,0,0,0,0,0,11,11
NOR,202010,0,0,0,0,0,49,49
NOR,202011,0,0,0,0,0,63,63
NOR,202012,0,0,0,0,0,39,39
NOR,202013,0,0,0,0,0,57,57
NOR,202014,0,0,0,0,0,38,38
NOR,202015,0,0,0,0,0,33,33
NOR,202016,0,0,0,0,0,35,35
NOR,202017,0,0,0,0,0,28,28
NOR,202018,0,0,0,0,0,13,13
NOR,202019,0,0,0,0,0,15,15
NOR,202020,0,0,0,0,0,12,12
NOR,202021,0,0,0,0,0,6,6
NOR,202022,0,0,0,0,0,4,4
NOR,202023,0,0,0,0,0,5,5
NOR,202024,0,0,0,0,0,8,8
NOR,202025,0,0,0,0,0,23,23
NOR,202026,0,0,0,0,0,25,25
NOR,202027,0,0,0,0,0,35,35
NOR,202028,0,0,0,0,0,17,17
NOR,202029,0,0,0,0,0,17,17
NOR,202030,0,0,0,0,0,19,19
NOR,202031,0,0,0,0,0,58,58
NOR,202032,0,0,0,0,0,123,123
NOR,202033,0,0,0,0,0,48,48
NOR,202034,0,0,0,0,0,20,20
NOR,202035,0,0,0,0,0,23,23
NOR,202036,0,0,0,0,0,67,67
NOR,202037,0,0,0,0,0,40,40
NOR,202038,0,0,0,0,0,33,33
NOR,202039,0,0,0,0,0,88,88
NOR,202040,0,0,0,0,0,84,84
NOR,202041,0,0,0,0,0,70,70
NOR,202042,0,0,0,0,0,64,64
NOR,202043,0,0,0,0,0,125,125
NOR,202044,0,0,0,0,0,166,166
NOR,202045,0,0,0,0,0,113,113
NOR,202046,0,0,0,0,0,80,80
NOR,202047,0,0,0,0,0,81,81
NOR,202048,0,0,0,0,0,74,74
NOR,202049,0,0,0,0,0,109,109
NOR,202050,2,0,0,0,0,129,131
NOR,202051,11,0,0,0,0,129,140
NOR,202052,15,0,0,0,0,97,112
NOR,202053,7,1,0,0,0,144,152
NOR,202101,38,1,0,0,1,232,272
NOR,202102,31,2,1,1,0,215,250
NOR,202103,59,0,1,0,0,409,469
NOR,202104,151,2,0,0,0,565,718
NOR,202105,205,7,0,0,0,477,689
NOR,202106,237,31,0,0,0,385,653
NOR,202107,452,29,0,0,0,327,808
NOR,202108,508,59,0,0,0,144,711
NOR,202109,630,86,0,0,0,119,835
NOR,202110,780,64,0,0,0,68,912
NOR,202111,786,39,0,0,0,58,883
NOR,202112,846,31,0,0,0,39,916
NOR,202113,469,21,0,0,0,12,502
NOR,202114,983,25,0,0,0,23,1031
NOR,202115,850,15,1,0,0,15,881
NOR,202116,863,8,2,0,0,15,888
NOR,202117,769,1,3,0,0,16,789
NOR,202118,942,1,17,0,0,9,969
NOR,202119,827,4,24,0,0,6,861
NOR,202120,835,1,26,0,0,4,866
NOR,202121,586,2,17,0,0,5,610
NOR,202122,622,0,21,0,0,4,647
NOR,202123,439,1,64,0,0,4,508
NOR,202124,326,1,95,0,0,4,426
NOR,202125,340,0,83,0,0,5,428
NOR,202126,223,1,178,0,0,1,403
NOR,202127,152,0,307,0,0,5,464
NOR,202128,83,2,327,0,0,12,424
NOR,202129,43,0,388,0,0,2,433
NOR,202130,44,0,535,0,0,1,580
NOR,202131,28,0,686,0,0,1,715
NOR,202132,11,0,827,0,0,0,838
NOR,202133,1,0,898,0,0,0,899
NOR,202134,0,0,874,0,0,2,876
NOR,202135,0,0,1082,0,0,0,1082
NOR,202136,1,0,1246,0,0,0,1247
NOR,202137,0,0,1099,0,0,0,1099
NOR,202138,0,0,851,0,0,0,851
NOR,202139,0,0,925,0,0,0,925
NOR,202140,1,0,798,0,0,0,799
NOR,202141,0,0,727,0,0,0,727
NOR,202142,0,0,878,0,0,0,878
NOR,202143,0,0,1228,0,0,0,1228
NOR,202144,0,0,1052,0,0,0,1052
NOR,202145,0,0,956,0,0,0,956
NOR,202146,0,0,1257,0,0,0,1257
NOR,202147,0,0,976,7,0,0,983
NOR,202148,0,0,1025,121,0,3,1149
NOR,202149,0,0,841,467,0,2,1310
NOR,202150,0,0,660,530,2,21,1213
NOR,202151,0,0,258,261,2,15,536
NOR,202152,0,0,269,696,17,122,1104
NOR,202201,0,0,139,797,148,195,1279
NOR,202202,0,0,58,656,165,246,1125
NOR,202203,0,0,8,576,149,208,941
NOR,202204,0,0,4,229,138,120,491
NOR,202205,0,0,0,101,151,74,326
NOR,202206,0,0,0,34,60,16,110
