Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
NPL,202003,Male,0,0,0,0,1,1
NPL,202031,Female,0,0,0,0,1,1
NPL,202031,Male,0,0,0,0,1,1
NPL,202032,Female,0,0,0,0,2,2
NPL,202032,Male,0,0,0,0,4,4
NPL,202033,Female,0,0,0,0,1,1
NPL,202033,Male,0,0,0,0,5,5
NPL,202035,Male,0,0,0,0,1,1
NPL,202041,Male,0,0,0,0,1,1
NPL,202115,Female,1,0,0,0,0,1
NPL,202115,Male,0,0,3,0,0,3
NPL,202116,Male,0,0,3,0,0,3
NPL,202117,Female,0,0,2,0,2,4
NPL,202117,Male,0,0,4,0,3,7
NPL,202118,Female,0,0,6,0,1,7
NPL,202118,Male,0,0,7,0,0,7
NPL,202119,Female,0,0,4,0,0,4
NPL,202119,Male,0,0,15,0,1,16
NPL,202120,Female,0,0,29,0,0,29
NPL,202120,Male,0,0,24,0,0,24
NPL,202121,Female,0,0,9,0,0,9
NPL,202121,Male,0,0,7,0,0,7
NPL,202122,Female,0,0,25,0,2,27
NPL,202122,Male,1,0,24,0,0,25
NPL,202123,Female,0,0,8,0,1,9
NPL,202123,Male,0,0,11,0,0,11
NPL,202124,Female,0,0,17,0,1,18
NPL,202124,Male,0,0,12,0,0,12
NPL,202125,Female,0,0,17,0,1,18
NPL,202125,Male,0,0,9,0,0,9
NPL,202126,Female,0,0,16,0,1,17
NPL,202126,Male,0,0,29,0,2,31
NPL,202127,Female,0,0,19,0,2,21
NPL,202127,Male,0,0,22,0,0,22
NPL,202128,Female,0,0,17,0,0,17
NPL,202128,Male,0,0,17,0,0,17
NPL,202129,Female,0,0,5,0,0,5
NPL,202129,Male,0,0,7,0,0,7
NPL,202130,Female,0,0,17,0,0,17
NPL,202130,Male,0,0,17,0,1,18
NPL,202131,Female,0,0,10,0,0,10
NPL,202131,Male,0,0,12,0,0,12
NPL,202132,Female,0,0,17,0,0,17
NPL,202132,Male,0,0,10,0,0,10
NPL,202133,Female,0,0,30,0,0,30
NPL,202133,Male,0,0,25,0,2,27
NPL,202133,Other,0,0,1,0,0,1
NPL,202134,Female,0,0,23,0,0,23
NPL,202134,Male,0,0,34,0,0,34
NPL,202135,Female,0,0,12,0,0,12
NPL,202135,Male,0,0,28,0,1,29
NPL,202136,Female,0,0,28,0,0,28
NPL,202136,Male,0,0,25,0,0,25
NPL,202137,Female,0,0,48,0,0,48
NPL,202137,Male,0,0,44,0,2,46
NPL,202138,Female,0,0,79,0,10,89
NPL,202138,Male,0,0,83,0,2,85
NPL,202139,Female,0,0,30,0,2,32
NPL,202139,Male,0,0,38,0,3,41
NPL,202140,Female,0,0,25,0,1,26
NPL,202140,Male,0,0,23,0,1,24
NPL,202141,Female,0,0,11,0,0,11
NPL,202141,Male,0,0,14,0,0,14
NPL,202142,Female,0,0,25,0,0,25
NPL,202142,Male,0,0,38,0,1,39
NPL,202143,Female,0,0,8,0,0,8
NPL,202143,Male,0,0,4,0,0,4
NPL,202144,Female,0,0,4,0,0,4
NPL,202144,Male,0,0,4,0,0,4
NPL,202145,Female,0,0,5,0,0,5
NPL,202145,Male,0,0,1,0,0,1
NPL,202146,Female,0,0,3,0,0,3
NPL,202146,Male,0,0,7,0,0,7
NPL,202147,Female,0,0,11,0,0,11
NPL,202147,Male,0,0,14,3,1,18
NPL,202148,Female,0,0,7,0,0,7
NPL,202148,Male,0,0,18,0,0,18
NPL,202149,Female,0,0,10,0,0,10
NPL,202149,Male,0,0,36,0,0,36
NPL,202150,Female,0,0,5,0,0,5
NPL,202150,Male,0,0,6,0,0,6
NPL,202151,Female,0,0,1,4,0,5
NPL,202151,Male,0,0,2,0,0,2
NPL,202152,Female,0,0,3,3,0,6
NPL,202152,Male,0,0,4,18,0,22
NPL,202201,Female,0,0,0,10,2,12
NPL,202201,Male,0,0,0,5,0,5
NPL,202202,Female,0,0,0,7,0,7
NPL,202202,Male,0,0,1,12,0,13
NPL,202203,Female,0,0,0,47,0,47
NPL,202203,Male,0,0,0,54,0,54
NPL,202204,Female,0,0,0,1,1,2
NPL,202204,Male,0,0,0,6,0,6
NPL,202205,Female,0,0,0,2,0,2
NPL,202205,Male,0,0,0,5,0,5
NPL,202206,Female,0,0,0,5,1,6
NPL,202206,Male,0,0,0,3,0,3
NPL,202207,Female,0,0,0,2,0,2
NPL,202207,Male,0,0,0,4,0,4
NPL,202208,Male,0,0,0,2,1,3
