Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
NPL,202003,0,0,0,0,1,1
NPL,202031,0,0,0,0,2,2
NPL,202032,0,0,0,0,6,6
NPL,202033,0,0,0,0,6,6
NPL,202035,0,0,0,0,1,1
NPL,202041,0,0,0,0,1,1
NPL,202115,1,0,3,0,0,4
NPL,202116,0,0,3,0,0,3
NPL,202117,0,0,6,0,5,11
NPL,202118,0,0,13,0,1,14
NPL,202119,0,0,18,0,1,19
NPL,202120,0,0,1,0,0,1
NPL,202121,0,0,13,0,0,13
NPL,202122,1,0,38,0,1,40
NPL,202123,0,0,2,0,0,2
NPL,202124,0,0,8,0,1,9
NPL,202125,0,0,4,0,0,4
NPL,202126,0,0,7,0,0,7
NPL,202127,0,0,20,0,0,20
NPL,202128,0,0,6,0,0,6
NPL,202129,0,0,8,0,0,8
NPL,202130,0,0,22,0,1,23
NPL,202131,0,0,10,0,0,10
NPL,202132,0,0,25,0,0,25
NPL,202133,0,0,45,0,1,46
NPL,202134,0,0,40,0,0,40
NPL,202135,0,0,29,0,1,30
NPL,202136,0,0,23,0,0,23
NPL,202137,0,0,62,0,2,64
NPL,202138,0,0,154,0,5,159
NPL,202139,0,0,45,0,4,49
NPL,202140,0,0,19,0,2,21
NPL,202141,0,0,21,0,0,21
NPL,202142,0,0,37,0,1,38
NPL,202143,0,0,3,0,0,3
NPL,202144,0,0,3,0,0,3
NPL,202145,0,0,3,0,0,3
NPL,202146,0,0,6,0,0,6
NPL,202147,0,0,25,3,1,29
NPL,202148,0,0,25,0,0,25
NPL,202149,0,0,46,0,0,46
NPL,202150,0,0,11,0,0,11
NPL,202151,0,0,3,4,0,7
NPL,202152,0,0,7,21,0,28
NPL,202201,0,0,0,11,2,13
NPL,202202,0,0,1,15,0,16
NPL,202203,0,0,0,10,0,10
NPL,202204,0,0,0,2,0,2
