Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
NZL,202009,Female,0,0,0,0,1,1
NZL,202010,Female,0,0,0,0,2,2
NZL,202010,Male,0,0,0,0,1,1
NZL,202011,Male,0,0,0,0,2,2
NZL,202012,Female,0,0,0,0,12,12
NZL,202012,Male,0,0,0,0,14,14
NZL,202013,Female,0,0,0,0,62,62
NZL,202013,Male,0,0,0,0,49,49
NZL,202014,Female,0,0,0,0,26,26
NZL,202014,Male,0,0,0,0,32,32
NZL,202015,Female,0,0,0,0,16,16
NZL,202015,Male,0,0,0,0,12,12
NZL,202016,Female,0,0,0,0,2,2
NZL,202016,Male,0,0,0,0,2,2
NZL,202017,Female,0,0,0,0,3,3
NZL,202018,Female,0,0,0,0,3,3
NZL,202019,Female,0,0,0,0,3,3
NZL,202021,Female,0,0,0,0,1,1
NZL,202025,Female,0,0,0,0,2,2
NZL,202025,Male,0,0,0,0,2,2
NZL,202026,Male,0,0,0,0,2,2
NZL,202027,Female,0,0,0,0,1,1
NZL,202028,Female,0,0,0,0,1,1
NZL,202028,Male,0,0,0,0,1,1
NZL,202029,Female,0,0,0,0,1,1
NZL,202030,Male,0,0,0,0,1,1
NZL,202031,Female,0,0,0,0,1,1
NZL,202033,Female,0,0,0,0,14,14
NZL,202033,Male,0,0,0,0,16,16
NZL,202034,Female,0,0,0,0,15,15
NZL,202034,Male,0,0,0,0,19,19
NZL,202035,Female,0,0,0,0,22,22
NZL,202035,Male,0,0,0,0,22,22
NZL,202036,Female,0,0,0,0,12,12
NZL,202036,Male,0,0,0,0,6,6
NZL,202037,Female,0,0,0,0,12,12
NZL,202037,Male,0,0,0,0,4,4
NZL,202038,Female,0,0,0,0,4,4
NZL,202038,Male,0,0,0,0,5,5
NZL,202039,Female,0,0,0,0,3,3
NZL,202039,Male,0,0,0,0,5,5
NZL,202040,Female,0,0,0,0,3,3
NZL,202040,Male,0,0,0,0,4,4
NZL,202041,Female,0,0,0,0,5,5
NZL,202041,Male,0,0,0,0,3,3
NZL,202042,Female,0,0,0,0,2,2
NZL,202042,Male,0,0,0,0,3,3
NZL,202043,Female,0,0,0,0,2,2
NZL,202043,Male,0,0,0,0,24,24
NZL,202044,Female,0,0,0,0,6,6
NZL,202044,Male,0,0,0,0,15,15
NZL,202045,Female,0,0,0,0,4,4
NZL,202045,Male,0,0,0,0,8,8
NZL,202046,Female,0,0,0,0,7,7
NZL,202046,Male,0,0,0,0,4,4
NZL,202047,Female,0,0,0,0,7,7
NZL,202047,Male,0,0,0,0,6,6
NZL,202048,Female,0,0,0,0,3,3
NZL,202048,Male,0,0,0,0,10,10
NZL,202049,Female,0,0,0,0,5,5
NZL,202049,Male,0,0,0,0,8,8
NZL,202050,Female,0,0,0,0,4,4
NZL,202050,Male,0,0,0,0,5,5
NZL,202051,Female,1,0,0,0,3,4
NZL,202051,Male,2,0,0,0,4,6
NZL,202052,Female,1,0,0,0,2,3
NZL,202052,Male,1,0,0,0,4,5
NZL,202053,Female,7,0,0,0,5,12
NZL,202053,Male,5,1,0,0,5,11
NZL,202101,Female,4,4,0,0,3,11
NZL,202101,Male,2,1,0,0,4,7
NZL,202102,Female,3,3,0,0,2,8
NZL,202102,Male,1,2,0,0,5,8
NZL,202103,Female,5,3,0,0,2,10
NZL,202103,Male,2,0,0,0,1,3
NZL,202104,Female,4,1,0,0,3,8
NZL,202104,Male,1,1,0,0,0,2
NZL,202105,Female,3,2,0,0,0,5
NZL,202105,Male,3,0,0,0,0,3
NZL,202106,Female,2,1,0,0,2,5
NZL,202106,Male,1,0,0,0,1,2
NZL,202107,Female,3,0,0,0,1,4
NZL,202107,Male,2,0,0,0,1,3
NZL,202108,Female,8,0,0,0,0,8
NZL,202108,Male,3,0,0,0,4,7
NZL,202109,Female,3,0,0,0,2,5
NZL,202109,Male,8,1,0,0,2,11
NZL,202110,Female,1,0,0,0,2,3
NZL,202110,Male,7,0,0,0,5,12
NZL,202111,Female,3,0,0,0,3,6
NZL,202111,Male,4,1,1,0,2,8
NZL,202112,Female,3,1,0,0,0,4
NZL,202112,Male,5,1,0,0,0,6
NZL,202113,Female,4,0,0,0,1,5
NZL,202113,Male,7,0,2,0,1,10
NZL,202114,Female,8,1,2,0,1,12
NZL,202114,Male,5,0,3,0,3,11
NZL,202115,Female,3,0,1,0,0,4
NZL,202115,Male,2,0,0,0,0,2
NZL,202116,Female,3,0,0,0,0,3
NZL,202116,Male,4,0,1,0,1,6
NZL,202117,Female,3,0,0,0,0,3
NZL,202117,Male,5,1,0,0,1,7
NZL,202118,Male,3,0,2,0,1,6
NZL,202119,Female,0,0,0,0,1,1
NZL,202119,Male,0,0,0,0,1,1
NZL,202120,Female,0,0,1,0,0,1
NZL,202120,Male,0,2,1,0,0,3
NZL,202121,Female,0,0,1,0,0,1
NZL,202121,Male,1,0,1,0,1,3
NZL,202122,Male,2,0,1,0,1,4
NZL,202123,Female,0,0,1,0,0,1
NZL,202123,Male,1,0,7,0,1,9
NZL,202124,Female,0,1,1,0,0,2
NZL,202124,Male,1,0,4,0,0,5
NZL,202125,Female,0,0,2,0,0,2
NZL,202125,Male,0,2,2,0,0,4
NZL,202126,Female,2,1,3,0,1,7
NZL,202126,Male,0,0,3,0,0,3
NZL,202127,Female,0,0,1,0,0,1
NZL,202127,Male,0,0,3,0,0,3
NZL,202128,Female,0,0,3,0,0,3
NZL,202128,Male,0,0,24,0,0,24
NZL,202129,Female,0,0,6,0,0,6
NZL,202129,Male,0,0,16,0,0,16
NZL,202130,Female,0,0,6,0,0,6
NZL,202130,Male,0,0,6,0,0,6
NZL,202131,Female,0,0,5,0,0,5
NZL,202131,Male,0,0,11,0,0,11
NZL,202132,Female,0,0,6,0,0,6
NZL,202132,Male,0,0,7,0,0,7
NZL,202133,Female,0,0,67,0,0,67
NZL,202133,Male,0,0,61,0,0,61
NZL,202134,Female,0,0,202,0,0,202
NZL,202134,Male,0,0,184,0,0,184
NZL,202135,Female,0,0,123,0,0,123
NZL,202135,Male,0,0,120,0,0,120
NZL,202136,Female,0,0,71,0,0,71
NZL,202136,Male,0,0,60,0,0,60
NZL,202137,Female,0,0,58,0,0,58
NZL,202137,Male,0,0,47,0,0,47
NZL,202138,Female,0,0,49,0,0,49
NZL,202138,Male,0,0,59,0,0,59
NZL,202139,Female,0,0,78,0,0,78
NZL,202139,Male,0,0,78,0,0,78
NZL,202140,Female,0,0,112,0,0,112
NZL,202140,Male,0,0,114,0,0,114
NZL,202141,Female,0,0,171,0,0,171
NZL,202141,Male,0,0,167,0,0,167
NZL,202142,Female,0,0,191,0,0,191
NZL,202142,Male,0,0,218,0,0,218
NZL,202143,Female,0,0,100,0,0,100
NZL,202143,Male,0,0,109,0,0,109
NZL,202144,Female,0,0,95,0,0,95
NZL,202144,Male,0,0,128,0,0,128
NZL,202145,Female,0,0,168,0,0,168
NZL,202145,Male,0,0,182,0,0,182
NZL,202146,Female,0,0,137,0,0,137
NZL,202146,Male,0,0,122,0,0,122
NZL,202147,Female,0,0,76,0,0,76
NZL,202147,Male,0,0,71,0,0,71
NZL,202148,Female,0,0,70,0,0,70
NZL,202148,Male,0,0,92,0,0,92
NZL,202149,Female,0,0,71,1,0,72
NZL,202149,Male,0,0,69,0,0,69
NZL,202150,Female,0,0,63,6,0,69
NZL,202150,Male,0,0,69,7,0,76
NZL,202151,Female,0,0,118,13,0,131
NZL,202151,Male,0,0,117,20,0,137
NZL,202152,Female,0,0,89,26,0,115
NZL,202152,Male,0,0,103,33,0,136
NZL,202201,Female,0,0,43,85,0,128
NZL,202201,Male,0,0,57,66,0,123
NZL,202202,Female,0,0,20,46,0,66
NZL,202202,Male,0,0,16,54,0,70
NZL,202203,Female,0,0,0,4,0,4
