Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
NZL,202009,0,0,0,0,0,1,1
NZL,202010,0,0,0,0,0,3,3
NZL,202011,0,0,0,0,0,2,2
NZL,202012,0,0,0,0,0,26,26
NZL,202013,0,0,0,0,0,111,111
NZL,202014,0,0,0,0,0,58,58
NZL,202015,0,0,0,0,0,28,28
NZL,202016,0,0,0,0,0,4,4
NZL,202017,0,0,0,0,0,3,3
NZL,202018,0,0,0,0,0,3,3
NZL,202019,0,0,0,0,0,3,3
NZL,202021,0,0,0,0,0,1,1
NZL,202025,0,0,0,0,0,4,4
NZL,202026,0,0,0,0,0,2,2
NZL,202027,0,0,0,0,0,1,1
NZL,202028,0,0,0,0,0,2,2
NZL,202029,0,0,0,0,0,1,1
NZL,202030,0,0,0,0,0,1,1
NZL,202031,0,0,0,0,0,1,1
NZL,202033,0,0,0,0,0,30,30
NZL,202034,0,0,0,0,0,34,34
NZL,202035,0,0,0,0,0,44,44
NZL,202036,0,0,0,0,0,18,18
NZL,202037,0,0,0,0,0,16,16
NZL,202038,0,0,0,0,0,9,9
NZL,202039,0,0,0,0,0,8,8
NZL,202040,0,0,0,0,0,7,7
NZL,202041,0,0,0,0,0,8,8
NZL,202042,0,0,0,0,0,5,5
NZL,202043,0,0,0,0,0,26,26
NZL,202044,0,0,0,0,0,21,21
NZL,202045,0,0,0,0,0,12,12
NZL,202046,0,0,0,0,0,11,11
NZL,202047,0,0,0,0,0,13,13
NZL,202048,0,0,0,0,0,13,13
NZL,202049,0,0,0,0,0,13,13
NZL,202050,0,0,0,0,0,9,9
NZL,202051,3,0,0,0,0,7,10
NZL,202052,2,0,0,0,0,6,8
NZL,202053,12,1,0,0,0,10,23
NZL,202101,6,5,0,0,0,7,18
NZL,202102,4,5,0,0,0,7,16
NZL,202103,7,3,0,0,0,3,13
NZL,202104,5,2,0,0,0,3,10
NZL,202105,6,2,0,0,0,0,8
NZL,202106,3,1,0,0,0,3,7
NZL,202107,5,0,0,0,0,2,7
NZL,202108,11,0,0,0,0,4,15
NZL,202109,11,1,0,0,0,4,16
NZL,202110,8,0,0,0,0,7,15
NZL,202111,7,1,1,0,0,5,14
NZL,202112,8,2,0,0,0,0,10
NZL,202113,11,0,2,0,0,2,15
NZL,202114,13,1,5,0,0,4,23
NZL,202115,5,0,1,0,0,0,6
NZL,202116,7,0,1,0,0,1,9
NZL,202117,8,1,0,0,0,1,10
NZL,202118,3,0,2,0,0,1,6
NZL,202119,0,0,0,0,0,2,2
NZL,202120,0,2,2,0,0,0,4
NZL,202121,1,0,2,0,0,1,4
NZL,202122,2,0,1,0,0,1,4
NZL,202123,1,0,8,0,0,1,10
NZL,202124,1,1,5,0,0,0,7
NZL,202125,0,2,4,0,0,0,6
NZL,202126,2,1,6,0,0,1,10
NZL,202127,0,0,4,0,0,0,4
NZL,202128,0,0,27,0,0,0,27
NZL,202129,0,0,22,0,0,0,22
NZL,202130,0,0,12,0,0,0,12
NZL,202131,0,0,16,0,0,0,16
NZL,202132,0,0,13,0,0,0,13
NZL,202133,0,0,128,0,0,0,128
NZL,202134,0,0,386,0,0,0,386
NZL,202135,0,0,243,0,0,0,243
NZL,202136,0,0,131,0,0,0,131
NZL,202137,0,0,105,0,0,0,105
NZL,202138,0,0,108,0,0,0,108
NZL,202139,0,0,156,0,0,0,156
NZL,202140,0,0,226,0,0,0,226
NZL,202141,0,0,338,0,0,0,338
NZL,202142,0,0,409,0,0,0,409
NZL,202143,0,0,209,0,0,0,209
NZL,202144,0,0,223,0,0,0,223
NZL,202145,0,0,350,0,0,0,350
NZL,202146,0,0,259,0,0,0,259
NZL,202147,0,0,147,0,0,0,147
NZL,202148,0,0,162,0,0,0,162
NZL,202149,0,0,140,1,0,0,141
NZL,202150,0,0,134,8,0,5,147
NZL,202151,0,0,237,27,0,6,270
NZL,202152,0,0,205,44,1,14,264
NZL,202201,0,0,105,91,13,47,256
NZL,202202,0,0,85,94,29,48,256
NZL,202203,0,0,75,62,49,74,260
NZL,202204,0,0,41,30,94,196,361
NZL,202205,0,0,4,13,13,34,64
