Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
PAK,202009,40 – 50,0,0,0,0,0,2,2
PAK,202009,70 – 80,0,0,0,0,0,2,2
PAK,202010,40 – 50,0,0,0,0,0,1,1
PAK,202015,30 – 40,0,0,0,0,0,1,1
PAK,202023,20 – 30,0,0,0,0,0,2,2
PAK,202023,40 – 50,0,0,0,0,0,5,5
PAK,202023,5 – 10,0,0,0,0,0,2,2
PAK,202023,50 – 60,0,0,0,0,0,3,3
PAK,202023,>= 80,0,0,0,0,0,1,1
PAK,202024,20 – 30,0,0,0,0,0,1,1
PAK,202024,50 – 60,0,0,0,0,0,1,1
PAK,202028,10 – 20,0,0,0,0,0,1,1
PAK,202028,20 – 30,0,0,0,0,0,2,2
PAK,202028,50 – 60,0,0,0,0,0,1,1
PAK,202037,20 – 30,0,0,0,0,0,1,1
PAK,202041,20 – 30,0,0,0,0,0,3,3
PAK,202041,30 – 40,0,0,0,0,0,2,2
PAK,202041,40 – 50,0,0,0,0,0,2,2
PAK,202041,50 – 60,0,0,0,0,0,1,1
PAK,202042,30 – 40,0,0,0,0,0,1,1
PAK,202046,20 – 30,0,0,0,0,0,1,1
PAK,202046,50 – 60,0,0,0,0,0,1,1
PAK,202048,20 – 30,0,0,0,0,0,4,4
PAK,202048,30 – 40,0,0,0,0,0,4,4
PAK,202048,40 – 50,0,0,0,0,0,1,1
PAK,202048,50 – 60,0,0,0,0,0,2,2
PAK,202048,60 – 70,0,0,0,0,0,4,4
PAK,202048,70 – 80,0,0,0,0,0,1,1
PAK,202050,30 – 40,0,0,0,0,0,2,2
PAK,202051,20 – 30,0,0,0,0,0,1,1
PAK,202051,30 – 40,0,0,0,0,0,3,3
PAK,202051,40 – 50,0,0,0,0,0,4,4
PAK,202052,20 – 30,1,0,0,0,0,1,2
PAK,202053,10 – 20,2,0,0,0,0,0,2
PAK,202053,20 – 30,1,0,0,0,0,1,2
PAK,202053,30 – 40,0,0,0,0,0,2,2
PAK,202053,40 – 50,2,0,0,0,0,0,2
PAK,202053,60 – 70,0,0,0,0,0,1,1
PAK,202053,70 – 80,0,0,0,0,0,1,1
PAK,202101,10 – 20,0,0,0,0,0,1,1
PAK,202101,20 – 30,0,0,0,0,0,2,2
PAK,202101,30 – 40,0,0,0,0,0,3,3
PAK,202101,40 – 50,0,0,0,0,0,1,1
PAK,202101,50 – 60,0,0,0,0,0,2,2
