Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
PAK,202009,Female,0,0,0,0,4,4
PAK,202010,Female,0,0,0,0,1,1
PAK,202011,Male,0,0,0,0,1,1
PAK,202015,Male,0,0,0,0,1,1
PAK,202023,Female,0,0,0,0,5,5
PAK,202023,Male,0,0,0,0,8,8
PAK,202024,Female,0,0,0,0,1,1
PAK,202024,Male,0,0,0,0,1,1
PAK,202028,Male,0,0,0,0,6,6
PAK,202037,Female,0,0,0,0,3,3
PAK,202041,Female,0,0,0,0,3,3
PAK,202041,Male,0,0,0,0,5,5
PAK,202042,Female,0,0,0,0,1,1
PAK,202046,Female,0,0,0,0,2,2
PAK,202048,Female,0,0,0,0,6,6
PAK,202048,Male,0,0,0,0,13,13
PAK,202050,Female,0,0,0,0,1,1
PAK,202050,Male,0,0,0,0,1,1
PAK,202051,Female,0,0,0,0,2,2
PAK,202051,Male,0,0,0,0,7,7
PAK,202052,Female,1,0,0,0,0,1
PAK,202052,Male,0,0,0,0,1,1
PAK,202053,Female,6,0,0,0,3,9
PAK,202053,Male,1,0,0,0,2,3
PAK,202101,Female,0,0,0,0,4,4
PAK,202101,Male,0,0,0,0,6,6
PAK,202102,Female,0,0,0,0,1,1
PAK,202102,Male,0,0,0,0,1,1
PAK,202103,Male,0,0,0,0,1,1
PAK,202104,Female,0,0,1,0,0,1
PAK,202104,Male,0,0,1,0,0,1
PAK,202105,Female,0,0,0,0,1,1
PAK,202106,Female,0,0,0,0,3,3
PAK,202106,Male,1,0,0,0,4,5
PAK,202107,Female,0,0,0,0,14,14
PAK,202107,Male,0,0,0,0,8,8
PAK,202108,Female,0,0,0,0,2,2
PAK,202108,Male,0,0,0,0,2,2
PAK,202110,Female,5,0,0,0,0,5
PAK,202110,Male,4,0,0,0,0,4
PAK,202111,Female,4,0,0,0,0,4
PAK,202111,Male,11,0,0,0,0,11
PAK,202112,Male,6,0,0,0,0,6
PAK,202113,Male,1,0,0,0,0,1
PAK,202114,Female,23,1,0,0,0,24
PAK,202114,Male,55,0,0,0,1,56
PAK,202115,Female,5,0,0,0,0,5
PAK,202115,Male,13,1,1,0,0,15
PAK,202116,Female,0,1,0,0,1,2
PAK,202116,Male,1,0,0,0,2,3
PAK,202117,Female,7,0,0,0,2,9
PAK,202117,Male,21,3,0,0,2,26
PAK,202118,Male,6,0,0,0,0,6
PAK,202119,Female,2,3,0,0,1,6
PAK,202119,Male,1,4,0,0,4,9
PAK,202120,Female,2,6,6,0,0,14
PAK,202120,Male,2,1,4,0,1,8
PAK,202121,Female,9,5,1,0,3,18
PAK,202121,Male,21,9,5,0,8,43
PAK,202122,Female,37,12,11,0,7,67
PAK,202122,Male,47,12,15,0,4,78
PAK,202123,Female,4,3,5,0,6,18
PAK,202123,Male,16,3,6,0,4,29
PAK,202124,Female,4,1,2,0,1,8
PAK,202124,Male,5,3,0,0,4,12
PAK,202125,Female,9,2,3,0,4,18
PAK,202125,Male,13,1,4,0,3,21
PAK,202126,Female,10,1,6,0,1,18
PAK,202126,Male,7,1,5,0,1,14
PAK,202127,Female,0,1,7,0,0,8
PAK,202127,Male,0,2,5,0,0,7
PAK,202128,Female,1,0,15,0,1,17
PAK,202128,Male,0,0,11,0,1,12
PAK,202129,Female,3,1,11,0,1,16
PAK,202129,Male,3,1,14,0,0,18
PAK,202130,Female,0,0,13,0,1,14
PAK,202130,Male,0,0,9,0,1,10
PAK,202131,Female,0,0,18,0,0,18
PAK,202131,Male,1,0,31,0,0,32
PAK,202132,Female,0,0,22,0,0,22
PAK,202132,Male,0,0,26,0,0,26
PAK,202133,Female,0,0,22,0,0,22
PAK,202133,Male,0,0,19,0,1,20
PAK,202134,Female,0,0,38,0,0,38
PAK,202134,Male,2,0,66,0,2,70
PAK,202135,Female,0,0,7,0,0,7
PAK,202135,Male,0,0,12,0,0,12
PAK,202136,Female,0,0,16,0,0,16
PAK,202136,Male,0,0,18,0,0,18
PAK,202137,Female,0,0,14,0,0,14
PAK,202137,Male,0,0,22,0,0,22
PAK,202138,Female,0,0,11,0,0,11
PAK,202138,Male,0,0,8,0,0,8
PAK,202139,Female,0,0,2,0,0,2
PAK,202139,Male,0,0,8,0,1,9
PAK,202140,Female,0,0,5,0,0,5
PAK,202140,Male,0,0,15,0,0,15
PAK,202141,Female,0,0,10,0,0,10
PAK,202141,Male,0,0,17,0,0,17
PAK,202142,Female,0,0,10,0,2,12
PAK,202142,Male,0,0,10,0,1,11
PAK,202143,Female,0,0,11,0,1,12
PAK,202143,Male,0,0,17,0,1,18
