Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
PER,202010,20 – 30,0,0,0,0,2,2
PER,202010,30 – 40,0,0,0,0,1,1
PER,202010,5 – 10,0,0,0,0,1,1
PER,202010,50 – 60,0,0,0,0,1,1
PER,202010,70 – 80,0,0,0,0,1,1
PER,202011,10 – 20,0,0,0,0,1,1
PER,202011,20 – 30,0,0,0,0,5,5
PER,202011,30 – 40,0,0,0,0,3,3
PER,202011,40 – 50,0,0,0,0,3,3
PER,202011,50 – 60,0,0,0,0,2,2
PER,202011,60 – 70,0,0,0,0,3,3
PER,202011,70 – 80,0,0,0,0,2,2
PER,202011,>= 80,0,0,0,0,1,1
PER,202012,10 – 20,0,0,0,0,1,1
PER,202012,20 – 30,0,0,0,0,7,7
PER,202012,30 – 40,0,0,0,0,1,1
PER,202012,40 – 50,0,0,0,0,7,7
PER,202012,50 – 60,0,0,0,0,5,5
PER,202012,60 – 70,0,0,0,0,11,11
PER,202012,70 – 80,0,0,0,0,4,4
PER,202012,>= 80,0,0,0,0,1,1
PER,202013,20 – 30,0,0,0,0,1,1
PER,202013,30 – 40,0,0,0,0,4,4
PER,202013,40 – 50,0,0,0,0,2,2
PER,202013,50 – 60,0,0,0,0,2,2
PER,202013,60 – 70,0,0,0,0,1,1
PER,202014,10 – 20,0,0,0,0,2,2
PER,202014,20 – 30,0,0,0,0,4,4
PER,202014,30 – 40,0,0,0,0,1,1
PER,202014,40 – 50,0,0,0,0,5,5
PER,202014,50 – 60,0,0,0,0,3,3
PER,202014,60 – 70,0,0,0,0,3,3
PER,202014,70 – 80,0,0,0,0,1,1
PER,202014,>= 80,0,0,0,0,1,1
PER,202015,20 – 30,0,0,0,0,1,1
PER,202015,30 – 40,0,0,0,0,1,1
PER,202015,40 – 50,0,0,0,0,4,4
PER,202015,50 – 60,0,0,0,0,4,4
PER,202015,60 – 70,0,0,0,0,2,2
PER,202015,70 – 80,0,0,0,0,3,3
PER,202015,>= 80,0,0,0,0,1,1
PER,202016,20 – 30,0,0,0,0,1,1
PER,202016,30 – 40,0,0,0,0,2,2
PER,202016,40 – 50,0,0,0,0,6,6
PER,202016,50 – 60,0,0,0,0,4,4
PER,202016,60 – 70,0,0,0,0,1,1
PER,202016,70 – 80,0,0,0,0,2,2
PER,202016,>= 80,0,0,0,0,2,2
PER,202017,30 – 40,0,0,0,0,2,2
PER,202017,40 – 50,0,0,0,0,5,5
PER,202017,50 – 60,0,0,0,0,1,1
PER,202017,60 – 70,0,0,0,0,1,1
PER,202018,10 – 20,0,0,0,0,1,1
PER,202018,30 – 40,0,0,0,0,3,3
PER,202018,40 – 50,0,0,0,0,1,1
PER,202018,50 – 60,0,0,0,0,1,1
