Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
PER,202010,Female,0,0,0,0,2,2
PER,202010,Male,0,0,0,0,4,4
PER,202011,Female,0,0,0,0,12,12
PER,202011,Male,0,0,0,0,8,8
PER,202012,Female,0,0,0,0,16,16
PER,202012,Male,0,0,0,0,21,21
PER,202013,Female,0,0,0,0,5,5
PER,202013,Male,0,0,0,0,6,6
PER,202014,Female,0,0,0,0,9,9
PER,202014,Male,0,0,0,0,11,11
PER,202015,Female,0,0,0,0,10,10
PER,202015,Male,0,0,0,0,6,6
PER,202016,Female,0,0,0,0,4,4
PER,202016,Male,0,0,0,0,14,14
PER,202017,Female,0,0,0,0,5,5
PER,202017,Male,0,0,0,0,4,4
PER,202018,Male,0,0,0,0,7,7
PER,202019,Female,0,0,0,0,12,12
PER,202019,Male,0,0,0,0,11,11
PER,202020,Female,0,0,0,0,2,2
PER,202020,Male,0,0,0,0,3,3
PER,202021,Male,0,0,0,0,3,3
PER,202022,Female,0,0,0,0,4,4
PER,202022,Male,0,0,0,0,3,3
PER,202023,Female,0,0,0,0,1,1
PER,202024,Female,0,0,0,0,3,3
PER,202024,Male,0,0,0,0,4,4
PER,202025,Female,0,0,0,0,28,28
PER,202025,Male,0,0,0,0,56,56
PER,202026,Female,0,0,0,0,3,3
PER,202026,Male,0,0,0,0,6,6
PER,202027,Female,0,0,0,0,17,17
PER,202027,Male,0,0,0,0,8,8
PER,202028,Female,0,0,0,0,1,1
PER,202028,Male,0,0,0,0,4,4
PER,202029,Female,0,0,0,0,1,1
PER,202029,Male,0,0,0,0,4,4
PER,202030,Female,0,0,0,0,1,1
PER,202030,Male,0,0,0,0,4,4
PER,202031,Female,0,0,0,0,4,4
PER,202031,Male,0,0,0,0,1,1
PER,202032,Female,0,0,0,0,9,9
PER,202032,Male,0,0,0,0,3,3
PER,202033,Female,0,0,0,0,3,3
PER,202033,Male,0,0,0,0,1,1
PER,202034,Female,0,0,0,0,2,2
PER,202034,Male,0,0,0,0,5,5
PER,202035,Female,0,0,0,0,25,25
PER,202035,Male,0,0,0,0,29,29
PER,202036,Female,0,0,0,0,16,16
PER,202036,Male,0,0,0,0,15,15
PER,202037,Female,0,0,0,0,2,2
PER,202037,Male,0,0,0,0,10,10
PER,202038,Female,0,0,0,0,15,15
PER,202038,Male,0,0,0,0,8,8
PER,202039,Female,0,0,0,0,4,4
PER,202039,Male,0,0,0,0,5,5
PER,202040,Female,0,0,0,0,2,2
PER,202040,Male,0,0,0,0,2,2
PER,202042,Female,0,0,0,0,55,55
PER,202042,Male,0,0,0,0,50,50
PER,202043,Female,0,0,0,0,7,7
PER,202043,Male,0,0,0,0,15,15
PER,202044,Female,0,0,0,0,1,1
PER,202045,Female,0,0,0,0,1,1
PER,202046,Female,0,0,0,0,1,1
PER,202046,Male,0,0,0,0,1,1
PER,202047,Female,0,0,0,0,12,12
PER,202047,Male,0,0,0,0,15,15
PER,202048,Female,0,0,0,0,4,4
PER,202048,Male,0,0,0,0,5,5
PER,202049,Female,0,0,0,0,13,13
PER,202049,Male,0,0,0,0,14,14
PER,202050,Female,0,0,0,0,38,38
PER,202050,Male,0,0,0,0,36,36
PER,202051,Female,0,0,0,0,23,23
PER,202051,Male,0,0,0,0,15,15
PER,202052,Female,0,0,0,0,14,14
PER,202052,Male,0,0,0,0,10,10
PER,202053,Female,1,0,0,0,18,19
PER,202053,Male,0,0,0,0,20,20
PER,202101,Female,0,0,0,0,6,6
PER,202101,Male,0,0,0,0,8,8
PER,202102,Female,2,0,0,0,9,11
PER,202102,Male,0,0,0,0,6,6
PER,202103,Female,0,0,0,0,5,5
PER,202103,Male,0,0,0,0,6,6
PER,202104,Female,0,0,0,0,6,6
PER,202104,Male,0,0,0,0,16,16
PER,202105,Female,0,0,0,0,39,39
PER,202105,Male,0,0,0,0,25,25
PER,202106,Female,0,0,0,0,38,38
PER,202106,Male,0,0,0,0,31,31
PER,202107,Female,0,0,0,0,27,27
PER,202107,Male,0,0,0,0,19,19
PER,202108,Female,0,0,0,0,22,22
PER,202108,Male,0,0,0,0,20,20
PER,202109,Female,1,0,0,0,53,54
PER,202109,Male,0,0,0,0,45,45
PER,202110,Female,0,0,0,0,59,59
PER,202110,Male,2,0,0,0,73,75
PER,202111,Female,0,0,0,0,48,48
PER,202111,Male,0,0,0,0,53,53
PER,202112,Female,1,0,0,0,23,24
PER,202112,Male,1,0,0,0,38,39
PER,202113,Female,1,0,0,0,48,49
PER,202113,Male,4,0,0,0,67,71
PER,202114,Female,3,0,0,0,151,154
PER,202114,Male,5,0,0,0,144,149
PER,202115,Female,0,0,0,0,116,116
PER,202115,Male,1,0,0,0,100,101
PER,202116,Female,0,0,0,0,63,63
PER,202116,Male,0,0,0,0,63,63
PER,202117,Female,0,0,0,0,88,88
PER,202117,Male,0,0,0,0,86,86
PER,202118,Female,0,0,0,0,74,74
PER,202118,Male,0,0,0,0,90,90
PER,202119,Female,1,0,3,0,111,115
PER,202119,Male,1,0,0,0,65,66
PER,202120,Female,0,0,0,0,88,88
PER,202120,Male,0,0,0,0,93,93
PER,202121,Female,0,0,0,0,49,49
PER,202121,Male,0,0,0,0,36,36
PER,202122,Female,0,0,0,0,203,203
PER,202122,Male,0,0,0,0,190,190
PER,202123,Female,0,0,3,0,208,211
