Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
PER,202010,0,0,0,0,6,6
PER,202011,0,0,0,0,34,34
PER,202012,0,0,0,0,67,67
PER,202013,0,0,0,0,45,45
PER,202014,0,0,0,0,55,55
PER,202015,0,0,0,0,20,20
PER,202016,0,0,0,0,38,38
PER,202017,0,0,0,0,9,9
PER,202018,0,0,0,0,9,9
PER,202019,0,0,0,0,41,41
PER,202020,0,0,0,0,5,5
PER,202021,0,0,0,0,42,42
PER,202022,0,0,0,0,7,7
PER,202023,0,0,0,0,1,1
PER,202024,0,0,0,0,8,8
PER,202025,0,0,0,0,84,84
PER,202026,0,0,0,0,10,10
PER,202027,0,0,0,0,25,25
PER,202028,0,0,0,0,5,5
PER,202029,0,0,0,0,5,5
PER,202030,0,0,0,0,5,5
PER,202031,0,0,0,0,6,6
PER,202032,0,0,0,0,14,14
PER,202033,0,0,0,0,37,37
PER,202034,0,0,0,0,45,45
PER,202035,0,0,0,0,60,60
PER,202036,0,0,0,0,45,45
PER,202037,0,0,0,0,23,23
PER,202038,0,0,0,0,31,31
PER,202039,0,0,0,0,15,15
PER,202040,0,0,0,0,8,8
PER,202041,0,0,0,0,9,9
PER,202042,0,0,0,0,113,113
PER,202043,0,0,0,0,25,25
PER,202044,0,0,0,0,1,1
PER,202045,0,0,0,0,2,2
PER,202046,0,0,0,0,7,7
PER,202047,0,0,0,0,31,31
PER,202048,0,0,0,0,15,15
PER,202049,0,0,0,0,42,42
PER,202050,0,0,0,0,85,85
PER,202051,0,0,0,0,66,66
PER,202052,0,0,0,0,40,40
PER,202053,1,0,0,0,68,69
PER,202101,0,0,0,0,60,60
PER,202102,2,0,0,0,75,77
PER,202103,0,0,0,0,98,98
PER,202104,0,0,0,0,58,58
PER,202105,0,0,0,0,80,80
PER,202106,0,0,0,0,75,75
PER,202107,0,0,0,0,60,60
PER,202108,0,0,0,0,62,62
PER,202109,1,0,0,0,115,116
PER,202110,2,0,0,0,151,153
PER,202111,0,0,0,0,114,114
PER,202112,2,0,0,0,72,74
PER,202113,5,0,0,0,119,124
PER,202114,8,0,0,0,313,321
PER,202115,1,0,0,0,220,221
PER,202116,0,0,0,0,129,129
PER,202117,0,0,0,0,185,185
PER,202118,0,0,0,0,164,164
PER,202119,2,0,3,0,177,182
PER,202120,0,0,0,0,195,195
PER,202121,0,0,0,0,93,93
PER,202122,0,0,0,0,408,408
PER,202123,0,0,3,0,395,398
PER,202124,0,0,2,0,297,299
PER,202125,0,0,8,0,182,190
PER,202126,0,0,2,0,170,172
PER,202127,0,0,8,0,296,304
PER,202128,0,0,25,0,305,330
PER,202129,0,0,27,0,256,283
PER,202130,0,0,27,0,143,170
PER,202131,0,0,88,0,273,361
PER,202132,0,0,79,0,328,407
PER,202133,0,0,73,0,212,285
PER,202134,0,0,144,0,204,348
PER,202135,0,0,118,0,156,274
PER,202136,0,0,204,0,189,393
PER,202137,0,0,299,0,180,479
PER,202138,0,0,313,0,150,463
PER,202139,0,0,305,0,107,412
PER,202140,0,0,352,0,71,423
PER,202141,0,0,378,0,29,407
PER,202142,0,0,373,0,29,402
PER,202143,0,0,306,0,22,328
PER,202144,0,0,386,0,23,409
PER,202145,0,0,439,0,22,461
PER,202146,0,0,411,0,14,425
PER,202147,0,0,369,0,14,383
PER,202148,0,0,298,1,27,326
PER,202149,0,0,539,2,34,575
PER,202150,0,0,409,66,2,477
PER,202151,0,0,194,228,2,424
PER,202152,0,0,84,114,0,198
PER,202201,0,0,132,348,3,483
PER,202202,0,0,22,309,2,333
PER,202203,0,0,8,234,0,242
PER,202204,0,0,1,206,0,207
PER,202205,0,0,1,404,0,405
PER,202206,0,0,0,225,0,225
PER,202207,0,0,0,33,1,34
