Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
PHL,202005,30 – 40,0,0,0,0,1,1
PHL,202005,40 – 50,0,0,0,0,2,2
PHL,202010,40 – 50,0,0,0,0,1,1
PHL,202010,50 – 60,0,0,0,0,1,1
PHL,202010,60 – 70,0,0,0,0,1,1
PHL,202010,>= 80,0,0,0,0,1,1
PHL,202011,20 – 30,0,0,0,0,2,2
PHL,202011,30 – 40,0,0,0,0,2,2
PHL,202011,40 – 50,0,0,0,0,5,5
PHL,202011,50 – 60,0,0,0,0,2,2
PHL,202011,60 – 70,0,0,0,0,4,4
PHL,202011,70 – 80,0,0,0,0,1,1
PHL,202012,30 – 40,0,0,0,0,2,2
PHL,202013,20 – 30,0,0,0,0,1,1
PHL,202013,30 – 40,0,0,0,0,2,2
PHL,202013,40 – 50,0,0,0,0,2,2
PHL,202013,50 – 60,0,0,0,0,2,2
PHL,202013,70 – 80,0,0,0,0,1,1
PHL,202013,>= 80,0,0,0,0,1,1
PHL,202015,40 – 50,0,0,0,0,1,1
PHL,202015,50 – 60,0,0,0,0,1,1
PHL,202015,60 – 70,0,0,0,0,1,1
PHL,202016,30 – 40,0,0,0,0,1,1
PHL,202016,40 – 50,0,0,0,0,1,1
PHL,202022,30 – 40,0,0,0,0,1,1
PHL,202024,60 – 70,0,0,0,0,1,1
PHL,202025,50 – 60,0,0,0,0,1,1
PHL,202025,60 – 70,0,0,0,0,1,1
PHL,202025,70 – 80,0,0,0,0,1,1
PHL,202025,>= 80,0,0,0,0,1,1
PHL,202026,30 – 40,0,0,0,0,6,6
PHL,202026,50 – 60,0,0,0,0,1,1
PHL,202027,30 – 40,0,0,0,0,2,2
PHL,202027,40 – 50,0,0,0,0,1,1
PHL,202027,50 – 60,0,0,0,0,1,1
PHL,202027,60 – 70,0,0,0,0,3,3
PHL,202027,70 – 80,0,0,0,0,2,2
PHL,202028,10 – 20,0,0,0,0,5,5
PHL,202028,20 – 30,0,0,0,0,10,10
PHL,202028,30 – 40,0,0,0,0,10,10
PHL,202028,40 – 50,0,0,0,0,8,8
PHL,202028,5 – 10,0,0,0,0,1,1
PHL,202028,50 – 60,0,0,0,0,7,7
PHL,202028,60 – 70,0,0,0,0,6,6
PHL,202028,70 – 80,0,0,0,0,2,2
PHL,202028,>= 80,0,0,0,0,1,1
PHL,202029,10 – 20,0,0,0,0,1,1
PHL,202029,30 – 40,0,0,0,0,1,1
PHL,202029,40 – 50,0,0,0,0,4,4
PHL,202029,50 – 60,0,0,0,0,2,2
PHL,202029,60 – 70,0,0,0,0,1,1
PHL,202029,70 – 80,0,0,0,0,3,3
PHL,202029,>= 80,0,0,0,0,1,1
PHL,202030,20 – 30,0,0,0,0,3,3
PHL,202030,30 – 40,0,0,0,0,4,4
PHL,202030,40 – 50,0,0,0,0,4,4
PHL,202030,50 – 60,0,0,0,0,1,1
PHL,202030,60 – 70,0,0,0,0,6,6
PHL,202030,70 – 80,0,0,0,0,1,1
PHL,202030,>= 80,0,0,0,0,1,1
PHL,202031,20 – 30,0,0,0,0,2,2
PHL,202031,40 – 50,0,0,0,0,5,5
PHL,202031,50 – 60,0,0,0,0,4,4
