Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
PHL,202005,Female,0,0,0,0,1,1
PHL,202005,Male,0,0,0,0,2,2
PHL,202010,Female,0,0,0,0,1,1
PHL,202010,Male,0,0,0,0,3,3
PHL,202011,Female,0,0,0,0,5,5
PHL,202011,Male,0,0,0,0,11,11
PHL,202012,Female,0,0,0,0,1,1
PHL,202012,Male,0,0,0,0,1,1
PHL,202013,Female,0,0,0,0,2,2
PHL,202013,Male,0,0,0,0,7,7
PHL,202015,Female,0,0,0,0,1,1
PHL,202015,Male,0,0,0,0,2,2
PHL,202016,Male,0,0,0,0,2,2
PHL,202022,Male,0,0,0,0,1,1
PHL,202024,Male,0,0,0,0,1,1
PHL,202025,Female,0,0,0,0,2,2
PHL,202025,Male,0,0,0,0,2,2
PHL,202026,Female,0,0,0,0,5,5
PHL,202026,Male,0,0,0,0,2,2
PHL,202027,Female,0,0,0,0,4,4
PHL,202027,Male,0,0,0,0,5,5
PHL,202028,Female,0,0,0,0,26,26
PHL,202028,Male,0,0,0,0,24,24
PHL,202029,Female,0,0,0,0,8,8
PHL,202029,Male,0,0,0,0,5,5
PHL,202030,Female,0,0,0,0,12,12
PHL,202030,Male,0,0,0,0,8,8
PHL,202031,Female,0,0,0,0,10,10
PHL,202031,Male,0,0,0,0,5,5
PHL,202032,Female,0,0,0,0,10,10
PHL,202032,Male,0,0,0,0,9,9
PHL,202033,Female,0,0,0,0,4,4
PHL,202033,Male,0,0,0,0,7,7
PHL,202034,Female,0,0,0,0,4,4
PHL,202034,Male,0,0,0,0,7,7
PHL,202035,Female,0,0,0,0,11,11
PHL,202035,Male,0,0,0,0,7,7
PHL,202036,Female,0,0,0,0,2,2
PHL,202036,Male,0,0,0,0,2,2
PHL,202037,Female,0,0,0,0,1,1
PHL,202037,Male,0,0,0,0,2,2
PHL,202038,Female,0,0,0,0,7,7
PHL,202038,Male,0,0,0,0,3,3
PHL,202039,Female,0,0,0,0,6,6
PHL,202039,Male,0,0,0,0,3,3
PHL,202040,Female,0,0,0,0,5,5
PHL,202041,Female,0,0,0,0,2,2
PHL,202042,Female,0,0,0,0,8,8
PHL,202042,Male,0,0,0,0,4,4
PHL,202043,Female,0,0,0,0,2,2
PHL,202043,Male,0,0,0,0,2,2
PHL,202044,Female,0,0,0,0,8,8
PHL,202044,Male,0,0,0,0,17,17
PHL,202045,Female,0,0,0,0,51,51
PHL,202045,Male,0,0,0,0,55,55
PHL,202046,Female,0,0,0,0,35,35
PHL,202046,Male,0,0,0,0,44,44
PHL,202047,Female,0,0,0,0,50,50
PHL,202047,Male,0,0,0,0,54,54
PHL,202048,Female,0,0,0,0,46,46
PHL,202048,Male,0,0,0,0,33,33
PHL,202049,Female,0,0,0,0,85,85
PHL,202049,Male,0,0,0,0,65,65
PHL,202050,Female,0,0,0,0,64,64
PHL,202050,Male,0,0,0,0,55,55
