Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
PHL,202005,0,0,0,0,3,3
PHL,202010,0,0,0,0,4,4
PHL,202011,0,0,0,0,16,16
PHL,202012,0,0,0,0,2,2
PHL,202013,0,0,0,0,9,9
PHL,202015,0,0,0,0,3,3
PHL,202016,0,0,0,0,2,2
PHL,202022,0,0,0,0,1,1
PHL,202024,0,0,0,0,1,1
PHL,202025,0,0,0,0,4,4
PHL,202026,0,0,0,0,7,7
PHL,202027,0,0,0,0,1,1
PHL,202028,0,0,0,0,5,5
PHL,202036,0,0,0,0,1,1
PHL,202037,0,0,0,0,1,1
PHL,202038,0,0,0,0,1,1
PHL,202039,0,0,0,0,2,2
PHL,202040,0,0,0,0,1,1
PHL,202042,0,0,0,0,2,2
PHL,202043,0,0,0,0,1,1
PHL,202044,0,0,0,0,25,25
PHL,202045,0,0,0,0,106,106
PHL,202046,0,0,0,0,79,79
PHL,202047,0,0,0,0,101,101
PHL,202048,0,0,0,0,79,79
PHL,202049,0,0,0,0,150,150
PHL,202050,0,0,0,0,118,118
PHL,202051,0,0,0,0,180,180
PHL,202052,0,0,0,0,171,171
PHL,202053,0,0,0,0,66,66
PHL,202101,17,0,0,0,308,325
PHL,202102,16,0,0,0,211,227
PHL,202103,14,0,0,0,287,301
PHL,202104,13,0,0,0,309,322
PHL,202105,6,4,0,0,241,251
PHL,202106,24,14,0,0,158,196
PHL,202107,49,28,0,0,147,224
PHL,202108,17,47,0,0,68,132
PHL,202109,53,59,0,0,63,175
PHL,202110,127,171,0,0,81,379
PHL,202111,144,170,0,0,57,371
PHL,202112,181,255,0,0,52,488
PHL,202113,186,251,0,0,47,484
PHL,202114,93,165,2,0,27,287
PHL,202115,55,64,4,0,31,154
PHL,202116,66,58,2,0,28,154
PHL,202117,93,116,2,0,12,223
PHL,202118,95,94,10,0,7,206
PHL,202119,57,74,1,0,10,142
PHL,202120,64,56,0,0,2,122
PHL,202121,85,111,2,0,11,209
PHL,202122,151,147,1,0,23,322
PHL,202123,108,127,0,0,13,248
PHL,202124,95,151,6,0,14,266
PHL,202125,239,236,26,0,35,536
PHL,202126,104,178,76,0,24,382
PHL,202127,115,160,170,0,47,492
PHL,202128,173,167,225,0,50,615
PHL,202129,80,94,289,0,30,493
PHL,202130,110,82,506,0,43,741
PHL,202131,34,42,548,0,28,652
PHL,202132,31,21,502,0,10,564
PHL,202133,13,21,543,0,4,581
PHL,202134,2,1,226,0,0,229
PHL,202135,1,0,94,0,4,99
PHL,202140,0,0,2,0,0,2
PHL,202141,0,0,35,0,0,35
PHL,202146,0,0,1,0,0,1
PHL,202147,0,0,0,3,0,3
PHL,202148,0,0,0,3,0,3
PHL,202149,0,0,0,4,0,4
PHL,202150,0,0,1,22,0,23
PHL,202151,0,0,1,122,1,124
PHL,202152,0,0,2,568,6,576
PHL,202201,0,0,0,418,3,421
