Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
POL,202010,60 – 70,0,0,0,0,3,3
POL,202011,50 – 60,0,0,0,0,1,1
POL,202011,60 – 70,0,0,0,0,1,1
POL,202012,30 – 40,0,0,0,0,2,2
POL,202012,40 – 50,0,0,0,0,2,2
POL,202012,70 – 80,0,0,0,0,1,1
POL,202012,>= 80,0,0,0,0,1,1
POL,202013,1 – 5,0,0,0,0,1,1
POL,202013,30 – 40,0,0,0,0,2,2
POL,202013,50 – 60,0,0,0,0,3,3
POL,202013,60 – 70,0,0,0,0,4,4
POL,202013,70 – 80,0,0,0,0,2,2
POL,202013,>= 80,0,0,0,0,1,1
POL,202014,1 – 5,0,0,0,0,1,1
POL,202014,20 – 30,0,0,0,0,3,3
POL,202014,30 – 40,0,0,0,0,7,7
POL,202014,40 – 50,0,0,0,0,3,3
POL,202014,5 – 10,0,0,0,0,1,1
POL,202014,50 – 60,0,0,0,0,8,8
POL,202014,60 – 70,0,0,0,0,2,2
POL,202014,70 – 80,0,0,0,0,2,2
POL,202014,>= 80,0,0,0,0,1,1
POL,202015,30 – 40,0,0,0,0,1,1
POL,202015,40 – 50,0,0,0,0,1,1
POL,202015,50 – 60,0,0,0,0,1,1
POL,202015,60 – 70,0,0,0,0,1,1
POL,202016,20 – 30,0,0,0,0,1,1
POL,202016,50 – 60,0,0,0,0,1,1
POL,202016,60 – 70,0,0,0,0,1,1
POL,202016,70 – 80,0,0,0,0,1,1
POL,202017,30 – 40,0,0,0,0,1,1
POL,202017,50 – 60,1,0,0,0,0,1
POL,202017,60 – 70,0,0,0,0,1,1
POL,202018,20 – 30,0,0,0,0,1,1
POL,202018,30 – 40,0,0,0,0,2,2
POL,202018,60 – 70,0,0,0,0,1,1
POL,202018,70 – 80,0,0,0,0,1,1
POL,202018,>= 80,0,0,0,0,2,2
POL,202019,40 – 50,0,0,0,0,2,2
POL,202019,50 – 60,0,0,0,0,1,1
POL,202019,60 – 70,0,0,0,0,1,1
POL,202019,70 – 80,0,0,0,0,1,1
POL,202020,30 – 40,0,0,0,0,1,1
POL,202021,30 – 40,0,0,0,0,1,1
POL,202021,50 – 60,0,0,0,0,2,2
POL,202021,60 – 70,0,0,0,0,3,3
POL,202021,70 – 80,0,0,0,0,5,5
POL,202021,>= 80,0,0,0,0,4,4
POL,202022,50 – 60,0,0,0,0,1,1
POL,202023,30 – 40,0,0,0,0,1,1
POL,202023,60 – 70,0,0,0,0,1,1
POL,202024,30 – 40,0,0,0,0,3,3
POL,202024,5 – 10,0,0,0,0,1,1
POL,202024,50 – 60,0,0,0,0,1,1
POL,202036,30 – 40,0,0,0,0,1,1
POL,202036,40 – 50,0,0,0,0,1,1
POL,202040,30 – 40,0,0,0,0,1,1
POL,202041,10 – 20,0,0,0,0,1,1
POL,202043,60 – 70,0,0,0,0,1,1
POL,202044,40 – 50,0,0,0,0,1,1
POL,202045,30 – 40,0,0,0,0,1,1
POL,202045,40 – 50,0,0,0,0,1,1
POL,202045,50 – 60,0,0,0,0,1,1
POL,202045,70 – 80,0,0,0,0,1,1
POL,202046,40 – 50,0,0,0,0,1,1
POL,202046,50 – 60,0,0,0,0,1,1
POL,202047,40 – 50,0,0,0,0,1,1
POL,202047,60 – 70,0,0,0,0,1,1
POL,202048,20 – 30,0,0,0,0,2,2
POL,202048,30 – 40,0,0,0,0,4,4
POL,202048,40 – 50,0,0,0,0,3,3
POL,202048,5 – 10,0,0,0,0,1,1
POL,202048,50 – 60,0,0,0,0,2,2
