Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
POL,202003,Male,0,0,0,0,1,1
POL,202010,Female,0,0,0,0,1,1
POL,202010,Male,0,0,0,0,2,2
POL,202011,Female,0,0,0,0,1,1
POL,202011,Male,0,0,0,0,1,1
POL,202012,Female,0,0,0,0,3,3
POL,202012,Male,0,0,0,0,3,3
POL,202013,Female,0,0,0,0,9,9
POL,202013,Male,0,0,0,0,4,4
POL,202014,Female,0,0,0,0,21,21
POL,202014,Male,0,0,0,0,7,7
POL,202015,Female,0,0,0,0,3,3
POL,202015,Male,0,0,0,0,1,1
POL,202016,Male,0,0,0,0,4,4
POL,202017,Female,1,0,0,0,1,2
POL,202017,Male,0,0,0,0,1,1
POL,202018,Female,0,0,0,0,3,3
POL,202018,Male,0,0,0,0,4,4
POL,202019,Female,0,0,0,0,2,2
POL,202019,Male,0,0,0,0,13,13
POL,202020,Female,0,0,0,0,1,1
POL,202021,Female,0,0,0,0,9,9
POL,202021,Male,0,0,0,0,6,6
POL,202022,Female,0,0,0,0,1,1
POL,202023,Female,0,0,0,0,1,1
POL,202023,Male,0,0,0,0,1,1
POL,202024,Female,0,0,0,0,3,3
POL,202024,Male,0,0,0,0,2,2
POL,202025,Female,0,0,0,0,1,1
POL,202036,Female,0,0,0,0,2,2
POL,202036,Male,0,0,0,0,1,1
POL,202037,Female,0,0,0,0,1,1
POL,202039,Male,0,0,0,0,2,2
POL,202040,Female,0,0,0,0,1,1
POL,202041,Male,0,0,0,0,1,1
POL,202043,Male,0,0,0,0,1,1
POL,202044,Female,0,0,0,0,1,1
POL,202045,Female,0,0,0,0,2,2
POL,202045,Male,0,0,0,0,3,3
POL,202046,Female,0,0,0,0,1,1
POL,202046,Male,0,0,0,0,1,1
POL,202047,Female,0,0,0,0,1,1
POL,202047,Male,0,0,0,0,1,1
POL,202048,Female,0,0,0,0,9,9
POL,202048,Male,0,0,0,0,13,13
POL,202049,Female,0,0,0,0,4,4
POL,202049,Male,0,0,0,0,1,1
POL,202050,Female,0,0,0,0,17,17
POL,202050,Male,0,0,0,0,4,4
POL,202051,Female,0,0,0,0,15,15
POL,202051,Male,0,0,0,0,17,17
POL,202052,Female,1,0,0,0,61,62
POL,202052,Male,0,0,0,0,52,52
POL,202053,Female,0,0,0,0,1,1
POL,202053,Male,0,0,1,0,1,2
POL,202101,Female,0,0,1,0,27,28
POL,202101,Male,1,0,5,0,24,30
POL,202102,Female,12,0,0,0,70,82
POL,202102,Male,5,0,0,0,40,45
POL,202103,Female,2,0,0,0,69,71
POL,202103,Male,4,0,0,0,44,48
POL,202104,Female,16,0,0,0,90,106
POL,202104,Male,10,0,0,0,84,94
POL,202105,Female,27,0,0,0,67,94
POL,202105,Male,13,0,0,0,65,78
POL,202106,Female,78,3,0,0,81,162
POL,202106,Male,37,0,0,0,53,90
POL,202107,Female,174,1,0,0,112,287
POL,202107,Male,98,0,0,0,79,177
POL,202108,Female,275,3,0,0,122,400
POL,202108,Male,221,0,0,0,96,317
POL,202109,Female,309,1,0,0,73,383
POL,202109,Male,310,1,0,0,67,378
POL,202110,Female,543,1,0,0,66,610
POL,202110,Male,528,1,0,0,66,595
POL,202111,Female,395,0,0,0,33,428
POL,202111,Male,390,2,0,0,22,414
POL,202112,Female,421,1,0,0,16,438
POL,202112,Male,433,2,0,0,17,452
POL,202113,Female,559,1,0,0,8,568
POL,202113,Male,454,2,0,0,8,464
POL,202114,Female,541,1,0,0,10,552
POL,202114,Male,472,0,0,0,8,480
POL,202115,Female,832,2,0,0,10,844
POL,202115,Male,712,1,0,0,11,724
POL,202116,Female,796,1,0,0,19,816
POL,202116,Male,695,2,1,0,15,713
POL,202117,Female,643,2,6,0,4,655
POL,202117,Male,560,4,8,0,3,575
POL,202118,Female,696,1,9,0,28,734
POL,202118,Male,577,1,15,0,10,603
POL,202119,Female,621,2,11,0,9,643
POL,202119,Male,564,4,5,0,5,578
POL,202120,Female,497,0,9,0,21,527
POL,202120,Male,450,1,12,0,15,478
POL,202121,Female,363,0,6,0,6,375
POL,202121,Male,287,0,9,0,4,300
POL,202122,Female,176,1,1,0,9,187
POL,202122,Male,143,1,5,0,9,158
POL,202123,Female,124,1,10,0,24,159
POL,202123,Male,94,0,10,0,18,122
POL,202124,Female,54,0,9,0,5,68
POL,202124,Male,35,0,5,0,3,43
POL,202125,Female,13,0,5,0,1,19
POL,202125,Male,10,0,10,0,3,23
POL,202126,Female,30,0,26,0,5,61
POL,202126,Male,24,0,30,0,4,58
POL,202127,Female,4,0,29,0,6,39
POL,202127,Male,4,2,19,0,2,27
POL,202128,Female,4,0,44,0,3,51
