Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
POL,202003,0,0,0,0,0,1,1
POL,202010,0,0,0,0,0,3,3
POL,202011,0,0,0,0,0,2,2
POL,202012,0,0,0,0,0,6,6
POL,202013,0,0,0,0,0,13,13
POL,202014,0,0,0,0,0,28,28
POL,202015,0,0,0,0,0,4,4
POL,202016,0,0,0,0,0,4,4
POL,202017,1,0,0,0,0,2,3
POL,202018,0,0,0,0,0,7,7
POL,202019,0,0,0,0,0,15,15
POL,202020,0,0,0,0,0,1,1
POL,202021,0,0,0,0,0,15,15
POL,202022,0,0,0,0,0,1,1
POL,202023,0,0,0,0,0,2,2
POL,202024,0,0,0,0,0,5,5
POL,202025,0,0,0,0,0,1,1
POL,202036,0,0,0,0,0,3,3
POL,202037,0,0,0,0,0,1,1
POL,202039,0,0,0,0,0,2,2
POL,202040,0,0,0,0,0,1,1
POL,202041,0,0,0,0,0,1,1
POL,202043,0,0,0,0,0,1,1
POL,202044,0,0,0,0,0,1,1
POL,202045,0,0,0,0,0,5,5
POL,202046,0,0,0,0,0,2,2
POL,202047,0,0,0,0,0,2,2
POL,202048,0,0,0,0,0,22,22
POL,202049,0,0,0,0,0,5,5
POL,202050,0,0,0,0,0,21,21
POL,202051,0,0,0,0,0,32,32
POL,202052,1,0,0,0,0,113,114
POL,202053,0,0,1,0,0,2,3
POL,202101,1,0,1,0,0,48,50
POL,202102,17,0,0,0,0,110,127
POL,202103,6,0,0,0,0,113,119
POL,202104,26,0,0,0,0,174,200
POL,202105,40,0,0,0,0,132,172
POL,202106,115,3,0,0,0,134,252
POL,202107,272,1,0,0,0,191,464
POL,202108,496,3,0,0,0,218,717
POL,202109,619,2,0,0,0,140,761
POL,202110,1071,2,0,0,0,132,1205
POL,202111,785,2,0,0,0,55,842
POL,202112,854,3,0,0,0,33,890
POL,202113,1013,3,0,0,0,16,1032
POL,202114,1013,1,0,0,0,18,1032
POL,202115,1544,3,0,0,0,21,1568
POL,202116,1491,3,1,0,0,34,1529
POL,202117,1203,6,14,0,0,7,1230
POL,202118,1274,2,24,0,0,38,1338
POL,202119,1185,6,16,0,0,14,1221
POL,202120,947,1,21,0,0,36,1005
POL,202121,650,0,15,0,0,10,675
POL,202122,319,2,6,0,0,18,345
POL,202123,218,1,20,0,0,42,281
POL,202124,89,0,14,0,0,8,111
POL,202125,23,0,15,0,0,4,42
POL,202126,54,0,56,0,0,9,119
POL,202127,8,2,48,0,0,8,66
POL,202128,9,0,85,0,0,7,101
POL,202129,7,0,126,0,0,6,139
POL,202130,7,0,161,0,0,9,177
POL,202131,2,0,174,0,0,3,179
POL,202132,1,0,154,0,0,2,157
POL,202133,1,0,583,0,0,2,586
POL,202134,2,0,383,0,0,1,386
POL,202135,0,0,527,0,0,1,528
POL,202136,0,0,633,0,0,0,633
POL,202137,0,0,799,0,0,4,803
POL,202138,0,0,837,0,0,3,840
POL,202139,1,0,867,0,0,1,869
POL,202140,0,0,1184,0,0,0,1184
POL,202141,0,0,1108,0,0,0,1108
POL,202142,0,0,1383,0,0,2,1385
POL,202143,0,0,1364,0,0,2,1366
POL,202144,0,0,2180,0,0,0,2180
POL,202145,0,0,1973,0,0,1,1974
POL,202146,0,0,1050,0,0,0,1050
POL,202147,0,0,1220,0,0,0,1220
POL,202148,0,0,1504,0,0,0,1504
POL,202149,0,0,1987,4,0,1,1992
POL,202150,0,0,1726,15,0,6,1747
POL,202151,0,0,1605,86,0,25,1716
POL,202152,0,0,1895,319,1,121,2336
POL,202201,0,0,2073,1376,14,436,3899
POL,202202,0,0,1152,2356,62,782,4352
POL,202203,0,0,464,3165,176,1262,5067
POL,202204,0,0,131,2907,357,1381,4776
POL,202205,0,0,25,1733,220,803,2781
POL,202206,0,0,6,488,94,288,876
POL,202207,0,0,3,194,68,143,408
