Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
POL,202003,0,0,0,0,1,1
POL,202010,0,0,0,0,3,3
POL,202011,0,0,0,0,2,2
POL,202012,0,0,0,0,7,7
POL,202013,0,0,0,0,22,22
POL,202014,0,0,0,0,31,31
POL,202015,0,0,0,0,19,19
POL,202016,0,0,0,0,10,10
POL,202017,1,0,0,0,19,20
POL,202018,0,0,0,0,14,14
POL,202019,0,0,0,0,20,20
POL,202020,0,0,0,0,38,38
POL,202021,0,0,0,0,16,16
POL,202022,0,0,0,0,2,2
POL,202023,0,0,0,0,19,19
POL,202024,0,0,0,0,5,5
POL,202025,0,0,0,0,1,1
POL,202035,0,0,0,0,2,2
POL,202036,0,0,0,0,4,4
POL,202037,0,0,0,0,3,3
POL,202038,0,0,0,0,1,1
POL,202039,0,0,0,0,4,4
POL,202040,0,0,0,0,2,2
POL,202041,0,0,0,0,1,1
POL,202043,0,0,0,0,1,1
POL,202044,0,0,0,0,2,2
POL,202045,0,0,0,0,5,5
POL,202046,0,0,0,0,4,4
POL,202047,0,0,0,0,3,3
POL,202048,0,0,0,0,25,25
POL,202049,0,0,0,0,8,8
POL,202050,0,0,0,0,29,29
POL,202051,0,0,0,0,38,38
POL,202052,1,0,0,0,116,117
POL,202053,0,0,1,0,12,13
POL,202101,1,0,1,0,61,63
POL,202102,17,0,0,0,119,136
POL,202103,6,0,0,0,123,129
POL,202104,28,0,0,0,182,210
POL,202105,40,0,0,0,145,185
POL,202106,117,3,0,0,145,265
POL,202107,277,1,0,0,197,475
POL,202108,505,3,0,0,225,733
POL,202109,630,2,0,0,142,774
POL,202110,1091,2,0,0,132,1225
POL,202111,808,2,0,0,55,865
POL,202112,869,3,0,0,33,905
POL,202113,1040,3,0,0,17,1060
POL,202114,1027,1,0,0,18,1046
POL,202115,1560,3,0,0,21,1584
POL,202116,1506,3,1,0,34,1544
POL,202117,1230,6,16,0,7,1259
POL,202118,1304,2,26,0,38,1370
POL,202119,1203,6,16,0,14,1239
POL,202120,960,1,22,0,36,1019
POL,202121,655,0,15,0,10,680
POL,202122,323,2,6,0,18,349
POL,202123,222,1,20,0,44,287
POL,202124,89,0,14,0,8,111
POL,202125,23,0,15,0,4,42
POL,202126,54,0,57,0,9,120
POL,202127,8,2,48,0,8,66
POL,202128,9,0,85,0,7,101
POL,202129,7,0,126,0,6,139
POL,202130,7,0,163,0,10,180
POL,202131,2,0,174,0,3,179
POL,202132,1,0,155,0,2,158
POL,202133,1,0,586,0,2,589
POL,202134,2,0,383,0,1,386
POL,202135,0,0,527,0,1,528
POL,202136,0,0,633,0,0,633
POL,202137,0,0,805,0,4,809
POL,202138,0,0,840,0,3,843
POL,202139,1,0,867,0,1,869
POL,202140,0,0,1186,0,0,1186
POL,202141,0,0,1108,0,0,1108
POL,202142,0,0,1383,0,2,1385
POL,202143,0,0,1364,0,2,1366
POL,202144,0,0,2182,0,0,2182
POL,202145,0,0,1973,0,1,1974
POL,202146,0,0,1050,0,0,1050
POL,202147,0,0,1220,0,0,1220
POL,202148,0,0,1515,0,0,1515
POL,202149,0,0,1989,5,0,1994
POL,202150,0,0,1734,21,1,1756
POL,202151,0,0,1621,100,12,1733
POL,202152,0,0,1905,407,34,2346
POL,202201,0,0,2093,1765,79,3937
POL,202202,0,0,1208,3438,32,4678
POL,202203,0,0,466,4818,5,5289
POL,202204,0,0,140,5439,20,5599
POL,202205,0,0,39,4995,1,5035
POL,202206,0,0,15,3682,0,3697
POL,202207,0,0,6,2010,0,2016
POL,202208,0,0,1,1195,0,1196
POL,202209,0,0,0,534,0,534
POL,202210,0,0,1,322,1,324
