Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
PRT,202010,10 – 20,0,0,0,0,0,3,3
PRT,202010,30 – 40,0,0,0,0,0,1,1
PRT,202010,40 – 50,0,0,0,0,0,3,3
PRT,202010,50 – 60,0,0,0,0,0,2,2
PRT,202010,60 – 70,0,0,0,0,0,3,3
PRT,202011,1 – 5,0,0,0,0,0,1,1
PRT,202011,10 – 20,0,0,0,0,0,4,4
PRT,202011,20 – 30,0,0,0,0,0,2,2
PRT,202011,40 – 50,0,0,0,0,0,2,2
PRT,202011,50 – 60,0,0,0,0,0,3,3
PRT,202011,60 – 70,0,0,0,0,0,2,2
PRT,202011,70 – 80,0,0,0,0,0,1,1
PRT,202012,10 – 20,0,0,0,0,0,1,1
PRT,202012,20 – 30,0,0,0,0,0,8,8
PRT,202012,30 – 40,0,0,0,0,0,5,5
PRT,202012,40 – 50,0,0,0,0,0,9,9
PRT,202012,50 – 60,0,0,0,0,0,5,5
PRT,202012,60 – 70,0,0,0,0,0,7,7
PRT,202012,70 – 80,0,0,0,0,0,6,6
PRT,202012,>= 80,0,0,0,0,0,2,2
PRT,202013,10 – 20,0,0,0,0,0,3,3
PRT,202013,30 – 40,0,0,0,0,0,2,2
PRT,202013,40 – 50,0,0,0,0,0,1,1
PRT,202013,50 – 60,0,0,0,0,0,4,4
PRT,202013,70 – 80,0,0,0,0,0,2,2
PRT,202013,>= 80,0,0,0,0,0,1,1
PRT,202015,20 – 30,0,0,0,0,0,1,1
PRT,202015,>= 80,0,0,0,0,0,1,1
PRT,202020,20 – 30,0,0,0,0,0,1,1
PRT,202021,20 – 30,0,0,0,0,0,1,1
PRT,202025,< 1,0,0,0,0,0,1,1
PRT,202026,40 – 50,0,0,0,0,0,1,1
PRT,202136,30 – 40,0,0,1,0,0,0,1
PRT,202147,40 – 50,0,0,1,0,0,0,1
