Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
PRT,202010,0,0,0,0,0,14,14
PRT,202011,0,0,0,0,0,70,70
PRT,202012,0,0,0,0,0,386,386
PRT,202013,0,0,0,0,0,633,633
PRT,202014,0,0,0,0,0,243,243
PRT,202015,0,0,0,0,0,75,75
PRT,202016,0,0,0,0,0,54,54
PRT,202017,0,0,0,0,0,41,41
PRT,202018,0,0,0,0,0,21,21
PRT,202019,0,0,0,0,0,9,9
PRT,202020,0,0,0,0,0,6,6
PRT,202021,0,0,0,0,0,22,22
PRT,202022,0,0,0,0,0,48,48
PRT,202023,0,0,0,0,0,39,39
PRT,202024,0,0,0,0,0,26,26
PRT,202025,0,0,0,0,0,13,13
PRT,202026,0,0,0,0,0,19,19
PRT,202027,0,0,0,0,0,33,33
PRT,202028,0,0,0,0,0,30,30
PRT,202029,0,0,0,0,0,1,1
PRT,202034,0,0,0,0,0,3,3
PRT,202035,0,0,0,0,0,33,33
PRT,202036,0,0,0,0,0,3,3
PRT,202043,0,0,0,0,0,1,1
PRT,202045,0,0,0,0,0,9,9
PRT,202046,1,0,0,0,0,323,324
PRT,202047,0,0,0,0,0,63,63
PRT,202048,0,0,0,0,0,23,23
PRT,202049,0,0,0,0,0,12,12
PRT,202050,1,0,0,0,0,7,8
PRT,202051,15,0,0,0,0,14,29
PRT,202052,39,0,0,0,0,169,208
PRT,202053,32,1,0,0,0,49,82
PRT,202101,41,2,0,0,0,179,222
PRT,202102,79,0,0,0,0,568,647
PRT,202103,36,0,0,0,0,68,104
PRT,202104,49,0,0,0,0,87,136
PRT,202105,31,0,0,0,0,23,54
PRT,202106,446,2,0,0,0,376,824
PRT,202107,61,5,0,0,0,33,99
PRT,202108,13,3,0,0,0,7,23
PRT,202109,549,24,0,0,0,98,671
PRT,202110,340,14,0,0,0,77,431
PRT,202111,36,1,0,0,0,19,56
PRT,202112,8,4,0,0,0,7,19
PRT,202113,39,2,0,0,0,2,43
PRT,202114,1025,13,0,0,0,80,1118
PRT,202115,406,10,0,0,0,39,455
PRT,202116,53,4,2,0,0,15,74
PRT,202117,19,3,2,0,0,9,33
PRT,202118,645,13,25,0,0,46,729
PRT,202119,255,9,39,0,0,41,344
PRT,202120,17,0,36,0,0,2,55
PRT,202121,7,1,41,0,0,6,55
PRT,202122,220,1,196,0,0,23,440
PRT,202123,289,1,430,0,0,31,751
PRT,202124,98,0,304,0,0,12,414
PRT,202125,71,4,617,0,0,9,701
PRT,202126,55,0,523,0,0,6,584
PRT,202127,20,0,474,0,0,3,497
PRT,202128,11,0,789,0,0,2,802
PRT,202129,4,1,503,0,0,4,512
PRT,202130,4,0,493,0,0,1,498
PRT,202131,1,0,444,0,0,1,446
PRT,202132,1,0,529,0,0,3,533
PRT,202133,0,0,499,0,0,0,499
PRT,202134,0,0,521,0,0,0,521
PRT,202135,0,0,592,0,0,1,593
PRT,202136,0,0,540,0,0,3,543
PRT,202137,0,0,583,0,0,0,583
PRT,202138,0,0,533,0,0,5,538
PRT,202139,0,0,485,0,0,0,485
PRT,202140,0,0,513,0,0,0,513
PRT,202141,0,0,423,0,0,0,423
PRT,202142,0,0,491,0,0,0,491
PRT,202143,0,0,558,0,0,1,559
PRT,202144,0,0,464,0,0,1,465
PRT,202145,0,0,506,0,0,0,506
PRT,202146,0,0,579,1,0,0,580
PRT,202147,0,0,627,17,0,1,645
PRT,202148,0,0,505,21,0,0,526
PRT,202149,0,0,405,28,0,1,434
PRT,202150,0,0,435,58,0,1,494
PRT,202151,0,0,234,171,0,18,423
PRT,202152,0,0,101,289,0,33,423
PRT,202201,0,0,67,402,2,52,523
PRT,202202,0,0,35,434,13,64,546
PRT,202203,0,0,17,423,5,79,524
PRT,202204,0,0,23,366,16,100,505
PRT,202205,0,0,5,315,48,123,491
