Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
QAT,202011,0,0,0,0,16,16
QAT,202012,0,0,0,0,40,40
QAT,202013,0,1,0,0,2,3
QAT,202014,0,0,0,0,8,8
QAT,202015,0,1,0,0,33,34
QAT,202016,0,0,0,0,30,30
QAT,202017,0,0,0,0,115,115
QAT,202018,0,0,0,0,97,97
QAT,202019,0,0,0,0,128,128
QAT,202020,0,0,0,0,26,26
QAT,202021,0,0,0,0,138,138
QAT,202022,0,0,0,0,77,77
QAT,202023,0,0,0,0,100,100
QAT,202024,0,0,0,0,82,82
QAT,202025,0,0,0,0,68,68
QAT,202026,0,0,0,0,29,29
QAT,202027,0,0,0,0,59,59
QAT,202028,0,0,0,0,61,61
QAT,202029,0,0,0,0,7,7
QAT,202030,0,0,0,0,9,9
QAT,202032,0,0,0,0,30,30
QAT,202033,0,0,0,0,53,53
QAT,202034,0,0,0,0,45,45
QAT,202035,0,0,0,0,3,3
QAT,202036,0,0,0,0,51,51
QAT,202037,0,0,0,0,3,3
QAT,202038,0,0,0,0,1,1
QAT,202039,0,0,0,0,8,8
QAT,202040,0,0,0,0,16,16
QAT,202041,0,0,0,0,18,18
QAT,202042,0,0,0,0,15,15
QAT,202043,0,0,0,0,6,6
QAT,202044,0,0,0,0,8,8
QAT,202045,0,0,0,0,8,8
QAT,202046,0,0,0,0,6,6
QAT,202047,0,0,0,0,11,11
QAT,202048,0,0,0,0,21,21
QAT,202049,0,0,0,0,5,5
QAT,202052,2,0,0,0,8,10
QAT,202053,6,1,0,0,92,99
QAT,202101,11,0,0,0,2,13
QAT,202102,3,0,0,0,2,5
QAT,202103,7,0,0,0,3,10
QAT,202104,1,0,0,0,1,2
QAT,202105,16,11,0,0,25,52
QAT,202106,7,7,0,0,20,34
QAT,202107,27,13,0,0,23,63
QAT,202108,24,20,0,0,11,55
QAT,202109,21,14,0,0,4,39
QAT,202110,19,21,0,0,0,40
QAT,202111,15,56,0,0,7,78
QAT,202112,3,47,0,0,12,62
QAT,202113,2,10,0,0,2,14
QAT,202114,2,22,0,0,5,29
QAT,202115,3,68,2,0,8,81
QAT,202116,18,78,21,0,44,161
QAT,202117,11,106,35,0,20,172
QAT,202118,15,74,36,0,34,159
QAT,202119,3,14,11,0,29,57
QAT,202120,2,16,8,0,22,48
QAT,202121,9,6,17,0,2,34
QAT,202122,1,8,35,0,0,44
QAT,202123,3,2,13,0,1,19
QAT,202130,0,0,1,0,0,1
QAT,202132,0,0,147,0,0,147
QAT,202133,0,0,331,0,0,331
QAT,202134,0,0,273,0,0,273
QAT,202135,0,0,189,0,0,189
QAT,202136,0,0,136,0,0,136
QAT,202137,0,0,58,0,0,58
QAT,202138,0,0,75,0,0,75
QAT,202139,0,0,21,0,0,21
QAT,202140,0,0,8,0,0,8
QAT,202141,0,0,3,0,0,3
QAT,202142,1,0,26,0,0,27
QAT,202143,0,0,22,0,0,22
QAT,202144,0,0,31,0,0,31
QAT,202145,0,0,43,0,0,43
QAT,202146,0,0,34,0,0,34
QAT,202147,0,0,68,1,1,70
QAT,202148,0,0,55,0,3,58
QAT,202149,0,0,59,12,3,74
QAT,202150,0,0,30,9,1,40
QAT,202151,0,0,7,22,0,29
QAT,202152,0,0,1,49,0,50
QAT,202201,0,0,3,59,0,62
QAT,202202,0,0,0,64,5,69
QAT,202203,0,0,0,44,35,79
