Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
QAT,202011,Female,0,0,0,0,2,2
QAT,202011,Male,0,0,0,0,14,14
QAT,202012,Female,0,0,0,0,8,8
QAT,202012,Male,0,0,0,0,32,32
QAT,202013,Male,0,1,0,0,2,3
QAT,202014,Female,0,0,0,0,1,1
QAT,202014,Male,0,0,0,0,7,7
QAT,202015,Female,0,0,0,0,1,1
QAT,202015,Male,0,1,0,0,32,33
QAT,202016,Female,0,0,0,0,8,8
QAT,202016,Male,0,0,0,0,22,22
QAT,202017,Female,0,0,0,0,7,7
QAT,202017,Male,0,0,0,0,107,107
QAT,202018,Female,0,0,0,0,13,13
QAT,202018,Male,0,0,0,0,84,84
QAT,202019,Female,0,0,0,0,14,14
QAT,202019,Male,0,0,0,0,114,114
QAT,202020,Female,0,0,0,0,5,5
QAT,202020,Male,0,0,0,0,21,21
QAT,202021,Female,0,0,0,0,33,33
QAT,202021,Male,0,0,0,0,105,105
QAT,202022,Female,0,0,0,0,8,8
QAT,202022,Male,0,0,0,0,69,69
QAT,202023,Female,0,0,0,0,21,21
QAT,202023,Male,0,0,0,0,78,78
QAT,202024,Female,0,0,0,0,35,35
QAT,202024,Male,0,0,0,0,45,45
QAT,202025,Female,0,0,0,0,15,15
QAT,202025,Male,0,0,0,0,52,52
QAT,202026,Female,0,0,0,0,9,9
QAT,202026,Male,0,0,0,0,20,20
QAT,202027,Female,0,0,0,0,14,14
QAT,202027,Male,0,0,0,0,38,38
QAT,202028,Female,0,0,0,0,12,12
QAT,202028,Male,0,0,0,0,49,49
QAT,202029,Female,0,0,0,0,1,1
QAT,202029,Male,0,0,0,0,6,6
QAT,202030,Female,0,0,0,0,2,2
QAT,202030,Male,0,0,0,0,7,7
QAT,202032,Female,0,0,0,0,12,12
QAT,202032,Male,0,0,0,0,18,18
QAT,202033,Female,0,0,0,0,21,21
QAT,202033,Male,0,0,0,0,32,32
QAT,202034,Female,0,0,0,0,20,20
QAT,202034,Male,0,0,0,0,25,25
QAT,202035,Female,0,0,0,0,2,2
QAT,202035,Male,0,0,0,0,1,1
QAT,202036,Female,0,0,0,0,39,39
QAT,202036,Male,0,0,0,0,12,12
QAT,202037,Female,0,0,0,0,1,1
QAT,202037,Male,0,0,0,0,2,2
QAT,202038,Male,0,0,0,0,1,1
QAT,202039,Female,0,0,0,0,4,4
QAT,202039,Male,0,0,0,0,4,4
QAT,202040,Female,0,0,0,0,9,9
QAT,202040,Male,0,0,0,0,7,7
QAT,202041,Female,0,0,0,0,6,6
QAT,202041,Male,0,0,0,0,12,12
QAT,202042,Female,0,0,0,0,6,6
QAT,202042,Male,0,0,0,0,9,9
QAT,202043,Female,0,0,0,0,4,4
QAT,202043,Male,0,0,0,0,2,2
QAT,202044,Female,0,0,0,0,4,4
QAT,202044,Male,0,0,0,0,4,4
QAT,202045,Female,0,0,0,0,2,2
QAT,202045,Male,0,0,0,0,6,6
QAT,202046,Female,0,0,0,0,5,5
QAT,202046,Male,0,0,0,0,1,1
QAT,202047,Female,0,0,0,0,5,5
QAT,202047,Male,0,0,0,0,6,6
QAT,202048,Female,0,0,0,0,6,6
QAT,202048,Male,0,0,0,0,15,15
QAT,202049,Male,0,0,0,0,5,5
QAT,202052,Female,0,0,0,0,3,3
QAT,202052,Male,2,0,0,0,5,7
QAT,202053,Female,6,0,0,0,11,17
QAT,202053,Male,0,1,0,0,81,82
QAT,202101,Female,8,0,0,0,0,8
QAT,202101,Male,3,0,0,0,2,5
QAT,202102,Female,1,0,0,0,1,2
QAT,202102,Male,2,1,0,0,1,4
QAT,202103,Female,1,0,0,0,0,1
QAT,202103,Male,6,0,0,0,3,9
QAT,202104,Male,1,0,0,0,1,2
QAT,202105,Female,9,3,0,0,12,24
QAT,202105,Male,7,8,0,0,13,28
QAT,202106,Female,2,4,0,0,6,12
QAT,202106,Male,5,4,0,0,14,23
QAT,202107,Female,9,3,0,0,1,13
QAT,202107,Male,18,10,0,0,22,50
QAT,202108,Female,10,6,0,0,3,19
QAT,202108,Male,14,14,0,0,8,36
QAT,202109,Female,3,2,0,0,1,6
QAT,202109,Male,18,12,0,0,3,33
QAT,202110,Female,7,4,0,0,0,11
QAT,202110,Male,12,17,0,0,0,29
QAT,202111,Female,6,14,0,0,5,25
QAT,202111,Male,9,42,0,0,2,53
QAT,202112,Female,1,15,0,0,2,18
QAT,202112,Male,2,32,0,0,10,44
QAT,202113,Male,2,10,0,0,2,14
QAT,202114,Female,2,1,0,0,1,4
QAT,202114,Male,0,21,0,0,4,25
QAT,202115,Female,1,28,0,0,0,29
QAT,202115,Male,2,40,2,0,8,52
QAT,202116,Female,8,28,5,0,17,58
QAT,202116,Male,10,50,16,0,27,103
QAT,202117,Female,3,38,7,0,7,55
QAT,202117,Male,8,68,28,0,13,117
QAT,202118,Female,2,30,7,0,14,53
QAT,202118,Male,13,44,29,0,20,106
QAT,202119,Female,2,7,1,0,11,21
QAT,202119,Male,1,7,10,0,18,36
QAT,202120,Female,1,7,3,0,13,24
QAT,202120,Male,1,9,5,0,9,24
QAT,202121,Female,1,3,5,0,1,10
QAT,202121,Male,8,3,12,0,1,24
QAT,202122,Female,0,3,10,0,0,13
QAT,202122,Male,1,5,25,0,0,31
QAT,202123,Female,0,2,4,0,1,7
QAT,202123,Male,3,0,9,0,0,12
QAT,202130,Male,0,0,1,0,0,1
QAT,202132,Female,0,0,42,0,0,42
QAT,202132,Male,0,0,105,0,0,105
QAT,202133,Female,0,0,183,0,0,183
QAT,202133,Male,0,0,148,0,0,148
QAT,202134,Female,0,0,129,0,0,129
QAT,202134,Male,0,0,144,0,0,144
QAT,202135,Female,0,0,54,0,0,54
QAT,202135,Male,0,0,135,0,0,135
QAT,202136,Female,0,0,34,0,0,34
QAT,202136,Male,0,0,102,0,0,102
QAT,202137,Female,0,0,19,0,0,19
QAT,202137,Male,0,0,39,0,0,39
QAT,202138,Female,0,0,38,0,0,38
QAT,202138,Male,0,0,37,0,0,37
QAT,202139,Female,0,0,10,0,0,10
QAT,202139,Male,0,0,11,0,0,11
