Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ROU,202012,20 – 30,0,0,0,0,0,1,1
ROU,202013,30 – 40,0,0,0,0,0,2,2
ROU,202013,40 – 50,0,0,0,0,0,5,5
ROU,202013,50 – 60,0,0,0,0,0,4,4
ROU,202014,40 – 50,0,0,0,0,0,1,1
ROU,202015,1 – 5,0,0,0,0,0,1,1
ROU,202015,30 – 40,0,0,0,0,0,1,1
ROU,202015,40 – 50,0,0,0,0,0,3,3
ROU,202015,50 – 60,0,0,0,0,0,4,4
ROU,202015,60 – 70,0,0,0,0,0,2,2
ROU,202015,70 – 80,0,0,0,0,0,1,1
ROU,202015,< 1,0,0,0,0,0,1,1
ROU,202016,1 – 5,0,0,0,0,0,1,1
ROU,202016,20 – 30,0,0,0,0,0,3,3
ROU,202016,30 – 40,0,0,0,0,0,2,2
ROU,202016,40 – 50,0,0,0,0,0,4,4
ROU,202016,5 – 10,0,0,0,0,0,3,3
ROU,202016,50 – 60,0,0,0,0,0,5,5
ROU,202016,60 – 70,0,0,0,0,0,4,4
ROU,202016,70 – 80,0,0,0,0,0,1,1
ROU,202017,10 – 20,0,0,0,0,0,1,1
ROU,202017,20 – 30,0,0,0,0,0,1,1
ROU,202017,30 – 40,0,0,0,0,0,1,1
ROU,202017,40 – 50,0,0,0,0,0,4,4
ROU,202017,5 – 10,0,0,0,0,0,1,1
ROU,202017,50 – 60,0,0,0,0,0,5,5
ROU,202017,60 – 70,0,0,0,0,0,4,4
ROU,202017,70 – 80,0,0,0,0,0,2,2
ROU,202018,20 – 30,0,0,0,0,0,4,4
ROU,202018,30 – 40,0,0,0,0,0,7,7
ROU,202018,40 – 50,0,0,0,0,0,9,9
ROU,202018,50 – 60,0,0,0,0,0,7,7
ROU,202018,60 – 70,0,0,0,0,0,3,3
ROU,202018,>= 80,0,0,0,0,0,1,1
ROU,202019,30 – 40,0,0,0,0,0,1,1
ROU,202019,70 – 80,0,0,0,0,0,1,1
ROU,202019,< 1,0,0,0,0,0,1,1
ROU,202019,>= 80,0,0,0,0,0,1,1
ROU,202020,1 – 5,0,0,0,0,0,1,1
ROU,202020,20 – 30,0,0,0,0,0,2,2
ROU,202020,40 – 50,0,0,0,0,0,6,6
ROU,202020,60 – 70,0,0,0,0,0,2,2
ROU,202020,70 – 80,0,0,0,0,0,1,1
ROU,202021,30 – 40,0,0,0,0,0,1,1
ROU,202021,40 – 50,0,0,0,0,0,2,2
ROU,202021,5 – 10,0,0,0,0,0,1,1
ROU,202021,60 – 70,0,0,0,0,0,1,1
ROU,202021,>= 80,0,0,0,0,0,1,1
ROU,202022,20 – 30,0,0,0,0,0,2,2
ROU,202022,60 – 70,0,0,0,0,0,3,3
ROU,202022,>= 80,0,0,0,0,0,2,2
ROU,202023,40 – 50,0,0,0,0,0,3,3
ROU,202023,60 – 70,0,0,0,0,0,2,2
ROU,202023,70 – 80,0,0,0,0,0,1,1
ROU,202023,>= 80,0,0,0,0,0,1,1
ROU,202024,10 – 20,0,0,0,0,0,1,1
ROU,202024,20 – 30,0,0,0,0,0,2,2
ROU,202024,40 – 50,0,0,0,0,0,3,3
ROU,202024,50 – 60,0,0,0,0,0,3,3
ROU,202024,60 – 70,0,0,0,0,0,3,3
ROU,202024,70 – 80,0,0,0,0,0,2,2
ROU,202024,>= 80,0,0,0,0,0,2,2
ROU,202025,50 – 60,0,0,0,0,0,1,1
ROU,202025,60 – 70,0,0,0,0,0,2,2
ROU,202025,>= 80,0,0,0,0,0,1,1
ROU,202026,50 – 60,0,0,0,0,0,1,1
ROU,202026,60 – 70,0,0,0,0,0,1,1
ROU,202027,20 – 30,0,0,0,0,0,2,2
ROU,202027,30 – 40,0,0,0,0,0,1,1
ROU,202027,70 – 80,0,0,0,0,0,3,3
ROU,202027,>= 80,0,0,0,0,0,3,3
ROU,202028,10 – 20,0,0,0,0,0,1,1
