Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ROU,202012,0,0,0,0,1,1
ROU,202013,0,0,0,0,11,11
ROU,202014,0,0,0,0,1,1
ROU,202015,0,0,0,0,13,13
ROU,202016,0,0,0,0,23,23
ROU,202017,0,0,0,0,19,19
ROU,202018,0,0,0,0,31,31
ROU,202019,0,0,0,0,4,4
ROU,202020,0,0,0,0,12,12
ROU,202021,0,0,0,0,6,6
ROU,202022,0,0,0,0,7,7
ROU,202023,0,0,0,0,7,7
ROU,202024,0,0,0,0,16,16
ROU,202025,0,0,0,0,4,4
ROU,202026,0,0,0,0,2,2
ROU,202027,0,0,0,0,9,9
ROU,202028,0,0,0,0,2,2
ROU,202029,0,0,0,0,16,16
ROU,202030,0,0,0,0,45,45
ROU,202031,0,0,0,0,40,40
ROU,202032,0,0,0,0,9,9
ROU,202033,0,0,0,0,7,7
ROU,202034,0,0,0,0,24,24
ROU,202035,2,0,0,0,53,55
ROU,202036,0,0,0,0,17,17
ROU,202037,0,0,0,0,33,33
ROU,202038,0,0,0,0,30,30
ROU,202039,0,0,0,0,36,36
ROU,202040,0,0,0,0,16,16
ROU,202041,0,0,0,0,4,4
ROU,202042,2,0,0,0,5,7
ROU,202043,0,0,0,0,48,48
ROU,202044,1,0,0,0,26,27
ROU,202045,0,0,0,0,59,59
ROU,202046,0,0,0,0,73,73
ROU,202047,0,0,0,0,46,46
ROU,202048,0,0,0,0,103,103
ROU,202049,0,0,0,0,77,77
ROU,202050,1,0,0,0,68,69
ROU,202051,0,0,0,0,29,29
ROU,202052,0,0,0,0,28,28
ROU,202053,0,0,0,0,56,56
ROU,202101,6,0,0,0,77,83
ROU,202102,10,0,0,0,37,47
ROU,202103,12,0,0,0,37,49
ROU,202104,26,0,0,0,26,52
ROU,202105,68,0,0,0,47,115
ROU,202106,44,0,0,0,26,70
ROU,202107,83,0,0,0,9,92
ROU,202108,101,0,0,0,37,138
ROU,202109,67,0,0,0,25,92
ROU,202110,142,0,0,0,43,185
ROU,202111,80,0,0,0,5,85
ROU,202112,105,1,0,0,9,115
ROU,202113,155,1,13,0,9,178
ROU,202114,117,0,0,0,4,121
ROU,202115,41,0,0,0,9,50
ROU,202116,95,1,0,0,3,99
ROU,202117,26,0,3,0,3,32
ROU,202118,95,2,8,0,5,110
ROU,202119,58,2,1,0,1,62
ROU,202120,58,0,4,0,3,65
ROU,202121,75,1,5,0,3,84
ROU,202122,42,0,14,0,5,61
ROU,202123,45,0,11,0,1,57
ROU,202124,42,0,7,0,2,51
ROU,202125,8,0,16,0,0,24
ROU,202126,13,0,17,0,2,32
ROU,202127,8,0,19,0,0,27
ROU,202128,5,0,22,0,0,27
ROU,202129,12,0,55,0,2,69
ROU,202130,5,0,106,0,0,111
ROU,202131,2,0,132,0,2,136
ROU,202132,2,0,151,0,0,153
ROU,202133,1,0,140,0,0,141
ROU,202134,2,0,230,0,0,232
ROU,202135,0,0,340,0,1,341
ROU,202136,1,0,520,0,0,521
ROU,202137,0,0,508,0,0,508
ROU,202138,1,0,463,0,0,464
ROU,202139,0,0,535,0,0,535
ROU,202140,0,0,606,0,0,606
ROU,202141,0,0,299,0,0,299
ROU,202142,0,0,369,0,0,369
ROU,202143,0,0,274,0,0,274
ROU,202144,0,0,161,0,0,161
ROU,202145,0,0,97,0,1,98
ROU,202146,0,0,138,0,0,138
ROU,202147,0,0,91,0,0,91
ROU,202148,0,0,68,4,0,72
ROU,202149,0,0,73,7,0,80
ROU,202150,0,0,114,13,0,127
ROU,202151,0,0,140,24,0,164
ROU,202152,0,0,76,144,0,220
ROU,202201,0,0,86,242,0,328
ROU,202202,0,0,48,382,1,431
ROU,202203,0,0,24,380,0,404
ROU,202204,0,0,11,450,1,462
ROU,202205,0,0,29,487,2,518
ROU,202206,0,0,2,263,0,265
ROU,202207,0,0,0,103,0,103
ROU,202208,0,0,0,3,0,3
