Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ROU,202012,Male,0,0,0,0,0,1,1
ROU,202013,Female,0,0,0,0,0,8,8
ROU,202013,Male,0,0,0,0,0,3,3
ROU,202014,Female,0,0,0,0,0,1,1
ROU,202015,Female,0,0,0,0,0,5,5
ROU,202015,Male,0,0,0,0,0,8,8
ROU,202016,Female,0,0,0,0,0,9,9
ROU,202016,Male,0,0,0,0,0,14,14
ROU,202017,Female,0,0,0,0,0,8,8
ROU,202017,Male,0,0,0,0,0,11,11
ROU,202018,Female,0,0,0,0,0,8,8
ROU,202018,Male,0,0,0,0,0,23,23
ROU,202019,Female,0,0,0,0,0,3,3
ROU,202019,Male,0,0,0,0,0,1,1
ROU,202020,Female,0,0,0,0,0,8,8
ROU,202020,Male,0,0,0,0,0,4,4
ROU,202021,Female,0,0,0,0,0,4,4
ROU,202021,Male,0,0,0,0,0,2,2
ROU,202022,Female,0,0,0,0,0,5,5
ROU,202022,Male,0,0,0,0,0,2,2
ROU,202023,Female,0,0,0,0,0,4,4
ROU,202023,Male,0,0,0,0,0,3,3
ROU,202024,Female,0,0,0,0,0,8,8
ROU,202024,Male,0,0,0,0,0,8,8
ROU,202025,Female,0,0,0,0,0,1,1
ROU,202025,Male,0,0,0,0,0,3,3
ROU,202026,Male,0,0,0,0,0,2,2
ROU,202027,Female,0,0,0,0,0,7,7
ROU,202027,Male,0,0,0,0,0,2,2
ROU,202028,Male,0,0,0,0,0,2,2
ROU,202029,Female,0,0,0,0,0,8,8
ROU,202029,Male,0,0,0,0,0,8,8
ROU,202030,Female,0,0,0,0,0,26,26
ROU,202030,Male,0,0,0,0,0,19,19
ROU,202031,Female,0,0,0,0,0,23,23
ROU,202031,Male,0,0,0,0,0,17,17
ROU,202032,Female,0,0,0,0,0,5,5
ROU,202032,Male,0,0,0,0,0,4,4
ROU,202033,Female,0,0,0,0,0,4,4
ROU,202033,Male,0,0,0,0,0,3,3
ROU,202034,Female,1,0,0,0,0,12,13
ROU,202034,Male,0,0,0,0,0,12,12
ROU,202035,Female,2,0,0,0,0,25,27
ROU,202035,Male,0,0,0,0,0,28,28
ROU,202036,Female,0,0,0,0,0,11,11
ROU,202036,Male,0,0,0,0,0,8,8
ROU,202037,Female,0,0,0,0,0,15,15
ROU,202037,Male,0,0,0,0,0,18,18
ROU,202038,Female,0,0,0,0,0,12,12
ROU,202038,Male,0,0,0,0,0,18,18
ROU,202039,Female,0,0,0,0,0,22,22
ROU,202039,Male,0,0,0,0,0,15,15
ROU,202040,Female,0,0,0,0,0,8,8
ROU,202040,Male,0,0,0,0,0,9,9
ROU,202041,Female,0,0,0,0,0,3,3
ROU,202041,Male,0,0,0,0,0,1,1
ROU,202042,Female,1,0,0,0,0,3,4
ROU,202042,Male,1,0,0,0,0,2,3
ROU,202043,Female,0,0,0,0,0,29,29
ROU,202043,Male,0,0,0,0,0,20,20
ROU,202044,Female,1,0,0,0,0,16,17
ROU,202044,Male,0,0,0,0,0,10,10
ROU,202045,Female,0,0,0,0,0,32,32
ROU,202045,Male,0,0,0,0,0,27,27
ROU,202046,Female,0,0,0,0,0,43,43
