Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ROU,202012,0,0,0,0,1,1
ROU,202013,0,0,0,0,11,11
ROU,202014,0,0,0,0,1,1
ROU,202015,0,0,0,0,13,13
ROU,202016,0,0,0,0,23,23
ROU,202017,0,0,0,0,19,19
ROU,202018,0,0,0,0,35,35
ROU,202019,0,0,0,0,4,4
ROU,202020,0,0,0,0,12,12
ROU,202021,0,0,0,0,6,6
ROU,202022,0,0,0,0,7,7
ROU,202023,0,0,0,0,7,7
ROU,202024,0,0,0,0,16,16
ROU,202025,0,0,0,0,4,4
ROU,202026,0,0,0,0,2,2
ROU,202027,0,0,0,0,9,9
ROU,202028,0,0,0,0,2,2
ROU,202029,0,0,0,0,16,16
ROU,202030,0,0,0,0,46,46
ROU,202031,0,0,0,0,40,40
ROU,202032,0,0,0,0,9,9
ROU,202033,0,0,0,0,7,7
ROU,202034,1,0,0,0,24,25
ROU,202035,2,0,0,0,53,55
ROU,202036,0,0,0,0,19,19
ROU,202037,0,0,0,0,33,33
ROU,202038,0,0,0,0,30,30
ROU,202039,0,0,0,0,37,37
ROU,202040,0,0,0,0,17,17
ROU,202041,0,0,0,0,4,4
ROU,202042,2,0,0,0,5,7
ROU,202043,0,0,0,0,49,49
ROU,202044,1,0,0,0,26,27
ROU,202045,0,0,0,0,59,59
ROU,202046,0,0,0,0,74,74
ROU,202047,0,0,0,0,49,49
ROU,202048,0,0,0,0,106,106
ROU,202049,0,0,0,0,79,79
ROU,202050,1,0,0,0,68,69
ROU,202051,0,0,0,0,31,31
ROU,202052,0,0,0,0,29,29
ROU,202053,0,0,0,0,57,57
ROU,202101,6,0,0,0,77,83
ROU,202102,10,0,0,0,38,48
ROU,202103,12,0,0,0,37,49
ROU,202104,26,0,0,0,27,53
ROU,202105,68,0,0,0,49,117
ROU,202106,45,0,0,0,26,71
ROU,202107,87,0,0,0,9,96
ROU,202108,104,0,0,0,38,142
ROU,202109,78,0,0,0,30,108
ROU,202110,159,0,0,0,45,204
ROU,202111,81,0,0,0,5,86
ROU,202112,108,1,0,0,9,118
ROU,202113,158,1,13,0,9,181
ROU,202114,124,0,0,0,4,128
ROU,202115,58,0,0,0,9,67
ROU,202116,97,1,0,0,3,101
ROU,202117,26,0,3,0,3,32
ROU,202118,96,2,9,0,5,112
ROU,202119,59,2,1,0,1,63
ROU,202120,58,0,4,0,3,65
ROU,202121,75,1,5,0,3,84
ROU,202122,42,0,14,0,5,61
ROU,202123,45,0,11,0,1,57
ROU,202124,42,0,7,0,2,51
ROU,202125,8,0,16,0,0,24
ROU,202126,13,0,15,0,2,30
ROU,202127,8,0,20,0,0,28
ROU,202128,5,0,22,0,0,27
ROU,202129,12,0,55,0,2,69
ROU,202130,5,0,107,0,0,112
ROU,202131,2,0,133,0,2,137
ROU,202132,2,0,152,0,0,154
ROU,202133,1,0,140,0,0,141
ROU,202134,2,0,231,0,0,233
ROU,202135,0,0,341,0,1,342
ROU,202136,1,0,517,0,0,518
ROU,202137,0,0,509,0,0,509
ROU,202138,1,0,468,0,0,469
ROU,202139,0,0,537,0,0,537
ROU,202140,0,0,610,0,0,610
ROU,202141,0,0,301,0,0,301
ROU,202142,0,0,369,0,0,369
ROU,202143,0,0,274,0,0,274
ROU,202144,0,0,161,0,0,161
ROU,202145,0,0,98,0,1,99
ROU,202146,0,0,140,0,0,140
ROU,202147,0,0,94,0,0,94
ROU,202148,0,0,68,4,0,72
ROU,202149,0,0,73,7,0,80
ROU,202150,0,0,115,13,0,128
ROU,202151,0,0,102,13,0,115
ROU,202152,0,0,30,110,0,140
ROU,202201,0,0,25,139,0,164
ROU,202202,0,0,9,101,1,111
