Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
RUS,202010,60 – 70,0,0,0,0,1,1
RUS,202011,10 – 20,0,0,0,0,1,1
RUS,202011,20 – 30,0,0,0,0,1,1
RUS,202011,30 – 40,0,0,0,0,4,4
RUS,202011,40 – 50,0,0,0,0,2,2
RUS,202011,50 – 60,0,0,0,0,2,2
RUS,202011,60 – 70,0,0,0,0,2,2
RUS,202012,20 – 30,0,0,0,0,4,4
RUS,202012,30 – 40,0,0,0,0,4,4
RUS,202012,40 – 50,0,0,0,0,5,5
RUS,202012,50 – 60,0,0,0,0,4,4
RUS,202012,60 – 70,0,0,0,0,1,1
RUS,202012,70 – 80,0,0,0,0,1,1
RUS,202012,>= 80,0,0,0,0,1,1
RUS,202013,10 – 20,0,0,0,0,1,1
RUS,202013,20 – 30,0,0,0,0,7,7
RUS,202013,30 – 40,0,0,0,0,14,14
RUS,202013,40 – 50,0,0,0,0,3,3
RUS,202013,50 – 60,0,0,0,0,6,6
RUS,202013,60 – 70,0,0,0,0,2,2
RUS,202013,70 – 80,0,0,0,0,2,2
RUS,202014,10 – 20,0,0,0,0,1,1
RUS,202014,20 – 30,0,0,0,0,8,8
RUS,202014,30 – 40,0,0,0,0,9,9
RUS,202014,40 – 50,0,0,0,0,9,9
RUS,202014,50 – 60,0,0,0,0,8,8
RUS,202014,60 – 70,0,0,0,0,7,7
RUS,202014,70 – 80,0,0,0,0,2,2
RUS,202014,>= 80,0,0,0,0,4,4
RUS,202015,20 – 30,0,0,0,0,3,3
RUS,202015,30 – 40,0,0,0,0,4,4
RUS,202015,40 – 50,0,0,0,0,10,10
RUS,202015,50 – 60,0,0,0,0,11,11
RUS,202015,60 – 70,0,0,0,0,8,8
RUS,202015,70 – 80,0,0,0,0,9,9
RUS,202015,>= 80,0,0,0,0,2,2
RUS,202016,10 – 20,0,0,0,0,2,2
RUS,202016,20 – 30,0,0,0,0,2,2
RUS,202016,30 – 40,0,0,0,0,6,6
RUS,202016,40 – 50,0,0,0,0,3,3
RUS,202016,50 – 60,0,0,0,0,8,8
RUS,202016,60 – 70,0,0,0,0,4,4
RUS,202016,70 – 80,0,0,0,0,3,3
RUS,202016,>= 80,0,0,0,0,3,3
RUS,202017,1 – 5,0,0,0,0,1,1
RUS,202017,10 – 20,0,0,0,0,1,1
RUS,202017,20 – 30,0,0,0,0,5,5
RUS,202017,30 – 40,0,0,0,0,3,3
RUS,202017,40 – 50,0,0,0,0,9,9
RUS,202017,50 – 60,0,0,0,0,12,12
RUS,202017,60 – 70,0,0,0,0,11,11
RUS,202017,70 – 80,0,0,0,0,12,12
RUS,202017,>= 80,0,0,0,0,3,3
RUS,202018,1 – 5,0,0,0,0,6,6
RUS,202018,10 – 20,0,0,0,0,5,5
RUS,202018,30 – 40,0,0,0,0,6,6
RUS,202018,40 – 50,0,0,0,0,3,3
RUS,202018,5 – 10,0,0,0,0,3,3
RUS,202018,50 – 60,0,0,0,0,4,4
RUS,202018,60 – 70,0,0,0,0,4,4
RUS,202018,70 – 80,0,0,0,0,3,3
RUS,202018,>= 80,0,0,0,0,2,2
RUS,202019,20 – 30,0,0,0,0,2,2
RUS,202019,30 – 40,0,0,0,0,6,6
RUS,202019,40 – 50,0,0,0,0,8,8
RUS,202019,50 – 60,0,0,0,0,3,3
RUS,202019,60 – 70,0,0,0,0,6,6
RUS,202020,1 – 5,0,0,0,0,3,3
RUS,202020,10 – 20,0,0,0,0,2,2
RUS,202020,20 – 30,0,0,0,0,5,5
RUS,202020,30 – 40,0,0,0,0,4,4
RUS,202020,40 – 50,0,0,0,0,11,11
RUS,202020,5 – 10,0,0,0,0,1,1
RUS,202020,50 – 60,0,0,0,0,11,11
RUS,202020,60 – 70,0,0,0,0,10,10
RUS,202020,70 – 80,0,0,0,0,4,4
RUS,202020,>= 80,0,0,0,0,1,1
RUS,202021,10 – 20,0,0,0,0,1,1
RUS,202021,20 – 30,0,0,0,0,2,2
RUS,202021,30 – 40,0,0,0,0,4,4
RUS,202021,40 – 50,0,0,0,0,3,3
RUS,202021,50 – 60,0,0,0,0,8,8
RUS,202021,60 – 70,0,0,0,0,7,7
RUS,202021,70 – 80,0,0,0,0,7,7
RUS,202021,>= 80,0,0,0,0,10,10
RUS,202022,20 – 30,0,0,0,0,4,4
RUS,202022,30 – 40,0,0,0,0,7,7
RUS,202022,40 – 50,0,0,0,0,15,15
RUS,202022,5 – 10,0,0,0,0,1,1
RUS,202022,50 – 60,0,0,0,0,13,13
RUS,202022,60 – 70,0,0,0,0,15,15
RUS,202022,70 – 80,0,0,0,0,7,7
RUS,202022,>= 80,0,0,0,0,5,5
RUS,202023,10 – 20,0,0,0,0,1,1
RUS,202023,20 – 30,0,0,0,0,2,2
RUS,202023,30 – 40,0,0,0,0,5,5
RUS,202023,40 – 50,0,0,0,0,10,10
RUS,202023,5 – 10,0,0,0,0,1,1
RUS,202023,50 – 60,0,0,0,0,9,9
RUS,202023,60 – 70,0,0,0,0,17,17
RUS,202023,70 – 80,0,0,0,0,3,3
RUS,202023,>= 80,0,0,0,0,3,3
RUS,202024,20 – 30,0,0,0,0,4,4
RUS,202024,30 – 40,0,0,0,0,3,3
RUS,202024,40 – 50,0,0,0,0,5,5
RUS,202024,50 – 60,0,0,0,0,11,11
RUS,202024,60 – 70,0,0,0,0,8,8
RUS,202024,70 – 80,0,0,0,0,6,6
RUS,202024,>= 80,0,0,0,0,2,2
RUS,202025,30 – 40,0,0,0,0,5,5
RUS,202025,40 – 50,0,0,0,0,3,3
RUS,202025,50 – 60,0,0,0,0,4,4
RUS,202025,60 – 70,0,0,0,0,3,3
RUS,202025,70 – 80,0,0,0,0,3,3
RUS,202025,>= 80,0,0,0,0,3,3
RUS,202026,30 – 40,0,0,0,0,5,5
RUS,202026,40 – 50,0,0,0,0,1,1
RUS,202026,50 – 60,0,0,0,0,1,1
RUS,202026,60 – 70,0,0,0,0,4,4
RUS,202026,70 – 80,0,0,0,0,3,3
RUS,202026,>= 80,0,0,0,0,5,5
RUS,202027,10 – 20,0,0,0,0,1,1
RUS,202027,20 – 30,0,0,0,0,2,2
RUS,202027,30 – 40,0,0,0,0,1,1
RUS,202027,40 – 50,0,0,0,0,2,2
RUS,202027,50 – 60,0,0,0,0,3,3
RUS,202027,60 – 70,0,0,0,0,2,2
RUS,202027,70 – 80,0,0,0,0,4,4
RUS,202027,>= 80,0,0,0,0,2,2
RUS,202028,20 – 30,0,0,0,0,2,2
RUS,202028,30 – 40,0,0,0,0,2,2
RUS,202028,40 – 50,0,0,0,0,3,3
RUS,202028,50 – 60,0,0,0,0,8,8
RUS,202028,60 – 70,0,0,0,0,6,6
RUS,202028,70 – 80,0,0,0,0,3,3
RUS,202028,>= 80,0,0,0,0,1,1
RUS,202029,20 – 30,0,0,0,0,13,13
RUS,202029,30 – 40,0,0,0,0,9,9
RUS,202029,40 – 50,0,0,0,0,10,10
RUS,202029,50 – 60,0,0,0,0,3,3
RUS,202029,60 – 70,0,0,0,0,1,1
RUS,202029,70 – 80,0,0,0,0,7,7
RUS,202029,>= 80,0,0,0,0,6,6
RUS,202030,10 – 20,0,0,0,0,2,2
RUS,202030,20 – 30,0,0,0,0,3,3
RUS,202030,30 – 40,0,0,0,0,3,3
RUS,202030,40 – 50,0,0,0,0,7,7
RUS,202030,5 – 10,0,0,0,0,1,1
RUS,202030,50 – 60,0,0,0,0,7,7
RUS,202030,60 – 70,0,0,0,0,3,3
RUS,202030,>= 80,0,0,0,0,2,2
RUS,202031,10 – 20,0,0,0,0,1,1
RUS,202031,20 – 30,0,0,0,0,3,3
RUS,202031,30 – 40,0,0,0,0,2,2
RUS,202031,40 – 50,0,0,0,0,2,2
RUS,202031,50 – 60,0,0,0,0,2,2
RUS,202031,60 – 70,0,0,0,0,3,3
RUS,202032,20 – 30,0,0,0,0,4,4
RUS,202032,30 – 40,0,0,0,0,5,5
RUS,202032,40 – 50,0,0,0,0,6,6
RUS,202032,50 – 60,0,0,0,0,4,4
RUS,202032,60 – 70,0,0,0,0,7,7
RUS,202032,70 – 80,0,0,0,0,3,3
RUS,202032,>= 80,0,0,0,0,2,2
RUS,202033,30 – 40,0,0,0,0,4,4
RUS,202033,40 – 50,0,0,0,0,7,7
RUS,202033,50 – 60,0,0,0,0,3,3
RUS,202033,60 – 70,0,0,0,0,5,5
RUS,202033,70 – 80,0,0,0,0,1,1
RUS,202033,>= 80,0,0,0,0,1,1
RUS,202034,10 – 20,0,0,0,0,1,1
RUS,202034,30 – 40,0,0,0,0,6,6
RUS,202034,40 – 50,0,0,0,0,7,7
RUS,202034,50 – 60,0,0,0,0,2,2
RUS,202034,60 – 70,0,0,0,0,3,3
RUS,202034,70 – 80,0,0,0,0,1,1
RUS,202034,>= 80,0,0,0,0,1,1
RUS,202035,20 – 30,0,0,0,0,5,5
RUS,202035,30 – 40,0,0,0,0,9,9
RUS,202035,40 – 50,0,0,0,0,7,7
RUS,202035,50 – 60,0,0,0,0,6,6
RUS,202035,60 – 70,0,0,0,0,9,9
RUS,202035,70 – 80,0,0,0,0,4,4
RUS,202035,>= 80,0,0,0,0,11,11
RUS,202036,1 – 5,0,0,0,0,1,1
RUS,202036,10 – 20,0,0,0,0,4,4
RUS,202036,20 – 30,0,0,0,0,3,3
RUS,202036,30 – 40,0,0,0,0,13,13
RUS,202036,40 – 50,0,0,0,0,8,8
RUS,202036,50 – 60,0,0,0,0,9,9
RUS,202036,60 – 70,0,0,0,0,6,6
RUS,202037,10 – 20,0,0,0,0,4,4
RUS,202037,20 – 30,0,0,0,0,13,13
RUS,202037,30 – 40,0,0,0,0,24,24
RUS,202037,40 – 50,0,0,0,0,16,16
RUS,202037,50 – 60,0,0,0,0,10,10
RUS,202037,60 – 70,0,0,0,0,11,11
RUS,202037,70 – 80,0,0,0,0,1,1
RUS,202037,>= 80,0,0,0,0,5,5
RUS,202038,1 – 5,0,0,0,0,2,2
RUS,202038,10 – 20,0,0,0,0,4,4
RUS,202038,20 – 30,0,0,0,0,12,12
RUS,202038,30 – 40,0,0,0,0,19,19
RUS,202038,40 – 50,0,0,0,0,16,16
RUS,202038,5 – 10,0,0,0,0,2,2
RUS,202038,50 – 60,0,0,0,0,10,10
RUS,202038,60 – 70,0,0,0,0,12,12
RUS,202038,70 – 80,0,0,0,0,2,2
RUS,202038,< 1,0,0,0,0,1,1
RUS,202038,>= 80,0,0,0,0,1,1
RUS,202039,1 – 5,0,0,0,0,1,1
RUS,202039,10 – 20,0,0,0,0,11,11
RUS,202039,20 – 30,0,0,0,0,11,11
RUS,202039,30 – 40,0,0,0,0,48,48
RUS,202039,40 – 50,0,0,0,0,31,31
RUS,202039,5 – 10,0,0,0,0,2,2
RUS,202039,50 – 60,0,0,0,0,23,23
RUS,202039,60 – 70,0,0,0,0,12,12
RUS,202039,< 1,0,0,0,0,1,1
RUS,202039,>= 80,0,0,0,0,2,2
RUS,202040,1 – 5,0,0,0,0,1,1
RUS,202040,10 – 20,0,0,0,0,5,5
RUS,202040,20 – 30,0,0,0,0,9,9
RUS,202040,30 – 40,0,0,0,0,21,21
RUS,202040,40 – 50,0,0,0,0,19,19
RUS,202040,50 – 60,0,0,0,0,16,16
RUS,202040,60 – 70,0,0,0,0,22,22
RUS,202040,70 – 80,0,0,0,0,10,10
RUS,202040,>= 80,0,0,0,0,5,5
RUS,202041,10 – 20,0,0,0,0,6,6
RUS,202041,20 – 30,0,0,0,0,15,15
RUS,202041,30 – 40,0,0,0,0,24,24
RUS,202041,40 – 50,0,0,0,0,19,19
RUS,202041,5 – 10,0,0,0,0,1,1
RUS,202041,50 – 60,0,0,0,0,18,18
RUS,202041,60 – 70,0,0,0,0,14,14
RUS,202041,70 – 80,0,0,0,0,7,7
RUS,202041,>= 80,0,0,0,0,6,6
RUS,202042,1 – 5,0,0,0,0,1,1
RUS,202042,10 – 20,0,0,0,0,4,4
RUS,202042,20 – 30,0,0,0,0,6,6
RUS,202042,30 – 40,0,0,0,0,24,24
RUS,202042,40 – 50,0,0,0,0,16,16
RUS,202042,5 – 10,0,0,0,0,1,1
RUS,202042,50 – 60,0,0,0,0,16,16
RUS,202042,60 – 70,0,0,0,0,9,9
RUS,202042,70 – 80,0,0,0,0,8,8
RUS,202042,>= 80,0,0,0,0,6,6
RUS,202043,10 – 20,0,0,0,0,2,2
RUS,202043,20 – 30,0,0,0,0,2,2
RUS,202043,30 – 40,0,0,0,0,1,1
RUS,202043,40 – 50,0,0,0,0,4,4
RUS,202043,50 – 60,0,0,0,0,4,4
RUS,202043,60 – 70,0,0,0,0,3,3
RUS,202043,70 – 80,0,0,0,0,1,1
RUS,202043,>= 80,0,0,0,0,1,1
RUS,202044,20 – 30,0,0,0,0,2,2
RUS,202044,30 – 40,0,0,0,0,2,2
RUS,202044,50 – 60,0,0,0,0,1,1
RUS,202044,60 – 70,0,0,0,0,4,4
RUS,202044,70 – 80,0,0,0,0,6,6
RUS,202044,>= 80,0,0,0,0,2,2
RUS,202045,1 – 5,0,0,0,0,4,4
RUS,202045,10 – 20,0,0,0,0,9,9
RUS,202045,20 – 30,0,0,0,0,7,7
RUS,202045,30 – 40,0,0,0,0,9,9
RUS,202045,40 – 50,0,0,0,0,7,7
RUS,202045,5 – 10,0,0,0,0,2,2
RUS,202045,50 – 60,0,0,0,0,12,12
RUS,202045,60 – 70,0,0,0,0,12,12
RUS,202045,70 – 80,0,0,0,0,8,8
RUS,202045,< 1,0,0,0,0,1,1
RUS,202045,>= 80,0,0,0,0,1,1
RUS,202046,1 – 5,0,0,0,0,1,1
RUS,202046,10 – 20,0,0,0,0,8,8
RUS,202046,20 – 30,0,0,0,0,22,22
RUS,202046,30 – 40,0,0,0,0,30,30
RUS,202046,40 – 50,0,0,0,0,19,19
RUS,202046,5 – 10,0,0,0,0,5,5
RUS,202046,50 – 60,0,0,0,0,40,40
RUS,202046,60 – 70,0,0,0,0,26,26
RUS,202046,70 – 80,0,0,0,0,10,10
RUS,202046,>= 80,0,0,0,0,4,4
RUS,202047,10 – 20,0,0,0,0,2,2
RUS,202047,20 – 30,0,0,0,0,8,8
RUS,202047,30 – 40,0,0,0,0,15,15
RUS,202047,40 – 50,0,0,0,0,18,18
RUS,202047,50 – 60,0,0,0,0,20,20
RUS,202047,60 – 70,0,0,0,0,24,24
RUS,202047,70 – 80,0,0,0,0,15,15
RUS,202047,>= 80,0,0,0,0,4,4
RUS,202048,10 – 20,0,0,0,0,2,2
RUS,202048,20 – 30,0,0,0,0,4,4
RUS,202048,30 – 40,0,0,0,0,9,9
RUS,202048,40 – 50,0,0,0,0,13,13
RUS,202048,5 – 10,0,0,0,0,1,1
RUS,202048,50 – 60,0,0,0,0,16,16
RUS,202048,60 – 70,0,0,0,0,13,13
