Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
RUS,202010,0,0,0,0,1,1
RUS,202011,0,0,0,0,12,12
RUS,202012,0,0,0,0,20,20
RUS,202013,0,0,0,0,35,35
RUS,202014,0,0,0,0,48,48
RUS,202015,0,0,0,0,47,47
RUS,202016,0,0,0,0,31,31
RUS,202017,0,0,0,0,57,57
RUS,202018,0,0,0,0,36,36
RUS,202019,0,0,0,0,25,25
RUS,202020,0,0,0,0,52,52
RUS,202021,0,0,0,0,42,42
RUS,202022,0,0,0,0,67,67
RUS,202023,0,0,0,0,51,51
RUS,202024,0,0,0,0,39,39
RUS,202025,0,0,0,0,21,21
RUS,202026,0,0,0,0,19,19
RUS,202027,0,0,0,0,17,17
RUS,202028,0,0,0,0,25,25
RUS,202029,0,0,0,0,49,49
RUS,202030,0,0,0,0,28,28
RUS,202031,0,0,0,0,13,13
RUS,202032,0,0,0,0,31,31
RUS,202033,0,0,0,0,21,21
RUS,202034,0,0,0,0,21,21
RUS,202035,0,0,0,0,51,51
RUS,202036,0,0,0,0,44,44
RUS,202037,0,0,0,0,84,84
RUS,202038,0,0,0,0,81,81
RUS,202039,0,0,0,0,142,142
RUS,202040,0,0,0,0,108,108
RUS,202041,0,0,0,0,110,110
RUS,202042,0,0,0,0,91,91
RUS,202043,0,0,0,0,18,18
RUS,202044,0,0,0,0,17,17
RUS,202045,0,0,0,0,72,72
RUS,202046,0,0,0,0,165,165
RUS,202047,0,0,0,0,106,106
RUS,202048,0,0,0,0,68,68
RUS,202049,0,0,0,0,70,70
RUS,202050,0,0,0,0,42,42
RUS,202051,0,0,0,0,144,144
RUS,202052,1,0,0,0,143,144
RUS,202053,0,0,0,0,82,82
RUS,202101,0,0,0,0,64,64
RUS,202102,0,0,0,0,49,49
RUS,202103,3,1,0,0,43,47
RUS,202104,1,0,0,0,16,17
RUS,202105,3,0,0,0,35,38
RUS,202106,5,1,0,0,99,105
RUS,202107,8,3,0,0,232,243
RUS,202108,12,0,0,0,128,140
RUS,202109,20,2,1,0,92,115
RUS,202110,20,3,0,0,149,172
RUS,202111,17,1,0,0,80,98
RUS,202112,35,2,1,0,58,96
RUS,202113,36,1,0,0,88,125
RUS,202114,36,1,2,0,117,156
RUS,202115,26,3,2,0,137,168
RUS,202116,37,2,8,0,136,183
RUS,202117,21,3,15,0,88,127
RUS,202118,20,2,17,0,68,107
RUS,202119,28,3,61,0,75,167
RUS,202120,27,0,140,0,64,231
RUS,202121,21,0,187,0,58,266
RUS,202122,5,0,167,0,28,200
RUS,202123,9,3,608,0,52,672
RUS,202124,7,0,279,0,14,300
RUS,202125,3,0,232,0,13,248
RUS,202126,0,0,144,0,4,148
RUS,202127,1,0,444,0,8,453
RUS,202128,0,0,124,0,5,129
RUS,202129,0,0,64,0,4,68
RUS,202130,1,0,84,0,9,94
RUS,202131,0,0,75,0,9,84
RUS,202132,0,0,77,0,7,84
RUS,202133,0,0,58,0,4,62
RUS,202134,0,0,67,0,0,67
RUS,202135,0,0,99,0,1,100
RUS,202136,0,0,117,0,1,118
RUS,202137,0,0,111,0,4,115
RUS,202138,0,0,139,0,0,139
RUS,202139,0,0,167,0,3,170
RUS,202140,0,0,129,0,2,131
RUS,202141,0,0,464,0,1,465
RUS,202142,0,0,273,0,4,277
RUS,202143,0,0,449,0,9,458
RUS,202144,0,0,231,0,4,235
RUS,202145,0,0,292,0,2,294
RUS,202146,0,0,201,0,1,202
RUS,202147,0,0,26,0,0,26
RUS,202148,0,0,89,11,3,103
RUS,202149,0,0,91,1,0,92
RUS,202150,0,0,111,45,0,156
RUS,202151,0,0,52,79,1,132
RUS,202152,0,0,90,30,1,121
RUS,202201,0,0,73,10,1,84
RUS,202202,0,0,96,98,2,196
RUS,202203,0,0,31,160,1,192
RUS,202204,0,0,4,72,1,77
RUS,202205,0,0,4,55,0,59
RUS,202206,0,0,0,19,0,19
RUS,202207,0,0,1,60,0,61
RUS,202208,0,0,0,16,0,16
