Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
RUS,202010,Male,0,0,0,0,1,1
RUS,202011,Female,0,0,0,0,3,3
RUS,202011,Male,0,0,0,0,9,9
RUS,202012,Female,0,0,0,0,10,10
RUS,202012,Male,0,0,0,0,12,12
RUS,202013,Female,0,0,0,0,17,17
RUS,202013,Male,0,0,0,0,17,17
RUS,202014,Female,0,0,0,0,27,27
RUS,202014,Male,0,0,0,0,26,26
RUS,202015,Female,0,0,0,0,35,35
RUS,202015,Male,0,0,0,0,9,9
RUS,202016,Female,0,0,0,0,20,20
RUS,202016,Male,0,0,0,0,9,9
RUS,202017,Female,0,0,0,0,30,30
RUS,202017,Male,0,0,0,0,30,30
RUS,202018,Female,0,0,0,0,16,16
RUS,202018,Male,0,0,0,0,19,19
RUS,202019,Female,0,0,0,0,14,14
RUS,202019,Male,0,0,0,0,12,12
RUS,202020,Female,0,0,0,0,39,39
RUS,202020,Male,0,0,0,0,19,19
RUS,202021,Female,0,0,0,0,27,27
RUS,202021,Male,0,0,0,0,17,17
RUS,202022,Female,0,0,0,0,38,38
RUS,202022,Male,0,0,0,0,29,29
RUS,202023,Female,0,0,0,0,35,35
RUS,202023,Male,0,0,0,0,20,20
RUS,202024,Female,0,0,0,0,20,20
RUS,202024,Male,0,0,0,0,21,21
RUS,202025,Female,0,0,0,0,15,15
RUS,202025,Male,0,0,0,0,9,9
RUS,202026,Female,0,0,0,0,15,15
RUS,202026,Male,0,0,0,0,4,4
RUS,202027,Female,0,0,0,0,11,11
RUS,202027,Male,0,0,0,0,6,6
RUS,202028,Female,0,0,0,0,17,17
RUS,202028,Male,0,0,0,0,9,9
RUS,202029,Female,0,0,0,0,27,27
RUS,202029,Male,0,0,0,0,23,23
RUS,202030,Female,0,0,0,0,11,11
RUS,202030,Male,0,0,0,0,17,17
RUS,202031,Female,0,0,0,0,8,8
RUS,202031,Male,0,0,0,0,5,5
RUS,202032,Female,0,0,0,0,17,17
RUS,202032,Male,0,0,0,0,16,16
RUS,202033,Female,0,0,0,0,9,9
RUS,202033,Male,0,0,0,0,17,17
RUS,202034,Female,0,0,0,0,13,13
RUS,202034,Male,0,0,0,0,10,10
RUS,202035,Female,0,0,0,0,31,31
RUS,202035,Male,0,0,0,0,20,20
RUS,202036,Female,0,0,0,0,23,23
RUS,202036,Male,0,0,0,0,21,21
