Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
RUS,202006,0,0,0,0,1,1
RUS,202009,0,0,0,0,1,1
RUS,202010,0,0,0,0,1,1
RUS,202011,0,0,0,0,13,13
RUS,202012,0,0,0,0,32,32
RUS,202013,0,0,0,0,39,39
RUS,202014,0,0,0,0,56,56
RUS,202015,0,0,0,0,69,69
RUS,202016,0,0,0,0,35,35
RUS,202017,0,0,0,0,62,62
RUS,202018,0,0,0,0,38,38
RUS,202019,0,0,0,0,30,30
RUS,202020,0,0,0,0,76,76
RUS,202021,0,0,0,0,76,76
RUS,202022,0,0,0,0,118,118
RUS,202023,0,0,0,0,96,96
RUS,202024,0,0,0,0,65,65
RUS,202025,0,0,0,0,67,67
RUS,202026,0,0,0,0,55,55
RUS,202027,0,0,0,0,26,26
RUS,202028,0,0,0,0,35,35
RUS,202029,0,0,0,0,59,59
RUS,202030,0,0,0,0,31,31
RUS,202031,0,0,0,0,22,22
RUS,202032,0,0,0,0,41,41
RUS,202033,0,0,0,0,192,192
RUS,202034,0,0,0,0,177,177
RUS,202035,0,0,0,0,161,161
RUS,202036,0,0,0,0,138,138
RUS,202037,0,0,0,0,153,153
RUS,202038,0,0,0,0,133,133
RUS,202039,0,0,0,0,233,233
RUS,202040,0,0,0,0,305,305
RUS,202041,0,0,0,0,245,245
RUS,202042,0,0,0,0,213,213
RUS,202043,0,0,0,0,109,109
RUS,202044,0,0,0,0,60,60
RUS,202045,0,0,0,0,118,118
RUS,202046,0,0,0,0,208,208
RUS,202047,0,0,0,0,129,129
RUS,202048,0,0,0,0,94,94
RUS,202049,0,0,0,0,77,77
RUS,202050,0,0,0,0,48,48
RUS,202051,0,0,0,0,149,149
RUS,202052,1,0,0,0,146,147
RUS,202053,0,0,0,0,84,84
RUS,202101,0,0,0,0,64,64
RUS,202102,0,0,0,0,49,49
RUS,202103,3,1,0,0,43,47
RUS,202104,1,0,0,0,16,17
RUS,202105,3,0,0,0,35,38
RUS,202106,5,1,0,0,99,105
RUS,202107,8,4,0,0,237,249
RUS,202108,12,0,0,0,132,144
RUS,202109,20,2,2,0,97,121
RUS,202110,20,3,0,0,151,174
RUS,202111,17,1,0,0,83,101
RUS,202112,36,2,1,0,61,100
RUS,202113,36,1,0,0,95,132
RUS,202114,36,1,2,0,124,163
RUS,202115,26,3,2,0,139,170
RUS,202116,37,2,8,0,136,183
RUS,202117,22,3,16,0,98,139
RUS,202118,22,2,18,0,71,113
RUS,202119,28,3,61,0,81,173
RUS,202120,28,0,141,0,65,234
RUS,202121,22,0,200,0,60,282
RUS,202122,5,0,168,0,29,202
RUS,202123,9,3,634,0,53,699
RUS,202124,7,0,290,0,16,313
RUS,202125,3,0,241,0,13,257
RUS,202126,0,0,167,0,4,171
RUS,202127,1,0,490,0,10,501
RUS,202128,0,0,129,0,5,134
RUS,202129,0,0,71,0,5,76
RUS,202130,1,0,108,0,9,118
RUS,202131,0,0,151,0,11,162
RUS,202132,0,0,104,0,10,114
RUS,202133,0,0,106,0,6,112
RUS,202134,0,0,119,0,1,120
RUS,202135,0,0,144,0,1,145
RUS,202136,0,0,202,0,5,207
RUS,202137,0,0,191,0,6,197
RUS,202138,0,0,155,0,0,155
RUS,202139,0,0,244,0,4,248
RUS,202140,0,0,200,0,2,202
RUS,202141,0,0,521,0,13,534
RUS,202142,0,0,340,0,4,344
RUS,202143,0,0,530,0,9,539
RUS,202144,0,0,305,0,4,309
RUS,202145,0,0,318,0,2,320
RUS,202146,0,0,289,0,1,290
RUS,202147,0,0,57,0,0,57
RUS,202148,0,0,92,11,3,106
RUS,202149,0,0,91,1,0,92
RUS,202150,0,0,111,45,0,156
RUS,202151,0,0,52,85,1,138
RUS,202152,0,0,91,31,0,122
RUS,202201,0,0,72,13,0,85
RUS,202202,0,0,66,70,1,137
RUS,202203,0,0,11,56,1,68
