Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
SAU,202010,20 – 30,0,0,0,0,1,1
SAU,202010,60 – 70,0,0,0,0,1,1
SAU,202011,60 – 70,0,0,0,0,1,1
SAU,202011,70 – 80,0,0,0,0,1,1
SAU,202012,30 – 40,0,0,0,0,1,1
SAU,202012,60 – 70,0,0,0,0,1,1
SAU,202012,70 – 80,0,0,0,0,1,1
SAU,202013,10 – 20,0,0,0,0,1,1
SAU,202013,20 – 30,0,0,0,0,4,4
SAU,202013,30 – 40,0,0,0,0,3,3
SAU,202013,40 – 50,0,0,0,0,3,3
SAU,202013,50 – 60,0,0,0,0,11,11
SAU,202013,60 – 70,0,0,0,0,4,4
SAU,202013,70 – 80,0,0,0,0,2,2
SAU,202014,10 – 20,0,0,0,0,4,4
SAU,202014,20 – 30,0,0,0,0,11,11
SAU,202014,30 – 40,0,0,0,0,14,14
SAU,202014,40 – 50,0,0,0,0,19,19
SAU,202014,50 – 60,0,0,0,0,10,10
SAU,202014,60 – 70,0,0,0,0,5,5
SAU,202014,70 – 80,0,0,0,0,1,1
SAU,202014,>= 80,0,0,0,0,1,1
SAU,202015,1 – 5,0,0,0,0,1,1
SAU,202015,20 – 30,0,0,0,0,11,11
SAU,202015,30 – 40,0,0,0,0,15,15
SAU,202015,40 – 50,0,0,0,0,16,16
SAU,202015,5 – 10,0,0,0,0,1,1
SAU,202015,50 – 60,0,0,0,0,18,18
SAU,202015,60 – 70,0,0,0,0,11,11
SAU,202015,70 – 80,0,0,0,0,2,2
SAU,202016,20 – 30,0,0,0,0,4,4
SAU,202016,30 – 40,0,0,0,0,4,4
SAU,202016,40 – 50,0,0,0,0,10,10
SAU,202016,50 – 60,0,0,0,0,10,10
SAU,202016,60 – 70,0,0,0,0,4,4
SAU,202016,70 – 80,0,0,0,0,3,3
SAU,202016,>= 80,0,0,0,0,2,2
SAU,202017,20 – 30,0,0,0,0,7,7
SAU,202017,30 – 40,0,0,0,0,17,17
SAU,202017,40 – 50,0,0,0,0,30,30
SAU,202017,50 – 60,0,0,0,0,27,27
SAU,202017,60 – 70,0,0,0,0,9,9
SAU,202017,70 – 80,0,0,0,0,5,5
SAU,202017,>= 80,0,0,0,0,2,2
SAU,202018,20 – 30,0,0,0,0,2,2
SAU,202018,30 – 40,0,0,0,0,4,4
SAU,202018,40 – 50,0,0,0,0,6,6
SAU,202018,50 – 60,0,0,0,0,3,3
SAU,202018,60 – 70,0,0,0,0,3,3
SAU,202018,>= 80,0,0,0,0,2,2
SAU,202019,10 – 20,0,0,0,0,1,1
SAU,202019,20 – 30,0,0,0,0,1,1
SAU,202019,30 – 40,0,0,0,0,2,2
SAU,202019,40 – 50,0,0,0,0,2,2
SAU,202019,50 – 60,0,0,0,0,3,3
SAU,202019,60 – 70,0,0,0,0,1,1
SAU,202020,30 – 40,0,0,0,0,1,1
SAU,202020,40 – 50,0,0,0,0,3,3
SAU,202020,50 – 60,0,0,0,0,1,1
SAU,202020,60 – 70,0,0,0,0,3,3
SAU,202022,30 – 40,0,0,0,0,5,5
SAU,202022,40 – 50,0,0,0,0,11,11
SAU,202022,50 – 60,0,0,0,0,20,20
SAU,202022,60 – 70,0,0,0,0,13,13
SAU,202022,70 – 80,0,0,0,0,9,9
SAU,202022,>= 80,0,0,0,0,2,2
SAU,202023,50 – 60,0,0,0,0,1,1
SAU,202024,20 – 30,0,0,0,0,6,6
SAU,202024,30 – 40,0,0,0,0,8,8
SAU,202024,40 – 50,0,0,0,0,5,5
SAU,202024,50 – 60,0,0,0,0,15,15
SAU,202024,60 – 70,0,0,0,0,8,8
SAU,202024,70 – 80,0,0,0,0,1,1
SAU,202025,30 – 40,0,0,0,0,1,1
SAU,202025,40 – 50,0,0,0,0,5,5
SAU,202025,50 – 60,0,0,0,0,3,3
SAU,202025,60 – 70,0,0,0,0,9,9
SAU,202025,70 – 80,0,0,0,0,2,2
SAU,202025,>= 80,0,0,0,0,1,1
SAU,202026,20 – 30,0,0,0,0,2,2
SAU,202026,30 – 40,0,0,0,0,2,2
SAU,202026,40 – 50,0,0,0,0,5,5
SAU,202026,50 – 60,0,0,0,0,9,9
SAU,202026,60 – 70,0,0,0,0,6,6
SAU,202026,70 – 80,0,0,0,0,1,1
SAU,202026,>= 80,0,0,0,0,1,1
SAU,202032,10 – 20,0,0,0,0,1,1
SAU,202032,20 – 30,0,0,0,0,2,2
SAU,202032,30 – 40,0,0,0,0,1,1
SAU,202032,40 – 50,0,0,0,0,4,4
SAU,202047,30 – 40,0,0,0,0,1,1
SAU,202047,50 – 60,0,0,0,0,1,1
SAU,202048,60 – 70,0,0,0,0,1,1
SAU,202048,70 – 80,0,0,0,0,2,2
SAU,202049,20 – 30,0,0,0,0,1,1
SAU,202049,40 – 50,0,0,0,0,1,1
SAU,202050,30 – 40,0,0,0,0,1,1
SAU,202050,40 – 50,0,0,0,0,1,1
SAU,202051,10 – 20,0,0,0,0,3,3
SAU,202051,20 – 30,0,0,0,0,1,1
SAU,202051,30 – 40,0,0,0,0,1,1
SAU,202101,20 – 30,0,0,0,0,1,1
SAU,202101,70 – 80,0,0,0,0,1,1
SAU,202102,60 – 70,0,0,0,0,2,2
SAU,202103,60 – 70,0,0,0,0,1,1
SAU,202105,1 – 5,0,0,0,0,1,1
SAU,202105,10 – 20,0,0,0,0,1,1
SAU,202105,20 – 30,0,0,0,0,4,4
SAU,202105,40 – 50,0,0,0,0,5,5
SAU,202105,5 – 10,0,0,0,0,1,1
SAU,202105,70 – 80,0,0,0,0,1,1
SAU,202106,1 – 5,0,0,0,0,3,3
SAU,202106,10 – 20,0,0,0,0,8,8
SAU,202106,20 – 30,0,0,0,0,9,9
SAU,202106,30 – 40,0,0,0,0,19,19
SAU,202106,40 – 50,0,0,0,0,8,8
SAU,202106,50 – 60,0,0,0,0,7,7
SAU,202106,60 – 70,0,0,0,0,9,9
SAU,202106,70 – 80,0,0,0,0,3,3
SAU,202106,>= 80,0,0,0,0,3,3
SAU,202107,10 – 20,0,0,0,0,3,3
SAU,202107,20 – 30,0,0,0,0,2,2
SAU,202107,30 – 40,0,0,0,0,4,4
SAU,202107,40 – 50,0,0,0,0,1,1
SAU,202107,5 – 10,0,0,0,0,1,1
SAU,202107,50 – 60,0,0,0,0,1,1
SAU,202107,60 – 70,0,0,0,0,2,2
SAU,202108,1 – 5,0,0,0,0,2,2
SAU,202108,10 – 20,0,0,0,0,2,2
SAU,202108,20 – 30,0,0,0,0,1,1
SAU,202108,30 – 40,0,0,0,0,4,4
SAU,202108,40 – 50,0,0,0,0,1,1
SAU,202108,5 – 10,0,0,0,0,1,1
SAU,202108,60 – 70,0,0,0,0,1,1
SAU,202108,>= 80,0,0,0,0,1,1
SAU,202114,10 – 20,2,0,0,0,0,2
SAU,202115,20 – 30,0,0,0,0,1,1
SAU,202115,40 – 50,0,0,0,0,1,1
SAU,202115,50 – 60,0,0,0,0,2,2
SAU,202116,30 – 40,0,0,0,0,2,2
SAU,202116,40 – 50,1,1,0,0,1,3
SAU,202116,50 – 60,1,0,0,0,1,2
SAU,202117,20 – 30,0,0,0,0,2,2
SAU,202117,40 – 50,2,0,0,0,0,2
SAU,202117,60 – 70,0,0,0,0,1,1
SAU,202117,70 – 80,0,0,0,0,1,1
SAU,202118,20 – 30,1,0,0,0,1,2
SAU,202118,30 – 40,1,0,0,0,0,1
SAU,202119,40 – 50,0,0,1,0,0,1
SAU,202119,>= 80,0,0,0,0,1,1
SAU,202120,20 – 30,1,2,0,0,0,3
SAU,202120,30 – 40,2,1,1,0,1,5
SAU,202120,40 – 50,0,1,0,0,0,1
SAU,202120,50 – 60,1,1,0,0,1,3
SAU,202120,60 – 70,0,1,0,0,1,2
SAU,202120,>= 80,1,0,0,0,0,1
SAU,202121,10 – 20,0,0,0,0,1,1
SAU,202121,20 – 30,0,0,0,0,1,1
SAU,202121,30 – 40,0,1,0,0,1,2
SAU,202121,40 – 50,0,1,0,0,2,3
SAU,202121,5 – 10,1,1,0,0,0,2
SAU,202121,50 – 60,0,1,0,0,0,1
SAU,202123,40 – 50,0,0,0,0,1,1
SAU,202123,70 – 80,0,1,0,0,0,1
SAU,202123,>= 80,0,1,0,0,0,1
SAU,202124,60 – 70,0,0,0,0,1,1
SAU,202126,60 – 70,0,0,1,0,0,1
SAU,202126,70 – 80,0,0,1,0,0,1
SAU,202127,20 – 30,0,0,1,0,0,1
SAU,202127,30 – 40,0,0,1,0,0,1
SAU,202127,>= 80,0,0,1,0,0,1
SAU,202128,40 – 50,0,1,0,0,0,1
SAU,202129,40 – 50,0,0,1,0,0,1
SAU,202131,60 – 70,0,0,1,0,0,1
SAU,202136,20 – 30,0,0,1,0,0,1
SAU,202136,40 – 50,0,0,1,0,1,2
SAU,202138,50 – 60,0,0,1,0,0,1
SAU,202148,40 – 50,0,0,1,0,0,1
SAU,202149,10 – 20,0,0,1,0,0,1
SAU,202149,20 – 30,0,0,1,0,0,1
SAU,202149,50 – 60,0,0,1,0,0,1
SAU,202150,1 – 5,0,0,0,1,0,1
SAU,202150,10 – 20,0,0,0,1,0,1
SAU,202150,20 – 30,0,0,1,3,0,4
SAU,202150,30 – 40,0,0,0,3,0,3
SAU,202150,60 – 70,0,0,2,0,0,2
SAU,202150,70 – 80,0,0,0,1,0,1
SAU,202151,10 – 20,0,0,0,2,0,2
SAU,202151,20 – 30,0,0,0,11,0,11
SAU,202151,30 – 40,0,0,0,2,0,2
SAU,202151,40 – 50,0,0,0,2,0,2
SAU,202151,50 – 60,0,0,0,1,0,1
SAU,202151,60 – 70,0,0,0,1,0,1
SAU,202151,>= 80,0,0,1,0,0,1
